arrival rate,mean delay,seed,greater than 20ms,total served,P[greater than 20ms],,,100,0
100,2.25,400137271,0,20000000,0,,,114,0
114,2.3,400137271,0,20000000,0,,,128,0
128,2.34,400137271,0,20000000,0,,,142,0
142,2.4,400137271,0,20000000,0,,,156,0
156,2.45,400137271,0,20000000,0,,,170,0
170,2.52,400137271,0,20000000,0,,,184,0
184,2.58,400137271,0,20000000,0,,,198,0
198,2.66,400137271,1,20000000,0,,,212,0.0000002
212,2.74,400137271,5,20000000,0.0000002,,,226,0.0000015
226,2.83,400137271,29,20000000,0.0000015,,,240,0.0000042
240,2.92,400137271,83,20000000,0.0000042,,,254,0.0000097
254,3.03,400137271,194,20000000,0.0000097,,,268,0.0000227
268,3.16,400137271,453,20000000,0.0000227,,,282,0.000052
282,3.3,400137271,1041,20000000,0.000052,,,296,0.0001105
296,3.45,400137271,2209,20000000,0.0001105,,,310,0.0002355
310,3.63,400137271,4710,20000000,0.0002355,,,324,0.0005054
324,3.84,400137271,10108,20000000,0.0005054,,,338,0.0010278
338,4.09,400137271,20555,20000000,0.0010278,,,352,0.0020518
352,4.38,400137271,41036,20000000,0.0020518,,,366,0.0039996
366,4.74,400137271,79991,20000000,0.0039996,,,380,0.0076194
380,5.17,400137271,152387,20000000,0.0076194,,,394,0.0141399
394,5.72,400137271,282797,20000000,0.0141399,,,408,0.025679
408,6.44,400137271,513581,20000000,0.025679,,,422,0.0462885
422,7.42,400137271,925770,20000000,0.0462885,,,436,0.082502
436,8.83,400137271,1650039,20000000,0.082502,,,450,0.1450845
450,11.02,400137271,2901690,20000000,0.1450845,,,,
