arrival rate,mean delay,seed,greater than 20ms,total served,P[greater than 20ms],,402.47,0.0199949
402.47,6.13,400137271,4998714,250000000,0.0199949,,402.471,0.0199957
402.471,6.13,400137271,4998925,250000000,0.0199957,,402.472,0.0199966
402.472,6.13,400137271,4999146,250000000,0.0199966,,402.473,0.0199975
402.473,6.13,400137271,4999377,250000000,0.0199975,,402.474,0.0199983
402.474,6.13,400137271,4999585,250000000,0.0199983,,402.475,0.0199992
402.475,6.13,400137271,4999799,250000000,0.0199992,,402.476,0.0200001
402.476,6.13,400137271,5000016,250000000,0.0200001,,402.477,0.020001
402.477,6.13,400137271,5000250,250000000,0.020001,,402.478,0.0200018
402.478,6.13,400137271,5000451,250000000,0.0200018,,402.479,0.0200027
402.479,6.13,400137271,5000683,250000000,0.0200027,,402.48,0.0200036
402.48,6.13,400137271,5000904,250000000,0.0200036,,402.481,0.0200044
402.481,6.13,400137271,5001111,250000000,0.0200044,,402.482,0.0200053
402.482,6.13,400137271,5001320,250000000,0.0200053,,402.483,0.0200061
402.483,6.13,400137271,5001523,250000000,0.0200061,,402.484,0.020007
402.484,6.13,400137271,5001742,250000000,0.020007,,402.485,0.0200078
402.485,6.13,400137271,5001943,250000000,0.0200078,,402.486,0.0200087
402.486,6.13,400137271,5002187,250000000,0.0200087,,402.487,0.0200096
402.487,6.13,400137271,5002410,250000000,0.0200096,,402.488,0.0200104
402.488,6.13,400137271,5002611,250000000,0.0200104,,402.489,0.0200112
402.489,6.13,400137271,5002811,250000000,0.0200112,,402.49,0.0200121
402.49,6.13,400137271,5003026,250000000,0.0200121,,402.491,0.0200131
402.491,6.13,400137271,5003269,250000000,0.0200131,,402.492,0.020014
402.492,6.13,400137271,5003502,250000000,0.020014,,402.493,0.0200149
402.493,6.13,400137271,5003720,250000000,0.0200149,,402.494,0.0200157
402.494,6.13,400137271,5003936,250000000,0.0200157,,402.495,0.0200165
402.495,6.13,400137271,5004132,250000000,0.0200165,,402.496,0.0200174
402.496,6.13,400137271,5004338,250000000,0.0200174,,402.497,0.0200182
402.497,6.13,400137271,5004547,250000000,0.0200182,,402.498,0.020019
402.498,6.13,400137271,5004752,250000000,0.020019,,402.499,0.0200198
402.499,6.13,400137271,5004955,250000000,0.0200198,,402.5,0.0200207
402.5,6.13,400137271,5005178,250000000,0.0200207,,,
