arrival rate,mean delay,seed,,,,,1,20,1
20,1,400137271,0,1000000,0,,2,69,1
20,1,4728394,0,1000000,0,,3,118,1
20,1,12950156,0,1000000,0,,4,167,1
20,1,1255,0,1000000,0,,5,216,1.01
20,1,1627,0,1000000,0,,6,265,1.01
20,1,136127,0,1000000,0,,7,314,1.015
20,1,3845648,0,1000000,0,,8,363,1.02
20,1,8834,0,1000000,0,,9,412,1.03
20,1,348734,0,1000000,0,,10,461,1.03
20,1,98,0,1000000,0,,11,510,1.04
69,1,400137271,0,1000000,0,,12,559,1.05
69,1,4728394,0,1000000,0,,13,608,1.06
69,1,12950156,0,1000000,0,,14,657,1.07
69,1,1255,0,1000000,0,,15,706,1.08
69,1,1627,0,1000000,0,,16,755,1.09
69,1,136127,0,1000000,0,,17,804,1.101
69,1,3845648,0,1000000,0,,18,853,1.12
69,1,8834,0,1000000,0,,19,902,1.14
69,1,348734,0,1000000,0,,20,951,1.156
69,1,98,0,1000000,0,,21,1000,1.18
118,1,400137271,0,1000000,0,,22,1049,1.2
118,1,4728394,0,1000000,0,,23,1098,1.229
118,1,12950156,0,1000000,0,,24,1147,1.258
118,1,1255,0,1000000,0,,25,1196,1.29
118,1,1627,0,1000000,0,,26,1245,1.33
118,1,136127,0,1000000,0,,27,1294,1.372
118,1,3845648,0,1000000,0,,28,1343,1.422
118,1,8834,0,1000000,0,,29,1392,1.482
118,1,348734,0,1000000,0,,30,1441,1.552
118,1,98,0,1000000,0,,31,1490,1.635
167,1,400137271,0,1000000,0,,32,1539,1.737
167,1,4728394,0,1000000,0,,33,1588,1.863
167,1,12950156,0,1000000,0,,34,1637,2.024
167,1,1255,0,1000000,0,,35,1686,2.232
167,1,1627,0,1000000,0,,36,1735,2.521
167,1,136127,0,1000000,0,,37,1784,2.94
167,1,3845648,0,1000000,0,,38,1833,3.608
167,1,8834,0,1000000,0,,39,1882,4.83
167,1,348734,0,1000000,0,,40,1931,7.829
167,1,98,0,1000000,0,,41,1980,24.213
216,1.01,400137271,0,1000000,0,,,,
216,1.01,4728394,0,1000000,0,,,,
216,1.01,12950156,0,1000000,0,,,,
216,1.01,1255,0,1000000,0,,,,
216,1.01,1627,0,1000000,0,,,,
216,1.01,136127,0,1000000,0,,,,
216,1.01,3845648,0,1000000,0,,,,
216,1.01,8834,0,1000000,0,,,,
216,1.01,348734,0,1000000,0,,,,
216,1.01,98,0,1000000,0,,,,
265,1.01,400137271,0,1000000,0,,,,
265,1.01,4728394,0,1000000,0,,,,
265,1.01,12950156,0,1000000,0,,,,
265,1.01,1255,0,1000000,0,,,,
265,1.01,1627,0,1000000,0,,,,
265,1.01,136127,0,1000000,0,,,,
265,1.01,3845648,0,1000000,0,,,,
265,1.01,8834,0,1000000,0,,,,
265,1.01,348734,0,1000000,0,,,,
265,1.01,98,0,1000000,0,,,,
314,1.02,400137271,0,1000000,0,,,,
314,1.02,4728394,0,1000000,0,,,,
314,1.01,12950156,0,1000000,0,,,,
314,1.02,1255,0,1000000,0,,,,
314,1.01,1627,0,1000000,0,,,,
314,1.01,136127,0,1000000,0,,,,
314,1.01,3845648,0,1000000,0,,,,
314,1.02,8834,0,1000000,0,,,,
314,1.02,348734,0,1000000,0,,,,
314,1.01,98,0,1000000,0,,,,
363,1.02,400137271,0,1000000,0,,,,
363,1.02,4728394,0,1000000,0,,,,
363,1.02,12950156,0,1000000,0,,,,
363,1.02,1255,0,1000000,0,,,,
363,1.02,1627,0,1000000,0,,,,
363,1.02,136127,0,1000000,0,,,,
363,1.02,3845648,0,1000000,0,,,,
363,1.02,8834,0,1000000,0,,,,
363,1.02,348734,0,1000000,0,,,,
363,1.02,98,0,1000000,0,,,,
412,1.03,400137271,0,1000000,0,,,,
412,1.03,4728394,0,1000000,0,,,,
412,1.03,12950156,0,1000000,0,,,,
412,1.03,1255,0,1000000,0,,,,
412,1.03,1627,0,1000000,0,,,,
412,1.03,136127,0,1000000,0,,,,
412,1.03,3845648,0,1000000,0,,,,
412,1.03,8834,0,1000000,0,,,,
412,1.03,348734,0,1000000,0,,,,
412,1.03,98,0,1000000,0,,,,
461,1.03,400137271,0,1000000,0,,,,
461,1.03,4728394,0,1000000,0,,,,
461,1.03,12950156,0,1000000,0,,,,
461,1.03,1255,0,1000000,0,,,,
461,1.03,1627,0,1000000,0,,,,
461,1.03,136127,0,1000000,0,,,,
461,1.03,3845648,0,1000000,0,,,,
461,1.03,8834,0,1000000,0,,,,
461,1.03,348734,0,1000000,0,,,,
461,1.03,98,0,1000000,0,,,,
510,1.04,400137271,0,1000000,0,,,,
510,1.04,4728394,0,1000000,0,,,,
510,1.04,12950156,0,1000000,0,,,,
510,1.04,1255,0,1000000,0,,,,
510,1.04,1627,0,1000000,0,,,,
510,1.04,136127,0,1000000,0,,,,
510,1.04,3845648,0,1000000,0,,,,
510,1.04,8834,0,1000000,0,,,,
510,1.04,348734,0,1000000,0,,,,
510,1.04,98,0,1000000,0,,,,
559,1.05,400137271,0,1000000,0,,,,
559,1.05,4728394,0,1000000,0,,,,
559,1.05,12950156,0,1000000,0,,,,
559,1.05,1255,0,1000000,0,,,,
559,1.05,1627,0,1000000,0,,,,
559,1.05,136127,0,1000000,0,,,,
559,1.05,3845648,0,1000000,0,,,,
559,1.05,8834,0,1000000,0,,,,
559,1.05,348734,0,1000000,0,,,,
559,1.05,98,0,1000000,0,,,,
608,1.06,400137271,0,1000000,0,,,,
608,1.06,4728394,0,1000000,0,,,,
608,1.06,12950156,0,1000000,0,,,,
608,1.06,1255,0,1000000,0,,,,
608,1.06,1627,0,1000000,0,,,,
608,1.06,136127,0,1000000,0,,,,
608,1.06,3845648,0,1000000,0,,,,
608,1.06,8834,0,1000000,0,,,,
608,1.06,348734,0,1000000,0,,,,
608,1.06,98,0,1000000,0,,,,
657,1.07,400137271,0,1000000,0,,,,
657,1.07,4728394,0,1000000,0,,,,
657,1.07,12950156,0,1000000,0,,,,
657,1.07,1255,0,1000000,0,,,,
657,1.07,1627,0,1000000,0,,,,
657,1.07,136127,0,1000000,0,,,,
657,1.07,3845648,0,1000000,0,,,,
657,1.07,8834,0,1000000,0,,,,
657,1.07,348734,0,1000000,0,,,,
657,1.07,98,0,1000000,0,,,,
706,1.08,400137271,0,1000000,0,,,,
706,1.08,4728394,0,1000000,0,,,,
706,1.08,12950156,0,1000000,0,,,,
706,1.08,1255,0,1000000,0,,,,
706,1.08,1627,0,1000000,0,,,,
706,1.08,136127,0,1000000,0,,,,
706,1.08,3845648,0,1000000,0,,,,
706,1.08,8834,0,1000000,0,,,,
706,1.08,348734,0,1000000,0,,,,
706,1.08,98,0,1000000,0,,,,
755,1.09,400137271,0,1000000,0,,,,
755,1.09,4728394,0,1000000,0,,,,
755,1.09,12950156,0,1000000,0,,,,
755,1.09,1255,0,1000000,0,,,,
755,1.09,1627,0,1000000,0,,,,
755,1.09,136127,0,1000000,0,,,,
755,1.09,3845648,0,1000000,0,,,,
755,1.09,8834,0,1000000,0,,,,
755,1.09,348734,0,1000000,0,,,,
755,1.09,98,0,1000000,0,,,,
804,1.1,400137271,0,1000000,0,,,,
804,1.11,4728394,0,1000000,0,,,,
804,1.1,12950156,0,1000000,0,,,,
804,1.1,1255,0,1000000,0,,,,
804,1.1,1627,0,1000000,0,,,,
804,1.1,136127,0,1000000,0,,,,
804,1.1,3845648,0,1000000,0,,,,
804,1.1,8834,0,1000000,0,,,,
804,1.1,348734,0,1000000,0,,,,
804,1.1,98,0,1000000,0,,,,
853,1.12,400137271,0,1000000,0,,,,
853,1.12,4728394,0,1000000,0,,,,
853,1.12,12950156,0,1000000,0,,,,
853,1.12,1255,0,1000000,0,,,,
853,1.12,1627,0,1000000,0,,,,
853,1.12,136127,0,1000000,0,,,,
853,1.12,3845648,0,1000000,0,,,,
853,1.12,8834,0,1000000,0,,,,
853,1.12,348734,0,1000000,0,,,,
853,1.12,98,0,1000000,0,,,,
902,1.14,400137271,0,1000000,0,,,,
902,1.14,4728394,0,1000000,0,,,,
902,1.14,12950156,0,1000000,0,,,,
902,1.14,1255,0,1000000,0,,,,
902,1.14,1627,0,1000000,0,,,,
902,1.14,136127,0,1000000,0,,,,
902,1.14,3845648,0,1000000,0,,,,
902,1.14,8834,0,1000000,0,,,,
902,1.14,348734,0,1000000,0,,,,
902,1.14,98,0,1000000,0,,,,
951,1.16,400137271,0,1000000,0,,,,
951,1.16,4728394,0,1000000,0,,,,
951,1.15,12950156,0,1000000,0,,,,
951,1.16,1255,0,1000000,0,,,,
951,1.16,1627,0,1000000,0,,,,
951,1.15,136127,0,1000000,0,,,,
951,1.15,3845648,0,1000000,0,,,,
951,1.16,8834,0,1000000,0,,,,
951,1.15,348734,0,1000000,0,,,,
951,1.16,98,0,1000000,0,,,,
1000,1.18,400137271,0,1000000,0,,,,
1000,1.18,4728394,0,1000000,0,,,,
1000,1.18,12950156,0,1000000,0,,,,
1000,1.18,1255,0,1000000,0,,,,
1000,1.18,1627,0,1000000,0,,,,
1000,1.18,136127,0,1000000,0,,,,
1000,1.18,3845648,0,1000000,0,,,,
1000,1.18,8834,0,1000000,0,,,,
1000,1.18,348734,0,1000000,0,,,,
1000,1.18,98,0,1000000,0,,,,
1049,1.2,400137271,0,1000000,0,,,,
1049,1.2,4728394,0,1000000,0,,,,
1049,1.2,12950156,0,1000000,0,,,,
1049,1.2,1255,0,1000000,0,,,,
1049,1.2,1627,0,1000000,0,,,,
1049,1.2,136127,0,1000000,0,,,,
1049,1.2,3845648,0,1000000,0,,,,
1049,1.2,8834,0,1000000,0,,,,
1049,1.2,348734,0,1000000,0,,,,
1049,1.2,98,0,1000000,0,,,,
1098,1.23,400137271,0,1000000,0,,,,
1098,1.23,4728394,0,1000000,0,,,,
