20,4620.16,400137271,5719018,10000000,0.5719018,p12,mean delay,seed
39.6,689.81,400137271,5706570,10000000,0.570657,0.33,4620.16,400137271
59.2,115.96,400137271,5207315,10000000,0.5207315,0.3333,689.81,400137271
78.8,61.28,400137271,4738416,10000000,0.4738416,0.3366,115.96,400137271
98.4,40.07,400137271,4304263,10000000,0.4304263,0.3399,61.28,400137271
118,30.06,400137271,3894974,10000000,0.3894974,0.3432,40.07,400137271
137.6,24.25,400137271,3512209,10000000,0.3512209,0.3465,30.06,400137271
157.2,20.43,400137271,3174797,10000000,0.3174797,0.3498,24.25,400137271
176.8,17.74,400137271,2875063,10000000,0.2875063,0.3531,20.43,400137271
196.4,15.68,400137271,2599792,10000000,0.2599792,0.3564,17.74,400137271
216,14.07,400137271,2348576,10000000,0.2348576,0.3597,15.68,400137271
235.6,12.82,400137271,2133260,10000000,0.213326,0.363,14.07,400137271
255.2,11.78,400137271,1932346,10000000,0.1932346,0.3663,12.82,400137271
274.8,10.91,400137271,1749747,10000000,0.1749747,0.3696,11.78,400137271
294.4,10.16,400137271,1576445,10000000,0.1576445,0.3729,10.91,400137271
314,9.52,400137271,1424185,10000000,0.1424185,0.3762,10.16,400137271
333.6,8.98,400137271,1289416,10000000,0.1289416,0.3795,9.52,400137271
353.2,8.5,400137271,1162002,10000000,0.1162002,0.3828,8.98,400137271
372.8,8.08,400137271,1052536,10000000,0.1052536,0.3861,8.5,400137271
392.4,7.71,400137271,949299,10000000,0.0949299,0.3894,8.08,400137271
412,7.38,400137271,856897,10000000,0.0856897,0.3927,7.71,400137271
431.6,7.09,400137271,771903,10000000,0.0771903,0.396,7.38,400137271
451.2,6.84,400137271,697678,10000000,0.0697678,0.3993,7.09,400137271
470.8,6.59,400137271,626164,10000000,0.0626164,0.4026,6.84,400137271
490.4,6.38,400137271,565230,10000000,0.056523,0.4059,6.59,400137271
510,6.19,400137271,510771,10000000,0.0510771,0.4092,6.38,400137271
529.6,6.01,400137271,459943,10000000,0.0459943,0.4125,6.19,400137271
549.2,5.86,400137271,414739,10000000,0.0414739,0.4158,6.01,400137271
568.8,5.71,400137271,374400,10000000,0.03744,0.4191,5.86,400137271
588.4,5.59,400137271,338162,10000000,0.0338162,0.4224,5.71,400137271
608,5.46,400137271,304025,10000000,0.0304025,0.4257,5.59,400137271
627.6,5.35,400137271,274778,10000000,0.0274778,0.429,5.46,400137271
647.2,5.26,400137271,249870,10000000,0.024987,0.4323,5.35,400137271
666.8,5.16,400137271,225137,10000000,0.0225137,0.4356,5.26,400137271
686.4,5.08,400137271,203804,10000000,0.0203804,0.4389,5.16,400137271
706,5.01,400137271,185526,10000000,0.0185526,0.4422,5.08,400137271
725.6,4.93,400137271,167833,10000000,0.0167833,0.4455,5.01,400137271
745.2,4.87,400137271,152288,10000000,0.0152288,0.4488,4.93,400137271
764.8,4.81,400137271,138467,10000000,0.0138467,0.4521,4.87,400137271
784.4,4.76,400137271,125865,10000000,0.0125865,0.4554,4.81,400137271
804,4.71,400137271,115341,10000000,0.0115341,0.4587,4.76,400137271
823.6,4.67,400137271,106521,10000000,0.0106521,0.462,4.71,400137271
843.2,4.63,400137271,98151,10000000,0.0098151,0.4653,4.67,400137271
862.8,4.6,400137271,91221,10000000,0.0091221,0.4686,4.63,400137271
882.4,4.57,400137271,84428,10000000,0.0084428,0.4719,4.6,400137271
902,4.54,400137271,79695,10000000,0.0079695,0.4752,4.57,400137271
921.6,4.52,400137271,74665,10000000,0.0074665,0.4785,4.54,400137271
941.2,4.51,400137271,71159,10000000,0.0071159,0.4818,4.52,400137271
960.8,4.49,400137271,68791,10000000,0.0068791,0.4851,4.51,400137271
980.4,4.48,400137271,66811,10000000,0.0066811,0.4884,4.49,400137271
1000,4.48,400137271,65478,10000000,0.0065478,0.4917,4.48,400137271
1019.6,4.47,400137271,65282,10000000,0.0065282,0.495,4.48,400137271
1039.2,4.47,400137271,65680,10000000,0.006568,0.4983,4.47,400137271
1058.8,4.48,400137271,66273,10000000,0.0066273,0.5016,4.47,400137271
1078.4,4.48,400137271,67983,10000000,0.0067983,0.5049,4.48,400137271
1098,4.49,400137271,70211,10000000,0.0070211,0.5082,4.48,400137271
1117.6,4.51,400137271,73051,10000000,0.0073051,0.5115,4.49,400137271
1137.2,4.53,400137271,76942,10000000,0.0076942,0.5148,4.51,400137271
1156.8,4.55,400137271,81591,10000000,0.0081591,0.5181,4.53,400137271
1176.4,4.58,400137271,86758,10000000,0.0086758,0.5214,4.55,400137271
1196,4.61,400137271,93401,10000000,0.0093401,0.5247,4.58,400137271
1215.6,4.64,400137271,100858,10000000,0.0100858,0.528,4.61,400137271
1235.2,4.68,400137271,109653,10000000,0.0109653,0.5313,4.64,400137271
1254.8,4.73,400137271,119502,10000000,0.0119502,0.5346,4.68,400137271
1274.4,4.77,400137271,129822,10000000,0.0129822,0.5379,4.73,400137271
1294,4.83,400137271,141831,10000000,0.0141831,0.5412,4.77,400137271
1313.6,4.88,400137271,156492,10000000,0.0156492,0.5445,4.83,400137271
1333.2,4.95,400137271,171925,10000000,0.0171925,0.5478,4.88,400137271
1352.8,5.02,400137271,188546,10000000,0.0188546,0.5511,4.95,400137271
1372.4,5.09,400137271,207825,10000000,0.0207825,0.5544,5.02,400137271
1392,5.18,400137271,229250,10000000,0.022925,0.5577,5.09,400137271
1411.6,5.27,400137271,253625,10000000,0.0253625,0.561,5.18,400137271
1431.2,5.37,400137271,280712,10000000,0.0280712,0.5643,5.27,400137271
1450.8,5.47,400137271,309899,10000000,0.0309899,0.5676,5.37,400137271
1470.4,5.59,400137271,343216,10000000,0.0343216,0.5709,5.47,400137271
1490,5.72,400137271,378482,10000000,0.0378482,0.5742,5.59,400137271
1509.6,5.86,400137271,421083,10000000,0.0421083,0.5775,5.72,400137271
1529.2,6.01,400137271,465947,10000000,0.0465947,0.5808,5.86,400137271
1548.8,6.19,400137271,514593,10000000,0.0514593,0.5841,6.01,400137271
1568.4,6.37,400137271,568158,10000000,0.0568158,0.5874,6.19,400137271
1588,6.58,400137271,628703,10000000,0.0628703,0.5907,6.37,400137271
1607.6,6.81,400137271,698369,10000000,0.0698369,0.594,6.58,400137271
1627.2,7.06,400137271,772332,10000000,0.0772332,0.5973,6.81,400137271
1646.8,7.36,400137271,860952,10000000,0.0860952,0.6006,7.06,400137271
1666.4,7.69,400137271,954612,10000000,0.0954612,0.6039,7.36,400137271
1686,8.05,400137271,1055937,10000000,0.1055937,0.6072,7.69,400137271
1705.6,8.45,400137271,1166387,10000000,0.1166387,0.6105,8.05,400137271
1725.2,8.93,400137271,1291589,10000000,0.1291589,0.6138,8.45,400137271
1744.8,9.46,400137271,1426237,10000000,0.1426237,0.6171,8.93,400137271
1764.4,10.1,400137271,1582665,10000000,0.1582665,0.6204,9.46,400137271
1784,10.83,400137271,1752733,10000000,0.1752733,0.6237,10.1,400137271
1803.6,11.68,400137271,1937609,10000000,0.1937609,0.627,10.83,400137271
1823.2,12.68,400137271,2141585,10000000,0.2141585,0.6303,11.68,400137271
1842.8,13.88,400137271,2369713,10000000,0.2369713,0.6336,12.68,400137271
1862.4,15.41,400137271,2625838,10000000,0.2625838,0.6369,13.88,400137271
1882,17.4,400137271,2895525,10000000,0.2895525,0.6402,15.41,400137271
1901.6,20.14,400137271,3192565,10000000,0.3192565,0.6435,17.4,400137271
1921.2,24.04,400137271,3515247,10000000,0.3515247,0.6468,20.14,400137271
1940.8,29.93,400137271,3879637,10000000,0.3879637,0.6501,24.04,400137271
1960.4,39.27,400137271,4278614,10000000,0.4278614,0.6534,29.93,400137271
1980,56.62,400137271,4700127,10000000,0.4700127,0.6567,39.27,400137271
,,,,,,0.66,56.62,400137271
