20,4620.44,400137271,5719066,10000000,0.5719066,0.33,4620.44,400137271,,,p12,mean delay,seed
39.6,690.09,400137271,5706649,10000000,0.5706649,0.3333,690.09,400137271,,,0.3498,24.53,400137271
59.2,116.24,400137271,5215223,10000000,0.5215223,0.3366,116.24,400137271,,,0.3531,20.7,400137271
78.8,61.56,400137271,4752664,10000000,0.4752664,0.3399,61.56,400137271,,,0.3564,18.02,400137271
98.4,40.35,400137271,4324196,10000000,0.4324196,0.3432,40.35,400137271,,,0.3597,15.95,400137271
118,30.34,400137271,3919869,10000000,0.3919869,0.3465,30.34,400137271,,,0.363,14.35,400137271
137.6,24.53,400137271,3540378,10000000,0.3540378,0.3498,24.53,400137271,,,0.3663,13.1,400137271
157.2,20.7,400137271,3205097,10000000,0.3205097,0.3531,20.7,400137271,,,0.3696,12.06,400137271
176.8,18.02,400137271,2907661,10000000,0.2907661,0.3564,18.02,400137271,,,0.3729,11.19,400137271
196.4,15.95,400137271,2632916,10000000,0.2632916,0.3597,15.95,400137271,,,0.3762,10.44,400137271
216,14.35,400137271,2382619,10000000,0.2382619,0.363,14.35,400137271,,,0.3795,9.8,400137271
235.6,13.1,400137271,2167491,10000000,0.2167491,0.3663,13.1,400137271,,,0.3828,9.26,400137271
255.2,12.06,400137271,1966319,10000000,0.1966319,0.3696,12.06,400137271,,,0.3861,8.78,400137271
274.8,11.19,400137271,1783169,10000000,0.1783169,0.3729,11.19,400137271,,,0.3894,8.36,400137271
294.4,10.44,400137271,1609736,10000000,0.1609736,0.3762,10.44,400137271,,,0.3927,7.99,400137271
314,9.8,400137271,1456374,10000000,0.1456374,0.3795,9.8,400137271,,,0.396,7.66,400137271
333.6,9.26,400137271,1320571,10000000,0.1320571,0.3828,9.26,400137271,,,0.3993,7.37,400137271
353.2,8.78,400137271,1192094,10000000,0.1192094,0.3861,8.78,400137271,,,0.4026,7.11,400137271
372.8,8.36,400137271,1081369,10000000,0.1081369,0.3894,8.36,400137271,,,0.4059,6.87,400137271
392.4,7.99,400137271,977316,10000000,0.0977316,0.3927,7.99,400137271,,,0.4092,6.66,400137271
412,7.66,400137271,883654,10000000,0.0883654,0.396,7.66,400137271,,,0.4125,6.47,400137271
431.6,7.37,400137271,797668,10000000,0.0797668,0.3993,7.37,400137271,,,0.4158,6.29,400137271
451.2,7.11,400137271,722089,10000000,0.0722089,0.4026,7.11,400137271,,,0.4191,6.13,400137271
470.8,6.87,400137271,649005,10000000,0.0649005,0.4059,6.87,400137271,,,0.4224,5.99,400137271
490.4,6.66,400137271,586672,10000000,0.0586672,0.4092,6.66,400137271,,,0.4257,5.86,400137271
510,6.47,400137271,531019,10000000,0.0531019,0.4125,6.47,400137271,,,0.429,5.74,400137271
529.6,6.29,400137271,479094,10000000,0.0479094,0.4158,6.29,400137271,,,0.4323,5.63,400137271
549.2,6.13,400137271,432729,10000000,0.0432729,0.4191,6.13,400137271,,,0.4356,5.54,400137271
568.8,5.99,400137271,391179,10000000,0.0391179,0.4224,5.99,400137271,,,0.4389,5.44,400137271
588.4,5.86,400137271,354011,10000000,0.0354011,0.4257,5.86,400137271,,,0.4422,5.36,400137271
608,5.74,400137271,318870,10000000,0.031887,0.429,5.74,400137271,,,0.4455,5.28,400137271
627.6,5.63,400137271,288555,10000000,0.0288555,0.4323,5.63,400137271,,,0.4488,5.21,400137271
647.2,5.54,400137271,262817,10000000,0.0262817,0.4356,5.54,400137271,,,0.4521,5.15,400137271
666.8,5.44,400137271,237437,10000000,0.0237437,0.4389,5.44,400137271,,,0.4554,5.09,400137271
686.4,5.36,400137271,215329,10000000,0.0215329,0.4422,5.36,400137271,,,0.4587,5.04,400137271
706,5.28,400137271,196429,10000000,0.0196429,0.4455,5.28,400137271,,,0.462,4.99,400137271
725.6,5.21,400137271,177971,10000000,0.0177971,0.4488,5.21,400137271,,,0.4653,4.95,400137271
745.2,5.15,400137271,161775,10000000,0.0161775,0.4521,5.15,400137271,,,0.4686,4.91,400137271
764.8,5.09,400137271,147346,10000000,0.0147346,0.4554,5.09,400137271,,,0.4719,4.88,400137271
784.4,5.04,400137271,134254,10000000,0.0134254,0.4587,5.04,400137271,,,0.4752,4.85,400137271
804,4.99,400137271,123339,10000000,0.0123339,0.462,4.99,400137271,,,0.4785,4.82,400137271
823.6,4.95,400137271,114082,10000000,0.0114082,0.4653,4.95,400137271,,,0.4818,4.8,400137271
843.2,4.91,400137271,105310,10000000,0.010531,0.4686,4.91,400137271,,,0.4851,4.78,400137271
862.8,4.88,400137271,98054,10000000,0.0098054,0.4719,4.88,400137271,,,0.4884,4.77,400137271
882.4,4.85,400137271,90899,10000000,0.0090899,0.4752,4.85,400137271,,,0.4917,4.76,400137271
902,4.82,400137271,85903,10000000,0.0085903,0.4785,4.82,400137271,,,0.495,4.75,400137271
921.6,4.8,400137271,80684,10000000,0.0080684,0.4818,4.8,400137271,,,0.4983,4.75,400137271
941.2,4.78,400137271,76912,10000000,0.0076912,0.4851,4.78,400137271,,,0.5016,4.75,400137271
960.8,4.77,400137271,74411,10000000,0.0074411,0.4884,4.77,400137271,,,0.5049,4.75,400137271
980.4,4.76,400137271,72370,10000000,0.007237,0.4917,4.76,400137271,,,0.5082,4.76,400137271
1000,4.75,400137271,70894,10000000,0.0070894,0.495,4.75,400137271,,,0.5115,4.77,400137271
1019.6,4.75,400137271,70737,10000000,0.0070737,0.4983,4.75,400137271,,,0.5148,4.79,400137271
1039.2,4.75,400137271,71149,10000000,0.0071149,0.5016,4.75,400137271,,,0.5181,4.81,400137271
1058.8,4.75,400137271,71784,10000000,0.0071784,0.5049,4.75,400137271,,,0.5214,4.83,400137271
1078.4,4.76,400137271,73653,10000000,0.0073653,0.5082,4.76,400137271,,,0.5247,4.86,400137271
1098,4.77,400137271,75952,10000000,0.0075952,0.5115,4.77,400137271,,,0.528,4.89,400137271
1117.6,4.79,400137271,78925,10000000,0.0078925,0.5148,4.79,400137271,,,0.5313,4.92,400137271
1137.2,4.81,400137271,82957,10000000,0.0082957,0.5181,4.81,400137271,,,0.5346,4.96,400137271
1156.8,4.83,400137271,88022,10000000,0.0088022,0.5214,4.83,400137271,,,0.5379,5,400137271
1176.4,4.86,400137271,93483,10000000,0.0093483,0.5247,4.86,400137271,,,0.5412,5.05,400137271
1196,4.89,400137271,100470,10000000,0.010047,0.528,4.89,400137271,,,0.5445,5.1,400137271
1215.6,4.92,400137271,108337,10000000,0.0108337,0.5313,4.92,400137271,,,0.5478,5.16,400137271
1235.2,4.96,400137271,117508,10000000,0.0117508,0.5346,4.96,400137271,,,0.5511,5.23,400137271
1254.8,5,400137271,127840,10000000,0.012784,0.5379,5,400137271,,,0.5544,5.3,400137271
1274.4,5.05,400137271,138700,10000000,0.01387,0.5412,5.05,400137271,,,0.5577,5.37,400137271
1294,5.1,400137271,151305,10000000,0.0151305,0.5445,5.1,400137271,,,0.561,5.46,400137271
1313.6,5.16,400137271,166598,10000000,0.0166598,0.5478,5.16,400137271,,,0.5643,5.55,400137271
1333.2,5.23,400137271,182741,10000000,0.0182741,0.5511,5.23,400137271,,,0.5676,5.65,400137271
1352.8,5.3,400137271,200051,10000000,0.0200051,0.5544,5.3,400137271,,,0.5709,5.75,400137271
1372.4,5.37,400137271,219974,10000000,0.0219974,0.5577,5.37,400137271,,,0.5742,5.87,400137271
1392,5.46,400137271,242177,10000000,0.0242177,0.561,5.46,400137271,,,0.5775,6,400137271
