data->arrival_rate,1e3 * data->accumulated_delay / data->number_of_packets_processed,data->random_seed,data->delay_exceeds_20p_counter,data->number_of_packets_processed,(double)data->delay_exceeds_20p_counter / data->number_of_packets_processed,(double)data->p12,1e3 * (double)data->switch1->accumulated_delay_data / data->switch1->number_of_packets_processed_data,1e3 * (double)data->switch1->accumulated_delay_voice / data->switch1->number_of_packets_processed_voice,(double)data->switch1->accumulated_delay_data,data->switch1->number_of_packets_processed_data,(double)data->switch1->accumulated_delay_voice,data->switch1->number_of_packets_processed_voice,p12,mean delay link 1,mean delay link 2,mean delay link 3,seed
20,16924.48,400137271,5744904,10000000,0.5744904,0.32,#NAME?,#NAME?,0,0,0,0,0.32,19954.82,2.42,29461.21,400137271
20.06,12969.11,400137271,5736514,10000000,0.5736514,0.3231818,#NAME?,#NAME?,0,0,0,0,0.3231818,15251.41,2.44,22606.5,400137271
20.12,9119.25,400137271,5728566,10000000,0.5728566,0.3263636,#NAME?,#NAME?,0,0,0,0,0.3263636,10696.47,2.46,15916.66,400137271
20.18,5182.65,400137271,5720201,10000000,0.5720201,0.3295455,#NAME?,#NAME?,0,0,0,0,0.3295455,6063.24,2.47,9057.12,400137271
20.24,1370.53,400137271,5710096,10000000,0.5710096,0.3327273,#NAME?,#NAME?,0,0,0,0,0.3327273,1599.27,2.49,2396.45,400137271
20.3,136.1,400137271,5313116,10000000,0.5313116,0.3359091,#NAME?,#NAME?,0,0,0,0,0.3359091,158.31,2.51,236.42,400137271
20.36,70.14,400137271,4867369,10000000,0.4867369,0.3390909,#NAME?,#NAME?,0,0,0,0,0.3390909,81.34,2.53,120.96,400137271
20.42,44.5,400137271,4439122,10000000,0.4439122,0.3422727,#NAME?,#NAME?,0,0,0,0,0.3422727,51.47,2.55,76.02,400137271
20.48,32.92,400137271,4040961,10000000,0.4040961,0.3454545,#NAME?,#NAME?,0,0,0,0,0.3454545,37.95,2.57,55.71,400137271
20.54,26.24,400137271,3668913,10000000,0.3668913,0.3486364,#NAME?,#NAME?,0,0,0,0,0.3486364,30.17,2.59,43.99,400137271
20.6,22.02,400137271,3330123,10000000,0.3330123,0.3518182,#NAME?,#NAME?,0,0,0,0,0.3518182,25.25,2.61,36.59,400137271
20.66,19.07,400137271,3031434,10000000,0.3031434,0.355,#NAME?,#NAME?,0,0,0,0,0.355,21.81,2.63,31.4,400137271
20.72,16.82,400137271,2752798,10000000,0.2752798,0.3581818,#NAME?,#NAME?,0,0,0,0,0.3581818,19.19,2.65,27.44,400137271
20.78,15.1,400137271,2504910,10000000,0.250491,0.3613636,#NAME?,#NAME?,0,0,0,0,0.3613636,17.19,2.68,24.41,400137271
20.84,13.73,400137271,2275875,10000000,0.2275875,0.3645455,#NAME?,#NAME?,0,0,0,0,0.3645455,15.58,2.7,21.98,400137271
20.9,12.63,400137271,2077771,10000000,0.2077771,0.3677273,#NAME?,#NAME?,0,0,0,0,0.3677273,14.31,2.72,20.04,400137271
20.96,11.71,400137271,1893653,10000000,0.1893653,0.3709091,#NAME?,#NAME?,0,0,0,0,0.3709091,13.23,2.75,18.39,400137271
21.02,10.91,400137271,1719398,10000000,0.1719398,0.3740909,#NAME?,#NAME?,0,0,0,0,0.3740909,12.3,2.77,16.97,400137271
21.08,10.23,400137271,1558340,10000000,0.155834,0.3772727,#NAME?,#NAME?,0,0,0,0,0.3772727,11.5,2.79,15.74,400137271
21.14,9.65,400137271,1416378,10000000,0.1416378,0.3804545,#NAME?,#NAME?,0,0,0,0,0.3804545,10.83,2.82,14.71,400137271
21.2,9.13,400137271,1285932,10000000,0.1285932,0.3836364,#NAME?,#NAME?,0,0,0,0,0.3836364,10.23,2.85,13.78,400137271
21.26,8.69,400137271,1169585,10000000,0.1169585,0.3868182,#NAME?,#NAME?,0,0,0,0,0.3868182,9.71,2.87,12.98,400137271
21.32,8.29,400137271,1060559,10000000,0.1060559,0.39,#NAME?,#NAME?,0,0,0,0,0.39,9.24,2.9,12.24,400137271
21.38,7.94,400137271,962983,10000000,0.0962983,0.3931818,#NAME?,#NAME?,0,0,0,0,0.3931818,8.84,2.93,11.61,400137271
21.44,7.63,400137271,873187,10000000,0.0873187,0.3963636,#NAME?,#NAME?,0,0,0,0,0.3963636,8.47,2.96,11.03,400137271
21.5,7.35,400137271,791374,10000000,0.0791374,0.3995455,#NAME?,#NAME?,0,0,0,0,0.3995455,8.15,2.99,10.52,400137271
21.56,7.1,400137271,717845,10000000,0.0717845,0.4027273,#NAME?,#NAME?,0,0,0,0,0.4027273,7.86,3.02,10.05,400137271
21.62,6.87,400137271,649005,10000000,0.0649005,0.4059091,#NAME?,#NAME?,0,0,0,0,0.4059091,7.59,3.05,9.61,400137271
21.68,6.67,400137271,588877,10000000,0.0588877,0.4090909,#NAME?,#NAME?,0,0,0,0,0.4090909,7.35,3.08,9.22,400137271
21.74,6.48,400137271,534669,10000000,0.0534669,0.4122727,#NAME?,#NAME?,0,0,0,0,0.4122727,7.14,3.11,8.87,400137271
21.8,6.31,400137271,484341,10000000,0.0484341,0.4154545,#NAME?,#NAME?,0,0,0,0,0.4154545,6.94,3.14,8.53,400137271
21.86,6.16,400137271,439478,10000000,0.0439478,0.4186364,#NAME?,#NAME?,0,0,0,0,0.4186364,6.76,3.18,8.23,400137271
21.92,6.02,400137271,397935,10000000,0.0397935,0.4218182,#NAME?,#NAME?,0,0,0,0,0.4218182,6.6,3.21,7.95,400137271
21.98,5.89,400137271,361825,10000000,0.0361825,0.425,#NAME?,#NAME?,0,0,0,0,0.425,6.45,3.25,7.7,400137271
22.04,5.77,400137271,326684,10000000,0.0326684,0.4281818,#NAME?,#NAME?,0,0,0,0,0.4281818,6.31,3.29,7.45,400137271
22.1,5.66,400137271,296712,10000000,0.0296712,0.4313636,#NAME?,#NAME?,0,0,0,0,0.4313636,6.18,3.32,7.22,400137271
22.16,5.57,400137271,270540,10000000,0.027054,0.4345455,#NAME?,#NAME?,0,0,0,0,0.4345455,6.07,3.36,7.02,400137271
22.22,5.48,400137271,246659,10000000,0.0246659,0.4377273,#NAME?,#NAME?,0,0,0,0,0.4377273,5.96,3.4,6.82,400137271
22.28,5.39,400137271,223808,10000000,0.0223808,0.4409091,#NAME?,#NAME?,0,0,0,0,0.4409091,5.86,3.44,6.63,400137271
22.34,5.32,400137271,204316,10000000,0.0204316,0.4440909,#NAME?,#NAME?,0,0,0,0,0.4440909,5.78,3.49,6.45,400137271
22.4,5.24,400137271,185912,10000000,0.0185912,0.4472727,#NAME?,#NAME?,0,0,0,0,0.4472727,5.69,3.53,6.29,400137271
22.46,5.18,400137271,169635,10000000,0.0169635,0.4504545,#NAME?,#NAME?,0,0,0,0,0.4504545,5.62,3.57,6.13,400137271
22.52,5.12,400137271,154956,10000000,0.0154956,0.4536364,#NAME?,#NAME?,0,0,0,0,0.4536364,5.55,3.62,5.98,400137271
22.58,5.07,400137271,141470,10000000,0.014147,0.4568182,#NAME?,#NAME?,0,0,0,0,0.4568182,5.49,3.67,5.84,400137271
22.64,5.02,400137271,129753,10000000,0.0129753,0.46,#NAME?,#NAME?,0,0,0,0,0.46,5.43,3.72,5.71,400137271
22.7,4.98,400137271,119954,10000000,0.0119954,0.4631818,#NAME?,#NAME?,0,0,0,0,0.4631818,5.38,3.77,5.58,400137271
22.76,4.94,400137271,111103,10000000,0.0111103,0.4663636,#NAME?,#NAME?,0,0,0,0,0.4663636,5.33,3.82,5.46,400137271
22.82,4.9,400137271,103334,10000000,0.0103334,0.4695455,#NAME?,#NAME?,0,0,0,0,0.4695455,5.29,3.87,5.34,400137271
22.88,4.87,400137271,95967,10000000,0.0095967,0.4727273,#NAME?,#NAME?,0,0,0,0,0.4727273,5.26,3.93,5.23,400137271
22.94,4.84,400137271,89647,10000000,0.0089647,0.4759091,#NAME?,#NAME?,0,0,0,0,0.4759091,5.22,3.99,5.12,400137271
23,4.82,400137271,85242,10000000,0.0085242,0.4790909,#NAME?,#NAME?,0,0,0,0,0.4790909,5.2,4.05,5.03,400137271
23.06,4.8,400137271,79701,10000000,0.0079701,0.4822727,#NAME?,#NAME?,0,0,0,0,0.4822727,5.17,4.11,4.93,400137271
23.12,4.78,400137271,76751,10000000,0.0076751,0.4854545,#NAME?,#NAME?,0,0,0,0,0.4854545,5.15,4.17,4.84,400137271
23.18,4.77,400137271,74269,10000000,0.0074269,0.4886364,#NAME?,#NAME?,0,0,0,0,0.4886364,5.14,4.24,4.75,400137271
23.24,4.76,400137271,72325,10000000,0.0072325,0.4918182,#NAME?,#NAME?,0,0,0,0,0.4918182,5.13,4.3,4.67,400137271
23.3,4.75,400137271,70894,10000000,0.0070894,0.495,#NAME?,#NAME?,0,0,0,0,0.495,5.12,4.37,4.58,400137271
23.36,4.75,400137271,70787,10000000,0.0070787,0.4981818,#NAME?,#NAME?,0,0,0,0,0.4981818,5.12,4.45,4.5,400137271
23.42,4.75,400137271,71156,10000000,0.0071156,0.5013636,#NAME?,#NAME?,0,0,0,0,0.5013636,5.12,4.53,4.43,400137271
23.48,4.75,400137271,71537,10000000,0.0071537,0.5045455,#NAME?,#NAME?,0,0,0,0,0.5045455,5.12,4.6,4.35,400137271
23.54,4.76,400137271,73234,10000000,0.0073234,0.5077273,#NAME?,#NAME?,0,0,0,0,0.5077273,5.13,4.69,4.28,400137271
23.6,4.77,400137271,75582,10000000,0.0075582,0.5109091,#NAME?,#NAME?,0,0,0,0,0.5109091,5.14,4.77,4.22,400137271
23.66,4.78,400137271,77977,10000000,0.0077977,0.5140909,#NAME?,#NAME?,0,0,0,0,0.5140909,5.16,4.86,4.15,400137271
23.72,4.8,400137271,81895,10000000,0.0081895,0.5172727,#NAME?,#NAME?,0,0,0,0,0.5172727,5.17,4.95,4.09,400137271
23.78,4.82,400137271,86509,10000000,0.0086509,0.5204545,#NAME?,#NAME?,0,0,0,0,0.5204545,5.2,5.05,4.03,400137271
23.84,4.85,400137271,91635,10000000,0.0091635,0.5236364,#NAME?,#NAME?,0,0,0,0,0.5236364,5.23,5.15,3.97,400137271
23.9,4.87,400137271,97894,10000000,0.0097894,0.5268182,#NAME?,#NAME?,0,0,0,0,0.5268182,5.26,5.26,3.91,400137271
23.96,4.91,400137271,105389,10000000,0.0105389,0.53,#NAME?,#NAME?,0,0,0,0,0.53,5.3,5.37,3.86,400137271
24.02,4.94,400137271,113589,10000000,0.0113589,0.5331818,#NAME?,#NAME?,0,0,0,0,0.5331818,5.34,5.48,3.8,400137271
24.08,4.98,400137271,122746,10000000,0.0122746,0.5363636,#NAME?,#NAME?,0,0,0,0,0.5363636,5.39,5.6,3.75,400137271
24.14,5.03,400137271,133264,10000000,0.0133264,0.5395455,#NAME?,#NAME?,0,0,0,0,0.5395455,5.44,5.73,3.7,400137271
24.2,5.07,400137271,143915,10000000,0.0143915,0.5427273,#NAME?,#NAME?,0,0,0,0,0.5427273,5.49,5.86,3.66,400137271
24.26,5.13,400137271,157677,10000000,0.0157677,0.5459091,#NAME?,#NAME?,0,0,0,0,0.5459091,5.56,6,3.61,400137271
24.32,5.19,400137271,172525,10000000,0.0172525,0.5490909,#NAME?,#NAME?,0,0,0,0,0.5490909,5.63,6.15,3.56,400137271
24.38,5.25,400137271,189002,10000000,0.0189002,0.5522727,#NAME?,#NAME?,0,0,0,0,0.5522727,5.7,6.31,3.52,400137271
24.44,5.32,400137271,206225,10000000,0.0206225,0.5554545,#NAME?,#NAME?,0,0,0,0,0.5554545,5.78,6.47,3.47,400137271
24.5,5.39,400137271,226099,10000000,0.0226099,0.5586364,#NAME?,#NAME?,0,0,0,0,0.5586364,5.87,6.64,3.43,400137271
24.56,5.48,400137271,248262,10000000,0.0248262,0.5618182,#NAME?,#NAME?,0,0,0,0,0.5618182,5.97,6.83,3.39,400137271
24.62,5.57,400137271,272439,10000000,0.0272439,0.565,#NAME?,#NAME?,0,0,0,0,0.565,6.07,7.02,3.35,400137271
24.68,5.66,400137271,300437,10000000,0.0300437,0.5681818,#NAME?,#NAME?,0,0,0,0,0.5681818,6.18,7.23,3.31,400137271
