data->arrival_rate,1e3 * data->accumulated_delay / data->number_of_packets_processed,data->random_seed,data->delay_exceeds_20p_counter,data->number_of_packets_processed,(double)data->delay_exceeds_20p_counter / data->number_of_packets_processed,(double)data->p12,1e3 * (double)data->switch1->accumulated_delay_data / data->switch1->number_of_packets_processed_data,1e3 * (double)data->switch1->accumulated_delay_voice / data->switch1->number_of_packets_processed_voice,(double)data->switch1->accumulated_delay_data,data->switch1->number_of_packets_processed_data,(double)data->switch1->accumulated_delay_voice,data->switch1->number_of_packets_processed_voice,p12,mean delay link 1,mean delay link 2,mean delay link 3,seed
20,445550.86,400137271,6665954,10000000,0.6665954,0,#NAME?,#NAME?,0,0,0,0,0,668161.71,1.5,668728.73,400137271
20.06,430436.6,400137271,6632589,10000000,0.6632589,0.01,#NAME?,#NAME?,0,0,0,0,0.01,640657.38,1.52,649291.24,400137271
20.12,415528.14,400137271,6599842,10000000,0.6599842,0.02,#NAME?,#NAME?,0,0,0,0,0.02,613843.1,1.53,629917.49,400137271
20.18,400736.38,400137271,6567311,10000000,0.6567311,0.03,#NAME?,#NAME?,0,0,0,0,0.03,587630.29,1.55,610493.41,400137271
20.24,386161.34,400137271,6535262,10000000,0.6535262,0.04,#NAME?,#NAME?,0,0,0,0,0.04,562085.18,1.56,591187.62,400137271
20.3,371662.19,400137271,6503432,10000000,0.6503432,0.05,#NAME?,#NAME?,0,0,0,0,0.05,537024.02,1.58,571757.76,400137271
20.36,357237.57,400137271,6471618,10000000,0.6471618,0.06,#NAME?,#NAME?,0,0,0,0,0.06,512363.21,1.6,552265.05,400137271
20.42,343066.32,400137271,6440386,10000000,0.6440386,0.07,#NAME?,#NAME?,0,0,0,0,0.07,488438.81,1.62,532925.49,400137271
20.48,328950.65,400137271,6409384,10000000,0.6409384,0.08,#NAME?,#NAME?,0,0,0,0,0.08,464888.11,1.64,513472.34,400137271
20.54,314929.1,400137271,6378709,10000000,0.6378709,0.09,#NAME?,#NAME?,0,0,0,0,0.09,441816.44,1.66,493951.91,400137271
