data->arrival_rate,1e3 * data->accumulated_delay / data->number_of_packets_processed,data->random_seed,data->delay_exceeds_20p_counter,data->number_of_packets_processed,(double)data->delay_exceeds_20p_counter / data->number_of_packets_processed,(double)data->p12,1e3 * (double)data->switch1->accumulated_delay_data / data->switch1->number_of_packets_processed_data,1e3 * (double)data->switch1->accumulated_delay_voice / data->switch1->number_of_packets_processed_voice,(double)data->switch1->accumulated_delay_data,data->switch1->number_of_packets_processed_data,(double)data->switch1->accumulated_delay_voice,data->switch1->number_of_packets_processed_voice,,,,
22,1130.58,400137271,19199186,20000000,0.9599593,0,1158.088886,1118.473694,7077304.691,6111193,15534265.27,13888807,,22,1158.088886,1118.473694
22.04,1190.48,400137271,19239011,20000000,0.9619505,0.01,1217.996021,1178.351556,7452708.158,6118828,16356900.63,13881172,,22.04,1217.996021,1178.351556
22.08,1257.4,400137271,19279214,20000000,0.9639607,0.02,1284.894883,1245.262661,7871984.31,6126559,17276078.06,13873441,,22.08,1284.894883,1245.262661
22.12,1331.76,400137271,19320250,20000000,0.9660125,0.03,1359.190167,1319.61826,8337640.827,6134271,18297469.18,13865729,,22.12,1359.190167,1319.61826
22.16,1414.61,400137271,19360593,20000000,0.9680296,0.04,1442.008573,1402.466517,8856630.634,6141871,19435561.91,13858129,,22.16,1442.008573,1402.466517
22.2,1508.03,400137271,19400218,20000000,0.9700109,0.05,1535.400869,1495.879693,9441866.265,6149447,20718760.97,13850553,,22.2,1535.400869,1495.879693
22.24,1613.75,400137271,19440651,20000000,0.9720325,0.06,1641.061037,1601.5972,10104121.11,6157066,22170804.33,13842934,,22.24,1641.061037,1601.5972
22.28,1736.63,400137271,19481500,20000000,0.974075,0.07,1763.854387,1724.505164,10873643.73,6164706,23859035.95,13835294,,22.28,1763.854387,1724.505164
22.32,1878.85,400137271,19521868,20000000,0.9760934,0.08,1905.9636,1866.748951,11764297.3,6172362,25812728.74,13827638,,22.32,1905.9636,1866.748951
22.36,2047.46,400137271,19562818,20000000,0.9781409,0.09,2074.445861,2035.386192,12819971.7,6179950,28129138.94,13820050,,22.36,2074.445861,2035.386192
22.4,2252.02,400137271,19603755,20000000,0.9801878,0.1,2278.884356,2239.988867,14101020.82,6187686,30939429.59,13812314,,22.4,2278.884356,2239.988867
22.44,2497.75,400137271,19645300,20000000,0.982265,0.11,2524.430387,2485.770885,15639702.03,6195339,34315224.39,13804661,,22.44,2524.430387,2485.770885
22.48,2807.92,400137271,19686178,20000000,0.9843089,0.12,2834.46705,2795.98474,17582051.72,6202948,38576346.85,13797052,,22.48,2834.46705,2795.98474
22.52,3224.54,400137271,19727013,20000000,0.9863506,0.13,3251.071032,3212.59599,20190815.66,6210512,44300053.85,13789488,,22.52,3251.071032,3212.59599
22.56,3885.22,400137271,19767887,20000000,0.9883943,0.14,3911.840904,3873.214155,24324378.31,6218141,53380091.36,13781859,,22.56,3911.840904,3873.214155
22.6,5027.21,400137271,19808699,20000000,0.990435,0.15,5053.781646,5015.204848,31463485.06,6225731,69080780.66,13774269,,22.6,5053.781646,5015.204848
22.64,6618.1,400137271,19849625,20000000,0.9924812,0.16,6644.332974,6606.218982,41416346.63,6233334,90945610.25,13766666,,22.64,6644.332974,6606.218982
22.68,9996.02,400137271,19890552,20000000,0.9945276,0.17,10023.65925,9983.479308,62556915.62,6240926,137363430.6,13759074,,22.68,10023.65925,9983.479308
22.72,16271.5,400137271,19931497,20000000,0.9965749,0.18,16299.34962,16258.84195,101845915.6,6248465,223584034.2,13751535,,22.72,16299.34962,16258.84195
22.76,38716.71,400137271,19971852,20000000,0.9985926,0.19,38744.23416,38704.18689,242385091.2,6256030,531949183.6,13743970,,22.76,38744.23416,38704.18689
22.8,179289.78,400137271,19995044,20000000,0.9997522,0.2,179294.4988,179287.6264,1123015934,6263527,2462779639,13736473,,22.8,179294.4988,179287.6264
22.84,370670.04,400137271,19997771,20000000,0.9998885,0.21,370638.9306,370684.2574,2324311203,6271093,5089089696,13728907,,22.84,370638.9306,370684.2574
22.88,568189.06,400137271,19999919,20000000,0.9999959,0.22,568126.9505,568217.4814,3567091299,6278687,7796689914,13721313,,22.88,568126.9505,568217.4814
22.92,787192.84,400137271,19999924,20000000,0.9999962,0.23,787108.5878,787231.4595,4948002289,6286302,10795854492,13713698,,22.92,787108.5878,787231.4595
22.96,1005964.89,400137271,19999923,20000000,0.9999961,0.24,1005853.877,1006015.871,6330676326,6293833,13788621528,13706167,,22.96,1005853.877,1006015.871
23,1224496.88,400137271,19999918,20000000,0.9999959,0.25,1224358.052,1224560.743,7715101264,6301344,16774836372,13698656,,23,1224358.052,1224560.743
23.04,1442794.99,400137271,19999921,20000000,0.9999961,0.26,1442670.277,1442852.465,9101865925,6309041,19754033940,13690959,,23.04,1442670.277,1442852.465
23.08,1660863.56,400137271,19999922,20000000,0.9999961,0.27,1660735.161,1660922.831,10490206359,6316604,22727064827,13683396,,23.08,1660735.161,1660922.831
23.12,1878694.8,400137271,19999921,20000000,0.9999961,0.28,1878550.536,1878761.516,11880139565,6324099,25693756499,13675901,,23.12,1878550.536,1878761.516
23.16,2096292.34,400137271,19999925,20000000,0.9999963,0.29,2096126.347,2096369.228,13271760216,6331565,28654086533,13668435,,23.16,2096126.347,2096369.228
23.2,2313650.15,400137271,19999922,20000000,0.9999961,0.3,2313484.055,2313727.23,14665374385,6339086,31607628707,13660914,,23.2,2313484.055,2313727.23
23.24,2530762.42,400137271,19999923,20000000,0.9999961,0.31,2530535.864,2530867.731,16059876313,6346433,34555372138,13653567,,23.24,2530535.864,2530867.731
23.28,2747631.92,400137271,19999922,20000000,0.9999961,0.32,2747351.365,2747762.548,17456134841,6353805,37496503548,13646195,,23.28,2747351.365,2747762.548
23.32,2964269.94,400137271,19999926,20000000,0.9999963,0.33,2963964.996,2964412.165,18854510474,6361246,40430888273,13638754,,23.32,2963964.996,2964412.165
23.36,3180669.22,400137271,19999928,20000000,0.9999964,0.34,3180315.647,3180834.403,20254250460,6368629,43359133841,13631371,,23.36,3180315.647,3180834.403
23.4,3396835.2,400137271,19999930,20000000,0.9999965,0.35,3396438.984,3397020.626,21655769686,6376022,46280934267,13623978,,23.4,3396438.984,3397020.626
23.44,3612764.51,400137271,19999926,20000000,0.9999963,0.36,3612294.279,3612984.953,23058553135,6383354,49196737115,13616646,,23.44,3612294.279,3612984.953
23.48,3828459.05,400137271,19999926,20000000,0.9999963,0.37,3827960.794,3828693.023,24463601689,6390766,52105579267,13609234,,23.48,3827960.794,3828693.023
23.52,4043920.31,400137271,19999926,20000000,0.9999963,0.38,4043388.086,4044170.66,25870243916,6398160,55008162252,13601840,,23.52,4043388.086,4044170.66
23.56,4259144.25,400137271,19999926,20000000,0.9999963,0.39,4258629.019,4259387.027,27279180508,6405625,57903704514,13594375,,23.56,4258629.019,4259387.027
23.6,4474140.24,400137271,19999928,20000000,0.9999964,0.4,4473606.332,4474392.247,28689340301,6413023,60793464549,13586977,,23.6,4473606.332,4474392.247
23.64,4688905.17,400137271,19999927,20000000,0.9999963,0.41,4688359.861,4689162.991,30101248796,6420422,63676854585,13579578,,23.64,4688359.861,4689162.991
23.68,4903441.29,400137271,19999930,20000000,0.9999965,0.42,4902845.396,4903723.503,31514308619,6427759,66554517183,13572241,,23.68,4902845.396,4903723.503
23.72,5117742.91,400137271,19999926,20000000,0.9999963,0.43,5117142.896,5118027.553,32929582106,6435150,69425276049,13564850,,23.72,5117142.896,5118027.553
23.76,5331812.35,400137271,19999925,20000000,0.9999963,0.44,5331197.046,5332104.736,34346327598,6442517,72289919311,13557483,,23.76,5331197.046,5332104.736
23.8,5545645.1,400137271,19999928,20000000,0.9999964,0.45,5544978.107,5545962.581,35764177235,6449832,75148724701,13550168,,23.8,5544978.107,5545962.581
23.84,5759247.46,400137271,19999930,20000000,0.9999965,0.46,5758538.192,5759585.629,37183756407,6457152,78001192722,13542848,,23.84,5758538.192,5759585.629
23.88,5972617.43,400137271,19999929,20000000,0.9999965,0.47,5971908.548,5972955.983,38605474472,6464512,80846874034,13535488,,23.88,5971908.548,5972955.983
23.92,6185763.71,400137271,19999931,20000000,0.9999965,0.48,6185114.569,6186074.26,40029597604,6471925,83685676550,13528075,,23.92,6185114.569,6186074.26
23.96,6398677.98,400137271,19999932,20000000,0.9999966,0.49,6397947.865,6399027.85,41453455850,6479180,86520103735,13520820,,23.96,6397947.865,6399027.85
24,6611371.57,400137271,19999931,20000000,0.9999965,0.5,6610705.746,6611691.175,42880838621,6486575,89346592823,13513425,,24,6610705.746,6611691.175
24.04,6823835.94,400137271,19999935,20000000,0.9999967,0.51,6823154.574,6824163.547,44308747026,6493880,92167971770,13506120,,24.04,6823154.574,6824163.547
24.08,7036070.59,400137271,19999930,20000000,0.9999965,0.52,7035398.545,7036394.258,45738533021,6501200,94982878812,13498800,,24.08,7035398.545,7036394.258
24.12,7248068.15,400137271,19999930,20000000,0.9999965,0.53,7247405.951,7248387.604,47169821353,6508511,97791541632,13491489,,24.12,7247405.951,7248387.604
24.16,7459839.42,400137271,19999932,20000000,0.9999966,0.54,7459131.923,7460181.288,48601943258,6515764,1.00595E+11,13484236,,24.16,7459131.923,7460181.288
24.2,7671379.74,400137271,19999932,20000000,0.9999966,0.55,7670560.3,7671776.354,50034704320,6522953,1.03393E+11,13477047,,24.2,7670560.3,7671776.354
24.24,7882690.66,400137271,19999933,20000000,0.9999967,0.56,7881897.832,7883075.023,51470794845,6530254,1.06183E+11,13469746,,24.24,7881897.832,7883075.023
24.28,8093772.74,400137271,19999934,20000000,0.9999967,0.57,8093034.501,8094131.246,52908763375,6537568,1.08967E+11,13462432,,24.28,8093034.501,8094131.246
24.32,8304630.44,400137271,19999936,20000000,0.9999968,0.58,8303770.601,8305048.664,54345944867,6544731,1.11747E+11,13455269,,24.32,8303770.601,8305048.664
24.36,8515263.4,400137271,19999931,20000000,0.9999965,0.59,8514360.542,8515703.274,55785673071,6551951,1.1452E+11,13448049,,24.36,8514360.542,8515703.274
24.4,8725666.12,400137271,19999930,20000000,0.9999965,0.6,8724680.931,8726146.894,57226351336,6559134,1.17287E+11,13440866,,24.4,8724680.931,8726146.894
24.44,8935841.57,400137271,19999931,20000000,0.9999965,0.61,8934767.138,8936366.747,58668415068,6566306,1.20048E+11,13433694,,24.44,8934767.138,8936366.747
24.48,9145792.43,400137271,19999937,20000000,0.9999969,0.62,9144640.727,9146356.29,60112122070,6573481,1.22804E+11,13426519,,24.48,9144640.727,9146356.29
24.52,9355516.88,400137271,19999937,20000000,0.9999969,0.63,9354479.834,9356025.454,61559829926,6580786,1.25551E+11,13419214,,24.52,9354479.834,9356025.454
24.56,9565018.11,400137271,19999940,20000000,0.999997,0.64,9563983.013,9565526.555,63007529654,6588001,1.28293E+11,13411999,,24.56,9563983.013,9565526.555
24.6,9774294.17,400137271,19999939,20000000,0.9999969,0.65,9773319.056,9774773.933,64457453183,6595247,1.31028E+11,13404753,,24.6,9773319.056,9774773.933
24.64,9983353.95,400137271,19999938,20000000,0.9999969,0.66,9982495.736,9983776.891,65909637726,6602521,1.33757E+11,13397479,,24.64,9982495.736,9983776.891
24.68,10192188.03,400137271,19999939,20000000,0.9999969,0.67,10191258.61,10192646.8,67360764569,6609661,1.36483E+11,13390339,,24.68,10191258.61,10192646.8
24.72,10400794.4,400137271,19999937,20000000,0.9999969,0.68,10399794.57,10401288.72,68813308711,6616795,1.39203E+11,13383205,,24.72,10399794.57,10401288.72
24.76,10609179.43,400137271,19999940,20000000,0.999997,0.69,10608229.21,10609649.99,70268889087,6623998,1.41915E+11,13376002,,24.76,10608229.21,10609649.99
24.8,10817348.96,400137271,19999940,20000000,0.999997,0.7,10816511.8,10817764.21,71726788350,6631231,1.4462E+11,13368769,,24.8,10816511.8,10817764.21
24.84,11025294.48,400137271,19999939,20000000,0.9999969,0.71,11024346.77,11025765.32,73183119585,6638318,1.47323E+11,13361682,,24.84,11024346.77,11025765.32
24.88,11233017.79,400137271,19999939,20000000,0.9999969,0.72,11232022.88,11233512.87,74641700423,6645437,1.50019E+11,13354563,,24.88,11232022.88,11233512.87
24.92,11440520.92,400137271,19999937,20000000,0.9999969,0.73,11439572.95,11440993.4,76102948752,6652604,1.52707E+11,13347396,,24.92,11439572.95,11440993.4
24.96,11647811.11,400137271,19999942,20000000,0.9999971,0.74,11646918.56,11648256.7,77565763880,6659767,1.5539E+11,13340233,,24.96,11646918.56,11648256.7
25,11854877.02,400137271,19999945,20000000,0.9999972,0.75,11853910.61,11855360.24,79028220259,6666848,1.58069E+11,13333152,,25,11853910.61,11855360.24
