data->arrival_rate,1e3 * data->accumulated_delay / data->number_of_packets_processed,data->random_seed,data->delay_exceeds_20p_counter,data->number_of_packets_processed,(double)data->delay_exceeds_20p_counter / data->number_of_packets_processed,(double)data->p12,1e3 * (double)data->switch1->accumulated_delay_data / data->switch1->number_of_packets_processed_data,1e3 * (double)data->switch1->accumulated_delay_voice / data->switch1->number_of_packets_processed_voice,(double)data->switch1->accumulated_delay_data,data->switch1->number_of_packets_processed_data,(double)data->switch1->accumulated_delay_voice,data->switch1->number_of_packets_processed_voice,,,,
0.05,1.9,400137271,20125,10000000,0.0020125,0,40.7327043,1.8641808,406.8382506,9988,18623.18899,9990012,,0.05,40.7327043,1.8641808
0.2995,2.53,400137271,118478,10000000,0.0118478,0.01,40.5006614,2.2978449,2420.765032,59771,22841.10468,9940229,,0.2995,40.5006614,2.2978449
0.549,3.16,400137271,216900,10000000,0.02169,0.02,41.0990041,2.7452086,4456.652703,108437,27154.40344,9891563,,0.549,41.0990041,2.7452086
0.7985,3.8,400137271,314805,10000000,0.0314805,0.03,41.440113,3.1966762,6510.946228,157117,31464.5103,9842883,,0.7985,41.440113,3.1966762
1.048,4.44,400137271,412705,10000000,0.0412705,0.04,41.8891902,3.6589128,8584.561186,204935,35839.28852,9795065,,1.048,41.8891902,3.6589128
1.2975,5.1,400137271,510693,10000000,0.0510693,0.05,42.3441148,4.1342429,10695.69996,252590,40298.16024,9747410,,1.2975,42.3441148,4.1342429
1.547,5.77,400137271,609695,10000000,0.0609695,0.06,42.8503685,4.6280896,12840.54143,299660,44894.04231,9700340,,1.547,42.8503685,4.6280896
1.7965,6.45,400137271,708450,10000000,0.070845,0.07,43.3607239,5.1225991,15015.81869,346300,49452.03522,9653700,,1.7965,43.3607239,5.1225991
2.046,7.13,400137271,806322,10000000,0.0806322,0.08,43.8830835,5.6319277,17211.38417,392210,54110.37874,9607790,,2.046,43.8830835,5.6319277
2.2955,7.84,400137271,906148,10000000,0.0906148,0.09,44.427403,6.1599579,19466.39974,438162,58900.5194,9561838,,2.2955,44.427403,6.1599579
2.545,8.55,400137271,1005596,10000000,0.1005596,0.1,45.0050702,6.6973725,21756.44104,483422,63736.06759,9516578,,2.545,45.0050702,6.6973725
2.7945,9.27,400137271,1104971,10000000,0.1104971,0.11,45.5520411,7.2477117,24075.57473,528529,68646.49144,9471471,,2.7945,45.5520411,7.2477117
3.044,10.01,400137271,1204169,10000000,0.1204169,0.12,46.1077576,7.8133865,26427.81394,573175,73655.42713,9426825,,3.044,46.1077576,7.8133865
3.2935,10.76,400137271,1304843,10000000,0.1304843,0.13,46.7243484,8.3966433,28851.95804,617493,78781.56444,9382507,,3.2935,46.7243484,8.3966433
3.543,11.54,400137271,1405854,10000000,0.1405854,0.14,47.3851431,8.9987319,31319.49462,660956,84039.55333,9339044,,3.543,47.3851431,8.9987319
3.7925,12.31,400137271,1505089,10000000,0.1505089,0.15,47.9869415,9.6019115,33799.07436,704339,89256.11414,9295661,,3.7925,47.9869415,9.6019115
4.042,13.11,400137271,1606279,10000000,0.1606279,0.16,48.6491888,10.2405138,36343.81437,747059,94754.87005,9252941,,4.042,48.6491888,10.2405138
4.2915,13.91,400137271,1705509,10000000,0.1705509,0.17,49.2862545,10.8767055,38920.9609,789692,100177.8078,9210308,,4.2915,49.2862545,10.8767055
4.541,14.74,400137271,1806805,10000000,0.1806805,0.18,49.9719044,11.5454145,41570.52792,831878,105849.7687,9168122,,4.541,49.9719044,11.5454145
4.7905,15.58,400137271,1907497,10000000,0.1907497,0.19,50.664658,12.2255312,44264.24238,873671,111574.2197,9126329,,4.7905,50.664658,12.2255312
5.04,16.45,400137271,2008243,10000000,0.2008243,0.2,51.381052,12.9317362,47012.78907,914983,117485.0433,9085017,,5.04,51.381052,12.9317362
5.2895,17.33,400137271,2109143,10000000,0.2109143,0.21,52.1026989,13.6554001,49804.91778,955899,123500.8177,9044101,,5.2895,52.1026989,13.6554001
5.539,18.24,400137271,2210775,10000000,0.2210775,0.22,52.8650325,14.4040196,52692.05815,996728,129683.306,9003272,,5.539,52.8650325,14.4040196
5.7885,19.16,400137271,2311053,10000000,0.2311053,0.23,53.6468606,15.1652131,55625.19585,1036877,135927.6704,8963123,,5.7885,53.6468606,15.1652131
6.038,20.09,400137271,2413094,10000000,0.2413094,0.24,54.4391145,15.9516047,58598.48057,1076404,142345.6759,8923596,,6.038,54.4391145,15.9516047
6.2875,21.07,400137271,2515159,10000000,0.2515159,0.25,55.2819441,16.769092,61697.02676,1116043,148975.8922,8883957,,6.2875,55.2819441,16.769092
6.537,22.05,400137271,2617268,10000000,0.2617268,0.26,56.1245535,17.5992474,64839.79862,1155284,155660.3452,8844716,,6.537,56.1245535,17.5992474
6.7865,23.06,400137271,2718971,10000000,0.2718971,0.27,56.9976572,18.4587787,68057.71062,1194044,162547.193,8805956,,6.7865,56.9976572,18.4587787
7.036,24.1,400137271,2820977,10000000,0.2820977,0.28,57.8760806,19.3466795,71338.51992,1232608,169619.923,8767392,,7.036,57.8760806,19.3466795
7.2855,25.16,400137271,2923909,10000000,0.2923909,0.29,58.8093293,20.2663185,74736.48351,1270827,176908.2001,8729173,,7.2855,58.8093293,20.2663185
7.535,26.29,400137271,3028288,10000000,0.3028288,0.3,59.8042081,21.2385232,78279.2231,1308925,184585.5977,8691075,,7.535,59.8042081,21.2385232
7.7845,27.43,400137271,3133269,10000000,0.3133269,0.31,60.8074572,22.2309582,81881.31517,1346567,192374.1073,8653433,,7.7845,60.8074572,22.2309582
8.034,28.62,400137271,3237161,10000000,0.3237161,0.32,61.87991,23.2799338,85635.54562,1383899,200582.2608,8616101,,8.034,61.87991,23.2799338
8.2835,29.82,400137271,3340592,10000000,0.3340592,0.33,62.9530283,24.3381664,89436.17121,1420681,208804.8935,8579319,,8.2835,62.9530283,24.3381664
8.533,31.06,400137271,3445732,10000000,0.3445732,0.34,64.0531529,25.4364544,93353.69116,1457441,217292.4125,8542559,,8.533,64.0531529,25.4364544
8.7825,32.33,400137271,3550151,10000000,0.3550151,0.35,65.191428,26.5651149,97375.19734,1493681,225971.3414,8506319,,8.7825,65.191428,26.5651149
9.032,33.65,400137271,3654887,10000000,0.3654887,0.36,66.3774741,27.7387117,101536.892,1529689,234955.5146,8470311,,9.032,66.3774741,27.7387117
9.2815,35.01,400137271,3760005,10000000,0.3760005,0.37,67.6010867,28.956348,105830.2449,1565511,244231.9983,8434489,,9.2815,67.6010867,28.956348
9.531,36.42,400137271,3866807,10000000,0.3866807,0.38,68.8784115,30.2285082,110273.9235,1600994,253889.422,8399006,,9.531,68.8784115,30.2285082
9.7805,37.87,400137271,3973033,10000000,0.3973033,0.39,70.1966694,31.5452241,114855.5799,1636197,263838.0401,8363803,,9.7805,70.1966694,31.5452241
10.03,39.36,400137271,4077765,10000000,0.4077765,0.4,71.563544,32.8972472,119583.6839,1671014,274000.7118,8328986,,10.03,71.563544,32.8972472
10.2795,40.94,400137271,4185054,10000000,0.4185054,0.41,73.0165742,34.3488999,124541.3769,1705659,284901.4889,8294341,,10.2795,73.0165742,34.3488999
10.529,42.55,400137271,4291508,10000000,0.4291508,0.42,74.4967084,35.8221779,129620.4733,1739949,295893.0168,8260051,,10.529,74.4967084,35.8221779
10.7785,44.22,400137271,4398308,10000000,0.4398308,0.43,76.04519,37.3614737,134901.9617,1773971,307336.5664,8226029,,10.7785,76.04519,37.3614737
11.028,45.96,400137271,4505104,10000000,0.4505104,0.44,77.6565162,38.9637492,140358.5618,1807428,319213.3206,8192572,,11.028,77.6565162,38.9637492
11.2775,47.75,400137271,4612031,10000000,0.4612031,0.45,79.3241101,40.6249867,146019.1079,1840791,331467.7575,8159209,,11.2775,79.3241101,40.6249867
11.527,49.59,400137271,4718522,10000000,0.4718522,0.46,81.0469982,42.3383223,151856.4638,1873684,344054.5856,8126316,,11.527,81.0469982,42.3383223
11.7765,51.53,400137271,4824579,10000000,0.4824579,0.47,82.8667456,44.1469889,157987.8536,1906529,357302.3747,8093471,,11.7765,82.8667456,44.1469889
12.026,53.62,400137271,4933704,10000000,0.4933704,0.48,84.8489307,46.1058224,164538.0282,1939188,371650.3667,8060812,,12.026,84.8489307,46.1058224
12.2755,55.77,400137271,5043059,10000000,0.5043059,0.49,86.888072,48.1244112,171304.5259,1971554,386364.2362,8028446,,12.2755,86.888072,48.1244112
12.525,58.07,400137271,5154034,10000000,0.5154034,0.5,89.0733079,50.2965355,178473.1585,2003666,402187.8972,7996334,,12.525,89.0733079,50.2965355
12.7745,60.41,400137271,5263299,10000000,0.5263299,0.51,91.3053405,52.5124591,185851.3815,2035493,418235.8483,7964507,,12.7745,91.3053405,52.5124591
13.024,62.86,400137271,5373639,10000000,0.5373639,0.52,93.6406773,54.841333,193575.8809,2067220,435044.2296,7932780,,13.024,93.6406773,54.841333
13.2735,65.41,400137271,5482927,10000000,0.5482927,0.53,96.0649024,57.2680131,201576.2509,2098334,452512.7123,7901666,,13.2735,96.0649024,57.2680131
13.523,68.09,400137271,5592352,10000000,0.5592352,0.54,98.6325788,59.8242767,210016.9692,2129286,470859.7724,7870714,,13.523,98.6325788,59.8242767
13.7725,70.94,400137271,5701944,10000000,0.5701944,0.55,101.363077,62.5531652,218930.6636,2159866,490425.1974,7840134,,13.7725,101.363077,62.5531652
14.022,73.92,400137271,5812668,10000000,0.5812668,0.56,104.2450946,65.4198269,228315.834,2190183,510916.876,7809817,,14.022,104.2450946,65.4198269
14.2715,77.09,400137271,5924308,10000000,0.5924308,0.57,107.3069082,68.4680064,238284.54,2220589,532640.7621,7779411,,14.2715,107.3069082,68.4680064
14.521,80.42,400137271,6035946,10000000,0.6035946,0.58,110.5021653,71.6820106,248704.2399,2250673,555487.3402,7749327,,14.521,110.5021653,71.6820106
14.7705,83.92,400137271,6148129,10000000,0.6148129,0.59,113.8924296,75.0715458,259718.7021,2280386,579523.3558,7719614,,14.7705,113.8924296,75.0715458
15.02,87.73,400137271,6262190,10000000,0.626219,0.6,117.5949474,78.7516345,271661.4973,2310146,605588.5718,7689854,,15.02,117.5949474,78.7516345
15.2695,91.71,400137271,6374094,10000000,0.6374094,0.61,121.4737904,82.6256435,284173.5987,2339382,632963.4917,7660618,,15.2695,121.4737904,82.6256435
15.519,96.01,400137271,6489309,10000000,0.6489309,0.62,125.6509503,86.8043251,297646.9972,2368840,662417.6933,7631160,,15.519,125.6509503,86.8043251
15.7685,100.55,400137271,6603200,10000000,0.66032,0.63,130.0728149,91.2334943,311888.5956,2397800,693575.2707,7602200,,15.7685,130.0728149,91.2334943
16.018,105.5,400137271,6720002,10000000,0.6720002,0.64,134.9227825,96.0690026,327417.1164,2426700,727559.3771,7573300,,16.018,134.9227825,96.0690026
16.2675,110.83,400137271,6835381,10000000,0.6835381,0.65,140.1576636,101.2898793,344151.1162,2455457,764185.8501,7544543,,16.2675,140.1576636,101.2898793
16.517,116.65,400137271,6952077,10000000,0.6952077,0.66,145.8916531,106.992125,362393.845,2483993,804153.5605,7516007,,16.517,145.8916531,106.992125
16.7665,122.76,400137271,7068616,10000000,0.7068616,0.67,151.8842837,112.986214,381573.8738,2512267,846010.6034,7487733,,16.7665,151.8842837,112.986214
