trunks,Load=1.00,Load=2.00,Load=3.00,Load=4.00,Load=5.00,Load=6.00,Load=7.00,Load=8.00,Load=9.00,Load=10.00,Load=11.00,Load=12.00,Load=13.00,Load=14.00,Load=15.00,,,,Theoretical:,trunks,Load=1.00,Load=2.00,Load=3.00,Load=4.00,Load=5.00,Load=6.00,Load=7.00,Load=8.00,Load=9.00,Load=10.00,Load=11.00,Load=12.00,Load=13.00,Load=14.00,Load=15.00
1,0.499759409,0.666586347,0.749935802,0.800120931,0.833271889,0.857061247,0.874978337,0.888858245,0.899993902,0.909085482,0.916652269,0.923091333,0.928608355,0.933338154,0.937496285,,,,,1,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375
2,0.199948781,0.39996341,0.529309805,0.615297294,0.675502116,0.71997352,0.75386622,0.780502715,0.801978759,0.819688997,0.83449859,0.847010789,0.857852963,0.86726495,0.875458917,,,,,2,0.2,0.4,0.529411765,0.615384615,0.675675676,0.72,0.753846154,0.780487805,0.801980198,0.819672131,0.834482759,0.847058824,0.85786802,0.867256637,0.875486381
3,0.062546961,0.210559913,0.346132012,0.450463981,0.529591356,0.590419471,0.63750485,0.675222738,0.706527976,0.732091815,0.753539067,0.772174047,0.788036251,0.80182378,0.814099716,,,,,3,0.0625,0.210526316,0.346153846,0.450704225,0.529661017,0.590163934,0.637546468,0.675461741,0.706395349,0.732064422,0.753680634,0.772117963,0.788020086,0.801870251,0.814037627
4,0.01536503,0.095139952,0.206009884,0.310932229,0.398462157,0.46921461,0.527250748,0.574603288,0.613865127,0.646683427,0.674425199,0.698439103,0.719122153,0.737278683,0.753356466,,,,,4,0.015384615,0.095238095,0.20610687,0.310679612,0.398342894,0.469565217,0.527344608,0.574635241,0.613808588,0.646663218,0.674545036,0.698464026,0.719185154,0.737294642,0.753247333
5,0.003054342,0.036731906,0.109932009,0.198780047,0.284735027,0.360225395,0.424452086,0.479004323,0.524828147,0.563853349,0.597455728,0.626366131,0.651490744,0.673561087,0.693234325,,,,,5,0.003067485,0.036697248,0.110054348,0.199066874,0.284867821,0.360400445,0.424719499,0.479008303,0.524907995,0.563952177,0.597423361,0.626351719,0.651553545,0.673674506,0.693227255
6,0.00050954,0.012050314,0.051928604,0.117170819,0.191889141,0.264946377,0.331148195,0.389685034,0.440640491,0.484523629,0.52293244,0.555942867,0.585393564,0.6112899,0.634108753,,,,,6,0.000510986,0.012084592,0.052157115,0.117162471,0.191847259,0.264922322,0.331330035,0.389751885,0.440516245,0.484514904,0.522735944,0.556088927,0.585354617,0.61118348,0.634110842
7,0.000070395,0.003409932,0.021823789,0.062681728,0.120321178,0.185029556,0.248873292,0.307992639,0.361527863,0.409273481,0.451084163,0.487799363,0.520705923,0.550049474,0.575894683,,,,,7,7.29927E-05,0.00344086,0.021864315,0.062748943,0.120518635,0.185054736,0.248871449,0.3081647,0.361584508,0.409040783,0.450984499,0.48804464,0.520863323,0.550029308,0.57605723
8,8.4999E-06,0.00082452,0.008097591,0.030398918,0.070007205,0.121880415,0.178855134,0.235312209,0.289150792,0.338107343,0.382728458,0.422525013,0.458429067,0.490415201,0.519283173,,,,,8,0.000009124,0.000859476,0.008132439,0.030420058,0.070047852,0.121875784,0.178821827,0.235570261,0.289158097,0.338318433,0.382755556,0.422655115,0.458406396,0.490459176,0.51925557
9,0.0000008,0.000189364,0.002701978,0.013392992,0.03738766,0.075016758,0.122108028,0.172874545,0.224226424,0.273167112,0.318813931,0.360075997,0.398371091,0.432483237,0.463824999,,,,,9,1.0138E-06,0.000190958,0.002703485,0.013339673,0.037457786,0.075144956,0.122101343,0.173140828,0.22429995,0.273207944,0.318714001,0.360425763,0.398366893,0.432764594,0.463929405
10,0.0000001,3.95984E-05,0.000799261,0.005318463,0.018404315,0.043193936,0.078752779,0.121743878,0.167549965,0.21448091,0.259365079,0.302040413,0.341089171,0.376698977,0.410120125,,,,,10,1.014E-07,3.81902E-05,0.000810388,0.005307549,0.01838457,0.043141838,0.078740883,0.121661064,0.167963226,0.214582343,0.259580328,0.30192504,0.341185073,0.377284754,0.410340542
11,0,0.0000059,0.000238343,0.001919905,0.008224198,0.022933689,0.047715251,0.081227186,0.120805046,0.163276824,0.206135614,0.247651112,0.287042596,0.324337206,0.358522998,,,,,11,9.2E-09,6.9436E-06,0.000220966,0.0019263,0.008287369,0.022990892,0.047716847,0.081288321,0.120820734,0.163232333,0.206084775,0.247765547,0.287352724,0.324406763,0.358791567
12,0,0.0000008,5.55969E-05,0.000648879,0.003387484,0.011368372,0.02706169,0.05138735,0.083267596,0.119693196,0.15874873,0.198451072,0.237452887,0.274269192,0.309173735,,,,,12,8E-10,1.1573E-06,5.52385E-05,0.000641688,0.003441188,0.011364803,0.027081031,0.051406388,0.083086612,0.119739188,0.158894178,0.198567389,0.237397295,0.274560423,0.309625628
13,0,0.0000001,1.24998E-05,0.000204058,0.001321451,0.005269085,0.014456828,0.030636521,0.05440512,0.08412413,0.118256789,0.154709325,0.19136343,0.227778641,0.263395868,,,,,13,1E-10,0.000000178,1.27472E-05,0.000197404,0.001321784,0.005217924,0.014372513,0.030664634,0.054392748,0.084338863,0.118514741,0.154900754,0.191852121,0.228204766,0.263221675
14,0,0.0000001,0.0000018,6.06963E-05,0.000488261,0.002237182,0.007119447,0.017313346,0.033830691,0.056868058,0.085213166,0.116899406,0.151008461,0.185833107,0.219837389,,,,,14,0,2.54E-08,2.7315E-06,5.63978E-05,0.000471843,0.002231264,0.007134983,0.017220892,0.0337854,0.056819143,0.085186287,0.117209877,0.151210491,0.185803518,0.219982929
15,0,0,0.0000003,1.50998E-05,0.000168472,0.000890905,0.003344476,0.00902785,0.019853537,0.036409437,0.05881012,0.085692625,0.115754339,0.147744179,0.180141894,,,,,15,0,3.4E-09,5.463E-07,1.50392E-05,0.000157256,0.00089171,0.003318609,0.009100889,0.019868481,0.036496946,0.058796904,0.08572925,0.115865079,0.147787763,0.180316399
