trunks,load,pb0.1
1,0.010299783,0.010194779
2,0.152796458,0.01002463
3,0.455489395,0.010000229
4,0.869479735,0.010002201
5,1.360868269,0.010002187
6,1.909255473,0.010004876
7,2.501141661,0.010003654
8,3.127827038,0.010004151
9,3.782711757,0.010002425
10,4.461295923,0.01000149
11,5.15997962,0.010000695
12,5.876062911,0.010000803
13,6.607445844,0.010002689
14,7.351728477,0.010000438
15,8.108310823,0.010002305
16,8.875092931,0.01000052
17,9.651774808,0.010001328
18,10.43715648,0.010002024
19,11.23033797,0.010001639
20,12.0307193,0.010000704
