random seed,call arrival count,blocked call count,Blocking probability,Service fraction,Offered Load,trunks,theoretical_erlang_B,,,,,,,trunks,Blocking probability,Offered Load
400137271,4055,2055,0.5067817509,0.49322,1.0000000000,1,0.5000000000,,,,,,,1,0.5067817509,1.0000000000
400137271,2486,486,0.1954947707,0.80451,1.0000000000,2,0.2000000000,,,,,,,2,0.1954947707,1.0000000000
400137271,2115,114,0.0539007092,0.94610,1.0000000000,3,0.0625000000,,,,,,,3,0.0539007092,1.0000000000
400137271,2026,25,0.0123395854,0.98766,1.0000000000,4,0.0153846154,,,,,,,4,0.0123395854,1.0000000000
400137271,2003,2,0.0009985022,0.99900,1.0000000000,5,0.0030674847,,,,,,,5,0.0009985022,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,6,0.0005109862,,,,,,,6,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,7,0.0000729927,,,,,,,7,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,8,0.0000091240,,,,,,,8,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,9,0.0000010138,,,,,,,9,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,10,0.0000001014,,,,,,,10,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,11,0.0000000092,,,,,,,11,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,12,0.0000000008,,,,,,,12,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,13,0.0000000001,,,,,,,13,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,14,0.0000000000,,,,,,,14,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,15,0.0000000000,,,,,,,15,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,16,0.0000000000,,,,,,,16,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,17,0.0000000000,,,,,,,17,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,18,0.0000000000,,,,,,,18,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,19,0.0000000000,,,,,,,19,0.0000000000,1.0000000000
400137271,2001,0,0.0000000000,1.00000,1.0000000000,20,0.0000000000,,,,,,,20,0.0000000000,1.0000000000
400137271,6135,4135,0.6740016300,0.32600,2.0000000000,1,0.6666666667,,,,,,,1,0.6740016300,2.0000000000
400137271,3338,1338,0.4008388256,0.59916,2.0000000000,2,0.4000000000,,,,,,,2,0.4008388256,2.0000000000
400137271,2592,590,0.2276234568,0.77238,2.0000000000,3,0.2105263158,,,,,,,3,0.2276234568,2.0000000000
400137271,2214,214,0.0966576332,0.90334,2.0000000000,4,0.0952380952,,,,,,,4,0.0966576332,2.0000000000
400137271,2070,68,0.0328502415,0.96715,2.0000000000,5,0.0366972477,,,,,,,5,0.0328502415,2.0000000000
400137271,2018,17,0.0084241824,0.99158,2.0000000000,6,0.0120845921,,,,,,,6,0.0084241824,2.0000000000
400137271,2004,3,0.0014970060,0.99850,2.0000000000,7,0.0034408602,,,,,,,7,0.0014970060,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,8,0.0008594757,,,,,,,8,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,9,0.0001909581,,,,,,,9,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,10,0.0000381902,,,,,,,10,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,11,0.0000069436,,,,,,,11,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,12,0.0000011573,,,,,,,12,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,13,0.0000001780,,,,,,,13,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,14,0.0000000254,,,,,,,14,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,15,0.0000000034,,,,,,,15,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,16,0.0000000004,,,,,,,16,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,17,0.0000000000,,,,,,,17,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,18,0.0000000000,,,,,,,18,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,19,0.0000000000,,,,,,,19,0.0000000000,2.0000000000
400137271,2003,0,0.0000000000,1.00000,2.0000000000,20,0.0000000000,,,,,,,20,0.0000000000,2.0000000000
400137271,8019,6019,0.7505923432,0.24941,3.0000000000,1,0.7500000000,,,,,,,1,0.7505923432,3.0000000000
400137271,4296,2295,0.5342178771,0.46578,3.0000000000,2,0.5294117647,,,,,,,2,0.5342178771,3.0000000000
400137271,3133,1131,0.3609958506,0.63900,3.0000000000,3,0.3461538462,,,,,,,3,0.3609958506,3.0000000000
400137271,2520,518,0.2055555556,0.79444,3.0000000000,4,0.2061068702,,,,,,,4,0.2055555556,3.0000000000
400137271,2267,264,0.1164534627,0.88355,3.0000000000,5,0.1100543478,,,,,,,5,0.1164534627,3.0000000000
400137271,2108,104,0.0493358634,0.95066,3.0000000000,6,0.0521571153,,,,,,,6,0.0493358634,3.0000000000
400137271,2045,41,0.0200488998,0.97995,3.0000000000,7,0.0218643153,,,,,,,7,0.0200488998,3.0000000000
400137271,2025,23,0.0113580247,0.98864,3.0000000000,8,0.0081324394,,,,,,,8,0.0113580247,3.0000000000
400137271,2007,3,0.0014947683,0.99851,3.0000000000,9,0.0027034845,,,,,,,9,0.0014947683,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,10,0.0008103881,,,,,,,10,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,11,0.0002209661,,,,,,,11,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,12,0.0000552385,,,,,,,12,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,13,0.0000127472,,,,,,,13,0.0000000000,3.0000000000
