Seed,t (min)(,t (sec),"(0.10,1)","(0.20,1)","(0.30,1)","(0.40,1)","(0.50,1)","(0.60,1)","(0.70,1)","(0.80,1)","(0.90,1)","(1.00,1)","(0.10,2)","(0.20,2)","(0.30,2)","(0.40,2)","(0.50,2)","(0.60,2)","(0.70,2)","(0.80,2)","(0.90,2)","(1.00,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400137271,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0.995238095,0.981818182,0.960869565,0.933333333,0.9,0.861538462,0.818518519,0.771428571,0.720689655,0.666666667,,,,,0.000210556,0.0001425,-0.000343571,2E-05,-0.000605,-0.00175,0.000578333,-0.004945,-0.002885,,-1.39713E-05,6.74074E-05,0.000395543,-0.000161964,0.000511667,0.000229777,-1.34163E-05,-0.000221574,-0.001376938,-0.00241325,,0.500088679,,,0.000210556,0.0001425,-0.000343571,2E-05,-0.000605,-0.00175,0.000578333,-0.004945,-0.002885,,-1.39713E-05,6.74074E-05,0.000395543,-0.000161964,0.000511667,0.000229777,-1.34163E-05,-0.000221574,-0.001376938,-0.00241325,0.050829397
400137271,0.102040816,6.122448978,0.960082978,0.867025936,0.763561712,0.656769126,0.548503653,0.439458969,0.329952533,0.220150055,0.110146453,0,0.999314857,0.99274236,0.978052149,0.955675312,0.926370355,0.890874636,0.84984783,0.803868072,0.753439609,0.699002435,,,,0,-3.17906E-05,0.000304415,-0.000220399,0.000399115,-0.000212117,-0.001838695,0.000184974,-0.005000887,-0.00287841,,1.78692E-05,-1.32364E-05,0.00023838,-0.000223599,0.000245965,0.000169088,-0.000219063,-0.000310907,-0.001333074,-0.002206093,,#NAME?,,0,-3.17906E-05,0.000304415,-0.000220399,0.000399115,-0.000212117,-0.001838695,0.000184974,-0.005000887,-0.00287841,,1.78692E-05,-1.32364E-05,0.00023838,-0.000223599,0.000245965,0.000169088,-0.000219063,-0.000310907,-0.001333074,-0.002206093,
400137271,0.204081633,12.24489796,0.984066314,0.911589492,0.813656453,0.705481418,0.592302097,0.476322921,0.358623417,0.239792578,0.120178517,0,0.999901422,0.997102966,0.98768968,0.970529831,0.945786753,0.913995286,0.875768735,0.831703667,0.782349535,0.728201398,,,,0,-0.000107905,-8.2366E-06,-0.000508258,0.000437882,-0.000340878,-0.001762626,0.000228419,-0.004438927,-0.002795697,,-3.57875E-06,-3.04261E-06,0.000142433,-0.000120727,0.000130847,0.000154581,-0.000131045,-0.000489757,-0.001319059,-0.002181542,,,,0,-0.000107905,-8.2366E-06,-0.000508258,0.000437882,-0.000340878,-0.001762626,0.000228419,-0.004438927,-0.002795697,,-3.57875E-06,-3.04261E-06,0.000142433,-0.000120727,0.000130847,0.000154581,-0.000131045,-0.000489757,-0.001319059,-0.002181542,
400137271,0.306122449,18.36734694,0.993639747,0.941218477,0.853137502,0.747280324,0.631851772,0.510762517,0.386067492,0.258940354,0.130097481,0,0.999985817,0.99884359,0.99309527,0.980406159,0.960082978,0.932217309,0.89721489,0.855588757,0.807869688,0.754567848,,,,0,-3.14529E-05,6.00041E-05,-0.000467097,0.000294835,-0.000320055,-0.002002855,7.50965E-05,-0.003945486,-0.003093978,,1.31652E-06,-4.94668E-05,9.89533E-05,-6.25669E-05,1.53987E-06,0.000208973,-0.000250341,-0.000536757,-0.001409029,-0.002238568,,0.005000887,,0,-3.14529E-05,6.00041E-05,-0.000467097,0.000294835,-0.000320055,-0.002002855,7.50965E-05,-0.003945486,-0.003093978,,1.31652E-06,-4.94668E-05,9.89533E-05,-6.25669E-05,1.53987E-06,0.000208973,-0.000250341,-0.000536757,-0.001409029,-0.002238568,
400137271,0.408163265,24.48979592,0.997461177,0.96091791,0.884253608,0.783147012,0.66756484,0.542937194,0.412337255,0.277605845,0.139904621,0,0.999997959,0.999538396,0.996127209,0.986972637,0.970609239,0.946578588,0.914958776,0.876084007,0.830397528,0.77837656,,,,0,1.67189E-05,-0.000132779,-0.00041831,0.00046353,-0.000648117,-0.001730966,-1.75718E-05,-0.003581176,-0.004280626,,-4.07001E-08,-2.46157E-05,4.18714E-05,-4.74819E-05,-3.32384E-05,9.32833E-08,-0.000102435,-0.000479398,-0.001192166,-0.002241126,,,,0,1.67189E-05,-0.000132779,-0.00041831,0.00046353,-0.000648117,-0.001730966,-1.75718E-05,-0.003581176,-0.004280626,,-4.07001E-08,-2.46157E-05,4.18714E-05,-4.74819E-05,-3.32384E-05,9.32833E-08,-0.000102435,-0.000479398,-0.001192166,-0.002241126,
400137271,0.510204082,30.6122449,0.998986577,0.974015478,0.908777071,0.813923399,0.699813479,0.572995906,0.437482951,0.295801197,0.149601196,0,0.999999706,0.999815741,0.997827792,0.991338493,0.978359687,0.95789711,0.929639519,0.893670514,0.850283914,0.799875653,,,,0,1.90967E-05,-0.000232565,-0.000388907,0.000438492,-0.000498734,-0.001601397,-0.000290409,-0.0034121,-0.003905746,,2.064E-07,-1.42613E-05,2.18396E-05,-7.81844E-05,9.3897E-06,1.15978E-05,-3.76282E-05,-0.000437506,-0.000986243,-0.002060129,,,,0,1.90967E-05,-0.000232565,-0.000388907,0.000438492,-0.000498734,-0.001601397,-0.000290409,-0.0034121,-0.003905746,,2.064E-07,-1.42613E-05,2.18396E-05,-7.81844E-05,9.3897E-06,1.15978E-05,-3.76282E-05,-0.000437506,-0.000986243,-0.002060129,
400137271,0.612244898,36.73469388,0.999595472,0.982723663,0.928104689,0.840331914,0.728933765,0.601077808,0.46155268,0.313538252,0.159188453,0,0.999999958,0.999926449,0.998781631,0.994241221,0.984066314,0.966817549,0.941785913,0.908761094,0.867838562,0.819289177,,,,0,3.97341E-06,-0.000109733,-0.0003295,0.000324769,-0.000465385,-0.001816224,-0.000689672,-0.003381558,-0.003502432,,-4.22E-08,-8.05119E-06,-9.88074E-06,-4.60443E-05,-1.69563E-05,6.72814E-05,-0.000205554,-0.00039274,-0.000875091,-0.001883735,,,,0,3.97341E-06,-0.000109733,-0.0003295,0.000324769,-0.000465385,-0.001816224,-0.000689672,-0.003381558,-0.003502432,,-4.22E-08,-8.05119E-06,-9.88074E-06,-4.60443E-05,-1.69563E-05,6.72814E-05,-0.000205554,-0.00039274,-0.000875091,-0.001883735,
400137271,0.714285714,42.85714286,0.999838524,0.988513476,0.943337319,0.862992458,0.75522917,0.627312905,0.484592481,0.330828554,0.168667626,0,0.999999994,0.999970641,0.99931663,0.996171159,0.988268083,0.973847994,0.951835463,0.921709976,0.883334877,0.836819447,,,,0,4.52513E-06,-7.33666E-05,-0.000463971,0.000301229,-0.000584365,-0.001794311,-0.000759439,-0.00344573,-0.00353876,,-6.1E-09,-2.85928E-06,-1.88831E-05,-6.25809E-05,-2.52124E-05,9.13834E-05,-0.000125061,-0.000444309,-0.00078127,-0.001747155,,,,0,4.52513E-06,-7.33666E-05,-0.000463971,0.000301229,-0.000584365,-0.001794311,-0.000759439,-0.00344573,-0.00353876,,-6.1E-09,-2.85928E-06,-1.88831E-05,-6.25809E-05,-2.52124E-05,9.13834E-05,-0.000125061,-0.000444309,-0.00078127,-0.001747155,
400137271,0.816326531,48.97959184,0.999935544,0.992362951,0.955342576,0.882436954,0.778973729,0.651822653,0.506646425,0.347683356,0.178039931,0,0.999999999,0.999988281,0.999616705,0.997454317,0.991361831,0.979388881,0.96015015,0.932821117,0.897014203,0.852649153,,,,0,-1.95633E-06,-6.70609E-05,-0.000445834,0.000235659,-0.000488811,-0.001900589,-0.000829129,-0.003687678,-0.004083739,,-9E-10,-7.19308E-07,-1.7802E-05,-9.54258E-05,2.20216E-05,0.000162735,1.71879E-06,-0.000494611,-0.000847029,-0.001493401,,,,0,-1.95633E-06,-6.70609E-05,-0.000445834,0.000235659,-0.000488811,-0.001900589,-0.000829129,-0.003687678,-0.004083739,,-9E-10,-7.19308E-07,-1.7802E-05,-9.54258E-05,2.20216E-05,0.000162735,1.71879E-06,-0.000494611,-0.000847029,-0.001493401,
400137271,0.918367347,55.10204081,0.999974271,0.994922353,0.96480425,0.899121833,0.800414892,0.674720518,0.527756695,0.364113626,0.187306575,0,1,0.999995322,0.999785014,0.998307451,0.993639747,0.983755808,0.967029466,0.942355333,0.909089589,0.866943261,,,,0,7.7102E-07,-7.85459E-05,-0.000570841,0.000307336,-0.000547351,-0.00139092,-0.001097674,-0.003504056,-0.004187919,,-1E-10,-1.17801E-06,-2.09908E-05,-7.21712E-05,-1.08217E-05,9.33238E-05,-5.89788E-05,-0.000379546,-0.000788054,-0.001270831,,,,0,7.7102E-07,-7.85459E-05,-0.000570841,0.000307336,-0.000547351,-0.00139092,-0.001097674,-0.003504056,-0.004187919,,-1E-10,-1.17801E-06,-2.09908E-05,-7.21712E-05,-1.08217E-05,9.33238E-05,-5.89788E-05,-0.000379546,-0.000788054,-0.001270831,
