Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,1.0097547037,1.0125652301,1.0157233529,1.0137927512,1.0224078935,1.0410278423
400137271,0.0060404040,1.0619330259,1.0775624788,1.0951777710,1.0856125966,1.1391546660,1.2509950490
400137271,0.0110808081,1.1159915211,1.1438539480,1.1776990838,1.1623120755,1.2587042568,1.4633664621
400137271,0.0161212121,1.1746604013,1.2133991890,1.2638654048,1.2392947253,1.3801227315,1.6798764973
400137271,0.0211616162,1.2381521169,1.2877507713,1.3550466675,1.3240118418,1.5157820216,1.9308854320
400137271,0.0262020202,1.3006705120,1.3655425405,1.4520784931,1.4127612854,1.6552706959,2.1862596623
400137271,0.0312424242,1.3752917721,1.4440365102,1.5510659113,1.5001907540,1.7936615311,2.4306295758
400137271,0.0362828283,1.4489673794,1.5286818289,1.6462823845,1.6012503738,1.9402191733,2.7058615686
400137271,0.0413232323,1.5275719616,1.6162101341,1.7591339727,1.7034209809,2.0966685642,2.9929855803
400137271,0.0463636364,1.6165734574,1.7103667562,1.8692052766,1.8197811905,2.2714711163,3.2971074111
400137271,0.0514040404,1.7177127631,1.8144867363,1.9951477224,1.9370144130,2.4387302866,3.6044678944
400137271,0.0564444444,1.8243689132,1.9212378847,2.1223011175,2.0682032282,2.6223683375,3.9770050567
400137271,0.0614848485,1.9513143546,2.0418372880,2.2531072334,2.2149205995,2.8212113488,4.3197916378
400137271,0.0665252525,2.0980753797,2.1470368442,2.3947555932,2.3457213675,3.0272650376,4.6638574177
400137271,0.0715656566,2.2361922679,2.2681220031,2.5466375841,2.5302398072,3.2488763395,5.0621567457
400137271,0.0766060606,2.3920443960,2.4025280332,2.7064510469,100001.6434857354,3.4750628954,5.4536951833
400137271,0.0816464646,2.5925341710,2.5574616149,2.8617230349,100000.6980656340,3.7313751411,5.8885603629
400137271,0.0866868687,2.9368892615,2.7126395317,3.0426840617,100000.4772819835,3.9795121759,6.3542506310
400137271,0.0917272727,3.1937715534,2.8976622746,3.2250166266,100000.2076253062,4.2723589771,6.8329171271
400137271,0.0967676768,3.7709219160,3.0780742588,3.4093417016,100001.6038767871,4.5669469281,7.3402854188
400137271,0.1018080808,9.1714910809,3.2539448039,3.6203843996,100001.0965904696,4.8554181222,7.8454753654
400137271,0.1068484848,100000.4737313034,3.4561809705,3.8526779431,100003.1895461039,5.1969858678,8.4164038497
400137271,0.1118888889,100000.6853627905,3.6748994387,4.0719551663,100000.6920504312,5.5605478430,8.9993144899
400137271,0.1169292929,100000.4967538276,3.9267920404,4.3204856709,100005.3638531849,5.9825432403,9.5932497228
