Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,0.0010035108,0.0010032593
400137271,0.1014974874,0.1490320467,0.1617331620
400137271,0.2019949749,0.3707519895,0.3975803269
400137271,0.3024924623,0.4422440813,0.4449790280
400137271,0.4029899497,0.4455899164,0.4619280413
400137271,0.5034874372,0.5157698056,0.5455456040
400137271,0.6039849246,0.5604247927,0.5156193326
400137271,0.7044824121,0.6182641920,0.5709322116
400137271,0.8049798995,0.6403363542,0.5668570908
400137271,0.9054773869,0.6169278476,0.6138173237
400137271,1.0059748744,0.6029451732,0.7118756499
400137271,1.1064723618,0.7248456714,0.5517559711
400137271,1.2069698492,0.6576927178,0.6602076413
400137271,1.3074673367,0.5409852748,0.6849846591
400137271,1.4079648241,0.7736360919,0.7413918123
400137271,1.5084623116,0.7570979213,0.6719845760
400137271,1.6089597990,0.6979794528,0.7461868868
400137271,1.7094572864,0.7406881992,0.7137392456
400137271,1.8099547739,0.6142523948,0.7373937274
400137271,1.9104522613,0.7133711491,0.8086349201
400137271,2.0109497487,0.6184963444,0.7553137794
400137271,2.1114472362,0.5132362411,0.7672374283
400137271,2.2119447236,0.6812220697,0.7665777781
400137271,2.3124422111,0.8532335817,0.7946846704
400137271,2.4129396985,0.6352501403,0.7768944780
400137271,2.5134371859,0.7949098067,0.7557549852
400137271,2.6139346734,0.8896261002,0.7867922627
400137271,2.7144321608,0.7751073910,0.8021659463
400137271,2.8149296482,0.8482419815,0.8121341181
400137271,2.9154271357,0.7670354195,0.7889213742
400137271,3.0159246231,0.8417854621,0.8051579918
400137271,3.1164221106,0.8243328825,0.8414847498
400137271,3.2169195980,0.8886899286,0.8139390748
400137271,3.3174170854,0.8405819112,0.8367355704
400137271,3.4179145729,0.6890078758,0.8537376944
400137271,3.5184120603,0.9807659788,0.8483341890
400137271,3.6189095477,0.7745111152,0.7906523666
400137271,3.7194070352,0.8846944528,0.8186266172
400137271,3.8199045226,0.7718177804,0.7336155308
400137271,3.9204020101,0.7903714192,0.8916186901
400137271,4.0208994975,0.9331648807,0.8998822759
400137271,4.1213969849,0.8365819345,0.9207491939
400137271,4.2218944724,0.9563351872,0.7087879371
400137271,4.3223919598,0.9456352772,0.8484415471
400137271,4.4228894472,0.8841134055,0.8919564918
400137271,4.5233869347,0.9782136608,0.8244165664
400137271,4.6238844221,0.9938428682,0.8186352755
400137271,4.7243819095,0.9450560917,0.8305458389
400137271,4.8248793970,0.9926487723,0.8585614082
400137271,4.9253768844,0.9862041205,0.7368589906
400137271,5.0258743719,0.9999757447,0.8456903134
400137271,5.1263718593,0.9999816040,0.8788670921
400137271,5.2268693467,0.9999745629,0.8794272439
400137271,5.3273668342,0.9999802794,0.9074100756
400137271,5.4278643216,0.9999829986,0.8558988375
400137271,5.5283618090,0.9999556048,0.8528359983
400137271,5.6288592965,0.9999815005,0.9370019788
400137271,5.7293567839,0.9999684524,0.7613452986
400137271,5.8298542714,0.9999727171,0.8918397359
400137271,5.9303517588,0.9999781211,0.9147217333
400137271,6.0308492462,0.9999821131,0.9071385340
400137271,6.1313467337,0.9999683294,0.9414332772
400137271,6.2318442211,0.9999751754,0.8477946597
400137271,6.3323417085,0.9999637429,0.9771776940
400137271,6.4328391960,0.9999807754,0.9656389960
400137271,6.5333366834,0.9999689285,0.8832637713
400137271,6.6338341709,0.9999537187,0.9765777447
400137271,6.7343316583,0.9999780076,0.8767567035
400137271,6.8348291457,0.9999799330,0.9680255655
400137271,6.9353266332,0.9999792710,0.9514059876
400137271,7.0358241206,0.9999644109,0.9506689083
400137271,7.1363216080,0.9999706924,0.9025757365
400137271,7.2368190955,0.9999789217,0.8823411272
400137271,7.3373165829,0.9999829608,0.9316840406
400137271,7.4378140704,0.9999560431,0.9786236504
400137271,7.5383115578,0.9999820364,0.9594215646
400137271,7.6388090452,0.9999797904,0.7773635194
400137271,7.7393065327,0.9999640625,0.8235969716
400137271,7.8398040201,0.9999666876,0.9285631211
400137271,7.9403015075,0.9999790833,0.9028587723
400137271,8.0407989950,0.9999707909,0.9204870542
400137271,8.1412964824,0.9999779477,0.8771100064
400137271,8.2417939698,0.9999863313,0.9640857648
400137271,8.3422914573,0.9999655531,0.9740699627
400137271,8.4427889447,0.9999710887,0.8663392057
400137271,8.5432864322,0.9999719116,0.8559325538
400137271,8.6437839196,0.9999649491,0.8940015377
400137271,8.7442814070,0.9999847568,0.9806350410
400137271,8.8447788945,0.9999738856,0.9871885032
400137271,8.9452763819,0.9999709213,0.9121965709
400137271,9.0457738693,0.9999646212,0.9825734255
400137271,9.1462713568,0.9999743638,0.9158213275
400137271,9.2467688442,0.9999799232,0.9257088337
400137271,9.3472663317,0.9999777000,0.9475805633
400137271,9.4477638191,0.9999730403,0.9458123298
400137271,9.5482613065,0.9999798946,0.9622161717
400137271,9.6487587940,0.9999824766,0.9668939823
400137271,9.7492562814,0.9999615366,0.9750100185
400137271,9.8497537688,0.9999904912,0.9856586559
400137271,9.9502512563,0.9999670746,0.9957604242
400137271,10.0507487437,0.9999771567,0.9999592200
400137271,10.1512462312,0.9999745001,0.9999479154
400137271,10.2517437186,0.9999784741,0.9999480048
400137271,10.3522412060,0.9999653504,0.9999703949
400137271,10.4527386935,0.9999673592,0.9999607424
400137271,10.5532361809,0.9999777794,0.9999399117
400137271,10.6537336683,0.9999693198,0.9999722041
400137271,10.7542311558,0.9999798395,0.9999554402
400137271,10.8547286432,0.9999737816,0.9999645427
400137271,10.9552261307,0.9999816848,0.9999658103
400137271,11.0557236181,0.9999616929,0.9999616824
400137271,11.1562211055,0.9999830593,0.9999387341
400137271,11.2567185930,0.9999684036,0.9999485197
400137271,11.3572160804,0.9999641740,0.9999693372
400137271,11.4577135678,0.9999835045,0.9999560256
400137271,11.5582110553,0.9999715727,0.9999563887
400137271,11.6587085427,0.9999612550,0.9999649766
400137271,11.7592060302,0.9999674517,0.9999648417
400137271,11.8597035176,0.9999687154,0.9999527936
400137271,11.9602010050,0.9999721459,0.9999642420
400137271,12.0606984925,0.9999681342,0.9999575904
400137271,12.1611959799,0.9999666708,0.9999743477
400137271,12.2616934673,0.9999673951,0.9999362454
400137271,12.3621909548,0.9999786145,0.9999533192
400137271,12.4626884422,0.9999599192,0.9999654004
400137271,12.5631859296,0.9999860043,0.9999171918
400137271,12.6636834171,0.9999886577,0.9999527875
400137271,12.7641809045,0.9999822957,0.9999600302
400137271,12.8646783920,0.9999745984,0.9999373642
400137271,12.9651758794,0.9999749394,0.9999764866
400137271,13.0656733668,0.9999769052,0.9999626114
400137271,13.1661708543,0.9999699772,0.9999527655
400137271,13.2666683417,0.9999726482,0.9999764189
400137271,13.3671658291,0.9999772346,0.9999676573
400137271,13.4676633166,0.9999792847,0.9999741791
400137271,13.5681608040,0.9999733805,0.9999494753
400137271,13.6686582915,0.9999765590,0.9999623228
400137271,13.7691557789,0.9999851766,0.9999594943
400137271,13.8696532663,0.9999864739,0.9999700812
400137271,13.9701507538,0.9999631031,0.9999573374
400137271,14.0706482412,0.9999880797,0.9999581962
400137271,14.1711457286,0.9999788460,0.9999550336
400137271,14.2716432161,0.9999497697,0.9999692886
