Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,1.0116088439,1.0135798361
400137271,0.1014974874,4.3542127247,6.2771118698
400137271,0.2019949749,1219.8668160915,8093.8760942911
400137271,0.3024924623,18546.6060148484,98546.3583282261
400137271,0.4029899497,47274.7489718062,174106.0191809195
400137271,0.5034874372,161824.6726573065,145446.7615117153
400137271,0.6039849246,138473.1541337890,174712.9603036810
400137271,0.7044824121,113741.1949054257,117421.3590437845
400137271,0.8049798995,144148.7256114542,116170.1452010707
400137271,0.9054773869,214645.1571573091,168643.1393424735
400137271,1.0059748744,258068.0978077678,196434.0051045914
400137271,1.1064723618,159437.1830689975,98601.7710425750
400137271,1.2069698492,144315.8166124802,223951.4464160722
400137271,1.3074673367,77847.8436136850,262938.0974331675
400137271,1.4079648241,170130.4366243673,210560.8253759773
400137271,1.5084623116,196069.8679542673,180796.3850153178
400137271,1.6089597990,161890.4673385279,126914.4775434002
400137271,1.7094572864,205154.4893604330,219222.8954740919
400137271,1.8099547739,205818.0460273396,225809.2129067979
400137271,1.9104522613,198800.7308971463,148123.7875029806
400137271,2.0109497487,319201.9106541175,218140.1652750703
400137271,2.1114472362,26933.1028676580,145224.9118160273
400137271,2.2119447236,106891.1485376961,109336.8841209987
400137271,2.3124422111,213983.5619988577,171512.3495778222
400137271,2.4129396985,185462.7287262739,171329.4248803858
400137271,2.5134371859,99907.6469978976,185470.4659608245
400137271,2.6139346734,196375.7744289236,262902.8345727291
400137271,2.7144321608,279896.8572869303,197672.6744998514
400137271,2.8149296482,181778.7508907978,218255.6999057780
400137271,2.9154271357,84730.0801691322,179421.6609378353
400137271,3.0159246231,100404.6349507836,150411.9675221249
400137271,3.1164221106,233486.4188668816,259332.7633971297
400137271,3.2169195980,226345.6626070549,171395.3951675569
400137271,3.3174170854,284490.0723659056,236686.7513720224
400137271,3.4179145729,131.1141669934,258506.3138178718
400137271,3.5184120603,148087.8723618911,200525.7105471099
400137271,3.6189095477,67317.1184832676,189264.4280469396
400137271,3.7194070352,253423.8400004199,155670.8991311713
400137271,3.8199045226,214.9317665396,130796.3744503999
400137271,3.9204020101,225.4166386619,241676.6326648148
400137271,4.0208994975,204501.9131002371,222841.0275327981
400137271,4.1213969849,640.1749656528,260284.1274887216
400137271,4.2218944724,256001.7178965158,231509.6745962388
400137271,4.3223919598,235814.1045248412,191782.6246709494
400137271,4.4228894472,4.8694967816,165134.6069681490
400137271,4.5233869347,150151.4087486749,204356.5718954247
400137271,4.6238844221,85097.2968965839,116626.2461661979
400137271,4.7243819095,10.0899062903,276044.6503896276
400137271,4.8248793970,12373.3625386272,201755.6422245070
400137271,4.9253768844,40.7187461741,132939.4582733918
400137271,5.0258743719,2717.3997329765,262954.9946270434
400137271,5.1263718593,12401.8482950013,266844.8230787020
400137271,5.2268693467,21398.3925730535,214172.0592458906
400137271,5.3273668342,31124.3592964049,234803.8621986946
400137271,5.4278643216,39663.5446218180,226163.8541670493
400137271,5.5283618090,47983.6176433902,219862.4198786812
400137271,5.6288592965,55806.8572082751,151349.3407887243
400137271,5.7293567839,62941.9600091843,58857.0829090209
400137271,5.8298542714,71883.6364656519,236329.7881116181
400137271,5.9303517588,78228.3049301827,260654.1675115191
400137271,6.0308492462,85796.2588087159,278465.0870865071
400137271,6.1313467337,92617.6559577538,229556.4484125744
400137271,6.2318442211,99505.1584907312,91869.9637718223
400137271,6.3323417085,105955.5079336789,146259.0719620375
400137271,6.4328391960,112056.0931526643,260159.3209576168
400137271,6.5333366834,118160.2281792614,251456.8906653893
400137271,6.6338341709,123404.4710437004,156208.3458907911
400137271,6.7343316583,128518.7842398239,69262.6549510676
400137271,6.8348291457,134024.8751541414,198058.6120210908
400137271,6.9353266332,139297.7412512223,106300.3527283762
400137271,7.0358241206,145069.5103938230,123836.2515576908
400137271,7.1363216080,149838.8094483827,261949.4419467821
400137271,7.2368190955,154931.7204817526,103237.8315930404
400137271,7.3373165829,158834.7916694767,255899.7876802196
400137271,7.4378140704,164302.5018727056,241735.4493411155
400137271,7.5383115578,168450.0588071134,229894.9532882914
400137271,7.6388090452,172926.9371213869,489.9743819313
400137271,7.7393065327,177145.0892797737,8391.9432630945
400137271,7.8398040201,181403.3599695538,49964.6781307670
400137271,7.9403015075,185432.3420713510,56239.5346300507
400137271,8.0407989950,189672.2049675479,49550.5641734278
400137271,8.1412964824,193469.1054378226,14667.5432048358
400137271,8.2417939698,197398.7329890297,251956.2774088891
400137271,8.3422914573,200774.1953599270,75374.0402103413
400137271,8.4427889447,204370.0256522077,95956.8118547165
400137271,8.5432864322,206997.3200328330,4.1824011499
400137271,8.6437839196,210873.7535566752,4190.8008088971
400137271,8.7442814070,214489.6743931968,198659.0713855503
400137271,8.8447788945,217274.5815558508,165237.0076378128
400137271,8.9452763819,221394.7856119543,147011.7882607045
400137271,9.0457738693,223569.7255976848,121019.6059095705
400137271,9.1462713568,226691.8684447364,7.2685936804
400137271,9.2467688442,229698.9365767722,10.3971486949
400137271,9.3472663317,232875.4596545947,1093.7989092598
400137271,9.4477638191,235425.7889206626,11.4035173791
400137271,9.5482613065,238928.4459049295,707.2792243589
400137271,9.6487587940,241559.3696263321,16.9007145549
400137271,9.7492562814,243324.3506026746,21.8065649709
400137271,9.8497537688,246498.7216395583,35.9447270231
400137271,9.9502512563,249105.4674572648,224.1276383850
400137271,10.0507487437,251052.1694670900,2749.5501107838
400137271,10.1512462312,254196.5254677011,8175.3945430037
400137271,10.2517437186,256794.1995168987,12278.1308626796
400137271,10.3522412060,258893.0069060905,17305.7242415847
400137271,10.4527386935,261122.8527262992,22284.2575855082
400137271,10.5532361809,263114.4151894306,26033.4606875962
400137271,10.6537336683,265727.3667234484,31053.8219319546
400137271,10.7542311558,267735.8183025377,35559.3920633702
400137271,10.8547286432,269860.8831171586,40011.4269042047
400137271,10.9552261307,271952.0376505797,44444.7082294811
400137271,11.0557236181,274084.6243609899,48246.2444225118
400137271,11.1562211055,276188.4820933273,52618.2526814760
400137271,11.2567185930,277989.9852969010,57143.4219758496
400137271,11.3572160804,280068.1477847117,60906.1982792393
400137271,11.4577135678,281972.0835128112,64346.7452826764
400137271,11.5582110553,283797.5300771993,66607.8225477240
400137271,11.6587085427,286047.6690922918,72234.5495474027
400137271,11.7592060302,287932.1359881990,74852.2424858499
400137271,11.8597035176,289602.8859741499,78719.2664471303
400137271,11.9602010050,291359.6795923398,82797.2384396103
400137271,12.0606984925,292553.2531509383,85840.4016512647
400137271,12.1611959799,294707.8197133011,89303.4768481906
400137271,12.2616934673,296306.6882603784,94179.3267221023
400137271,12.3621909548,297894.9007504356,95842.1964827966
400137271,12.4626884422,299150.9948279430,98936.2074108882
400137271,12.5631859296,301005.2985156743,107637.8527868421
400137271,12.6636834171,302783.2121527197,104890.4979416690
400137271,12.7641809045,304194.1676140046,109076.8702796549
400137271,12.8646783920,305905.8316044499,112279.9914017933
400137271,12.9651758794,307536.5541658692,114354.6868207449
400137271,13.0656733668,308712.1090832408,119410.7942725831
400137271,13.1661708543,310457.7397347860,120990.7189131126
400137271,13.2666683417,312091.4863943728,123924.2134539161
400137271,13.3671658291,312962.6316381689,126455.6562880538
400137271,13.4676633166,314370.9542635103,129679.3158894628
400137271,13.5681608040,315745.7430272274,131837.4260590316
400137271,13.6686582915,317486.2644499158,135038.7303458618
400137271,13.7691557789,318429.7642620913,137272.1961066091
400137271,13.8696532663,319996.5052030065,140149.6004494865
400137271,13.9701507538,321254.0304703857,142807.0418765921
400137271,14.0706482412,322421.3541855475,147755.5445807887
400137271,14.1711457286,323567.4085929688,147868.2570861685
400137271,14.2716432161,325251.4072680782,150533.7300469263
400137271,14.3721407035,326107.9022454714,152503.4447430271
400137271,14.4726381910,327756.7002236999,155527.3257131242
400137271,14.5731356784,328792.3921433046,157837.3008774411
400137271,14.6736331658,329846.5618618177,159587.1189916115
400137271,14.7741306533,331160.4221728057,162160.2031686363
400137271,14.8746281407,332216.2460821338,164550.3165609858
400137271,14.9751256281,333396.5118495475,166092.1771265488
400137271,15.0756231156,334177.8898853284,168729.4288548973
400137271,15.1761206030,335177.1009735773,171078.7141908562
400137271,15.2766180905,336510.1739366599,173866.8119518023
400137271,15.3771155779,337874.7123197485,177208.3833315603
400137271,15.4776130653,338269.7930979920,177507.1284096068
400137271,15.5781105528,339629.9472867771,179948.6727563315
400137271,15.6786080402,340933.7242659351,182105.5110077413
400137271,15.7791055276,341906.3629947888,184560.6712026358
400137271,15.8796030151,342599.4415688479,186055.8599760614
400137271,15.9801005025,343589.5937090275,187443.4857135967
400137271,16.0805979899,344864.4285366003,189731.2879516749
400137271,16.1810954774,345575.8221348521,192670.9570856972
400137271,16.2815929648,346601.1078155239,193519.7202243857
400137271,16.3820904523,347375.5867078786,195113.5194641399
400137271,16.4825879397,348423.0802227004,197071.6035991031
400137271,16.5830854271,349416.9464308887,198579.4295429026
400137271,16.6835829146,350434.1753384972,200376.3386445704
400137271,16.7840804020,351080.8202770406,202501.9199971958
400137271,16.8845778894,352075.4593435979,204066.7267260698
400137271,16.9850753769,352936.3475167858,205753.9840531598
400137271,17.0855728643,354051.0866229860,207461.7759164937
400137271,17.1860703518,354495.9956906669,209627.9302808628
400137271,17.2865678392,355578.2405337492,211657.3007435502
400137271,17.3870653266,356429.5275477754,213396.2960106622
400137271,17.4875628141,357182.2651569517,214471.8174096083
400137271,17.5880603015,357986.0623640006,216957.8329263078
400137271,17.6885577889,358917.9305012260,217677.0278754045
400137271,17.7890552764,359747.2829936596,219820.4937127099
400137271,17.8895527638,360125.8895883735,220900.4031275269
400137271,17.9900502513,361304.5208854653,222799.6601252254
400137271,18.0905477387,362200.1522357452,223904.7367472792
400137271,18.1910452261,362667.2307594188,226120.6109109872
400137271,18.2915427136,363324.4209893373,227242.1830037421
400137271,18.3920402010,364120.4198813097,228920.4207819026
400137271,18.4925376884,364885.5622170162,230246.2224871361
400137271,18.5930351759,365794.9111057364,231616.6191034689
400137271,18.6935326633,366515.7156625401,232905.8187556858
400137271,18.7940301508,367632.5037527915,234443.9997262179
400137271,18.8945276382,367994.0781904308,235934.8338783806
400137271,18.9950251256,368682.5490500962,237203.4956621759
400137271,19.0955226131,369385.8785273054,238871.8395773990
400137271,19.1960201005,370020.3881141146,239697.9266140659
400137271,19.2965175879,370511.4580171119,241694.0834231318
400137271,19.3970150754,371482.1096131073,242656.0076383809
400137271,19.4975125628,372017.9918977863,244429.3915440911
400137271,19.5980100503,372446.6050427589,245879.6377933013
400137271,19.6985075377,373332.9358930518,246725.1291291993
400137271,19.7990050251,373878.7102461230,248003.3680244326
400137271,19.8995025126,374663.7536090501,249371.8579194750
400137271,20.0000000000,375249.5159931695,250766.1852121536

