Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,0.9964784452,0.9959425301
400137271,0.1014974874,0.6806411367,0.6265444320
400137271,0.2019949749,0.5448091942,0.5074387991
400137271,0.3024924623,0.6813748236,0.6270567461
400137271,0.4029899497,0.7131894402,0.7355201819
400137271,0.5034874372,0.8737195640,0.8081350103
400137271,0.6039849246,0.8822987058,0.8313602384
400137271,0.7044824121,0.9321523584,0.8701031681
400137271,0.8049798995,0.9090942149,0.8743322288
400137271,0.9054773869,0.9256936454,0.9098460813
400137271,1.0059748744,0.9558319609,0.9682407356
400137271,1.1064723618,0.9951565730,0.9100795865
400137271,1.2069698492,0.9965628547,0.9274381654
400137271,1.3074673367,0.9978824933,0.9425434913
400137271,1.4079648241,0.9986049489,0.9755003097
400137271,1.5084623116,0.9985570850,0.9046998251
400137271,1.6089597990,0.9988453348,0.9674501400
400137271,1.7094572864,0.9989710598,0.9820732352
400137271,1.8099547739,0.9990029950,0.9890707680
400137271,1.9104522613,0.9992765238,0.9927115121
400137271,2.0109497487,0.9994333213,0.9958949211
400137271,2.1114472362,0.9993863768,0.9948714377
400137271,2.2119447236,0.9992485651,0.9977948733
400137271,2.3124422111,0.9993833805,0.9975788761
400137271,2.4129396985,0.9992755252,0.9949951743
400137271,2.5134371859,0.9995531997,0.9981703537
400137271,2.6139346734,0.9994722786,0.9967505931
400137271,2.7144321608,0.9994882620,0.9985909881
400137271,2.8149296482,0.9994832672,0.9987904647
400137271,2.9154271357,0.9996471246,0.9983756428
400137271,3.0159246231,0.9996361324,0.9987216363
400137271,3.1164221106,0.9996181459,0.9988403464
400137271,3.2169195980,0.9995691857,0.9987814866
400137271,3.3174170854,0.9996101520,0.9988563095
400137271,3.4179145729,0.9997360697,0.9987645283
400137271,3.5184120603,0.9996860986,0.9988652890
400137271,3.6189095477,0.9996781037,0.9990309400
400137271,3.7194070352,0.9997570590,0.9989111868
400137271,3.8199045226,0.9997680538,0.9991387424
400137271,3.9204020101,0.9997020888,0.9989950110
400137271,4.0208994975,0.9996831005,0.9990369284
400137271,4.1213969849,0.9997630562,0.9991587084
400137271,4.2218944724,0.9997090847,0.9990998111
400137271,4.3223919598,0.9997970412,0.9991207737
400137271,4.4228894472,0.9998300289,0.9990638771
400137271,4.5233869347,0.9997820475,0.9991018075
400137271,4.6238844221,0.9997740511,0.9991008093
400137271,4.7243819095,0.9998250306,0.9991816702
400137271,4.8248793970,0.9997980408,0.9992415756
400137271,4.9253768844,0.9998400256,0.9992265986
400137271,5.0258743719,0.9998300289,0.9991207737
400137271,5.1263718593,0.9998330279,0.9993344433
400137271,5.2268693467,0.9998360269,0.9992825152
400137271,5.3273668342,0.9998340276,0.9991447321
400137271,5.4278643216,0.9998330279,0.9991646983
400137271,5.5283618090,0.9998160338,0.9992565531
400137271,5.6288592965,0.9998440243,0.9991617033
400137271,5.7293567839,0.9998120353,0.9994273281
400137271,5.8298542714,0.9998320282,0.9992984925
400137271,5.9303517588,0.9998110357,0.9993354419
400137271,6.0308492462,0.9998340276,0.9992625442
400137271,6.1313467337,0.9998330279,0.9992845123
