Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,0.0009985454,0.0009991027,0.0009996738,0.0009992249,0.0009999510,0.0009999102
400137271,0.0622040816,0.0622508802,0.0622399699,0.0622182340,0.0622701189,0.0622471260,0.0623104226
400137271,0.1234081633,0.0956553812,0.1234072473,0.1232078976,0.0537080740,0.1235523679,0.1234542543
400137271,0.1846122449,0.0948879197,0.1845930438,0.1843813940,0.0493218446,0.1845482112,0.1847618059
400137271,0.2458163265,0.0945108052,0.2003000444,0.2456730862,0.0498958431,0.1773016984,0.2457527428
400137271,0.3070204082,0.0945934452,0.2008711873,0.2693159350,0.0495627310,0.1770569792,0.3066772789
400137271,0.3682244898,0.0936658637,0.1997562145,0.2689175549,0.0493071426,0.1763284988,0.3106524976
400137271,0.4294285714,0.0946019247,0.1993900876,0.2695774102,0.0490087447,0.1774636180,0.3108777176
400137271,0.4906326531,0.0951843524,0.2012867716,0.2696044865,0.0498724339,0.1773294378,0.3102182109
400137271,0.5518367347,0.0951405247,0.2007329627,0.2699684791,0.0487212889,0.1756263442,0.3108587518
400137271,0.6130408163,0.0949219624,0.2001464691,0.2699567314,0.0491763489,0.1776969981,0.3109578110
400137271,0.6742448980,0.0949466460,0.2002152228,0.2688118720,0.0493092629,0.1765258652,0.3109021568
400137271,0.7354489796,0.0941358759,0.1994972225,0.2705283535,0.0492748409,0.1759988609,0.3118516116
400137271,0.7966530612,0.0948630535,0.1982773290,0.2688624214,0.0491494001,0.1773556916,0.3118925159
400137271,0.8578571429,0.0944693686,0.2014003261,0.2684610388,0.0486863960,0.1771356095,0.3098495650
400137271,0.9190612245,0.0948207362,0.2005241954,0.2689846966,0.0490442753,0.1768996730,0.3107412754
400137271,0.9802653061,0.0945236881,0.2001313960,0.2674605352,0.0491629368,0.1774788421,0.3096590557
400137271,1.0414693878,0.0942531095,0.2003563696,0.2691791838,0.0486941944,0.1759990943,0.3090392517
400137271,1.1026734694,0.0941827472,0.1974049959,0.2688549924,0.0490213444,0.1760699198,0.3098729324
400137271,1.1638775510,0.0950526094,0.1989508049,0.2687563312,0.0490552118,0.1779905559,0.3093997662
400137271,1.2250816327,0.0942791597,0.1989142721,0.2680864924,0.0495889308,0.1767187569,0.3092476704
400137271,1.2862857143,0.0936906757,0.1995806326,0.2686299038,0.0494392503,0.1762762125,0.3094101436
400137271,1.3474897959,0.0952755964,0.1992074878,0.2689348595,0.0488754008,0.1769805243,0.3120791281
400137271,1.4086938776,0.0960740254,0.1993071285,0.2671181397,0.0492028280,0.1770851076,0.3078608100
400137271,1.4698979592,0.0950231406,0.1983838326,0.2687391719,0.0494507568,0.1769263165,0.3084918543
400137271,1.5311020408,0.0947150987,0.1992002844,0.2710571051,0.0491937754,0.1777876350,0.3091737775
400137271,1.5923061224,0.0938145008,0.1991784624,0.2686812308,0.0488811241,0.1789045955,0.3100483350
400137271,1.6535102041,0.0958240409,0.2014628289,0.2678411463,0.0488477548,0.1764113150,0.3107140027
400137271,1.7147142857,0.0961462795,0.1984643137,0.2685973829,0.0483802485,0.1774430084,0.3092008034
400137271,1.7759183673,0.0936834124,0.2004628520,0.2665447541,0.0489989886,0.1754101994,0.3085292295
400137271,1.8371224490,0.0942645393,0.2005687264,0.2688939423,0.0494447914,0.1773263909,0.3095682979
400137271,1.8983265306,0.0947912601,0.2010525477,0.2680836611,0.0495289870,0.1773308223,0.3100814808
400137271,1.9595306122,0.0947587446,0.2000787765,0.2705913835,0.0492049823,0.1765854757,0.3105891352
400137271,2.0207346939,0.0942068868,0.1986524515,0.2708806607,0.0496226903,0.1768802078,0.3097031889
400137271,2.0819387755,0.0946955294,0.2008098166,0.2675211844,0.0493220746,0.1782919839,0.3109873337
400137271,2.1431428571,0.0933354250,0.2005037791,0.2690750548,0.0493171465,0.1774230179,0.3120754850
400137271,2.2043469388,0.0949356363,0.1990657716,0.2685704173,0.0496973142,0.1780359726,0.3112293080
400137271,2.2655510204,0.0945287695,0.2009234694,0.2690147877,0.0478008266,0.1771193331,0.3094061482
400137271,2.3267551020,0.0949446123,0.1996102363,0.2694974591,0.0499487939,0.1760910245,0.3124144388
400137271,2.3879591837,0.0943125106,0.2004762421,0.2685995927,0.0502667804,0.1758624795,0.3108456544
400137271,2.4491632653,0.0939292533,0.2015711171,0.2681215921,0.0488116844,0.1764472678,0.3102038490
400137271,2.5103673469,0.0951414968,0.1985173177,0.2687174608,0.0495743211,0.1766694974,0.3118059310
400137271,2.5715714286,0.0954144089,0.1994303304,0.2672181637,0.0491101383,0.1760876517,0.3107987245
400137271,2.6327755102,0.0944135620,0.1994813427,0.2676213237,0.0486624891,0.1765644516,0.3125172040
400137271,2.6939795918,0.0938277001,0.1990909191,0.2677086515,0.0491598479,0.1781333671,0.3115509026
400137271,2.7551836735,0.0942975124,0.2002632302,0.2679685822,0.0487018869,0.1770339059,0.3090759154
400137271,2.8163877551,0.0945591740,0.1999834634,0.2692613563,0.0493252334,0.1761360871,0.3082906751
400137271,2.8775918367,0.0939628544,0.1989967141,0.2677057341,0.0497705283,0.1784035682,0.3100344198
400137271,2.9387959184,0.0954292209,0.2007762882,0.2697197163,0.0486823600,0.1768530546,0.3084677630
400137271,3.0000000000,0.0942779591,0.2002951465,0.2694579367,0.0504229122,0.1767853236,0.3120732366

