Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,0.0008684415,0.0009970513
400137271,0.0417959184,0.0438822867,0.0486421128
400137271,0.0825918367,0.0856766593,0.1078357852
400137271,0.1233877551,0.1279209019,0.1821526026
400137271,0.1641836735,0.2010134108,0.3046647387
400137271,0.2049795918,0.2938726617,0.5043124085
400137271,0.2457755102,0.2905474712,0.5038069543
400137271,0.2865714286,0.4712748763,0.5433325331
400137271,0.3273673469,0.3810483716,0.4557172252
400137271,0.3681632653,0.5791525670,0.6231763595
400137271,0.4089591837,0.5210433264,0.6103159904
400137271,0.4497551020,0.3269675465,0.6924352548
400137271,0.4905510204,0.4521587144,0.7274964345
400137271,0.5313469388,0.4207937819,0.6590812732
400137271,0.5721428571,0.4498113518,0.4901829792
400137271,0.6129387755,0.4835916231,0.5961792756
400137271,0.6537346939,0.4325089216,0.5798661553
400137271,0.6945306122,0.3865358836,0.6830780017
400137271,0.7353265306,0.5517837881,0.6654549585
400137271,0.7761224490,0.3936449442,0.5190268497
400137271,0.8169183673,0.3902861260,0.6218555384
400137271,0.8577142857,0.4412289666,0.6438631236
400137271,0.8985102041,0.3353738961,0.6915567033
400137271,0.9393061224,0.5093056190,0.6314506720
400137271,0.9801020408,0.4916321668,0.6611697853
400137271,1.0208979592,0.3966243967,0.6959725798
400137271,1.0616938776,0.4418823008,0.6152655566
400137271,1.1024897959,0.4523803971,0.6165574928
400137271,1.1432857143,0.4066300899,0.5536057671
400137271,1.1840816327,0.4479064009,0.4768406424
400137271,1.2248775510,0.4257459078,0.6947652829
400137271,1.2656734694,0.3784735449,0.5786969562
400137271,1.3064693878,0.3764238448,0.6520767705
400137271,1.3472653061,0.2956812257,0.6191973962
400137271,1.3880612245,0.3023128380,0.5233471086
400137271,1.4288571429,0.3031801824,0.6597550907
400137271,1.4696530612,0.2009989055,0.5419249232
400137271,1.5104489796,0.3122718374,0.6325183141
400137271,1.5512448980,0.1759539118,0.6390662404
400137271,1.5920408163,0.2696626188,0.6225686389
400137271,1.6328367347,0.2640895645,0.6075089857
400137271,1.6736326531,0.3132658565,0.4965419240
400137271,1.7144285714,0.1631761431,0.4861513496
400137271,1.7552244898,0.1715704129,0.5171502540
400137271,1.7960204082,0.1917027198,0.5794967698
400137271,1.8368163265,0.1122103727,0.5171151093
400137271,1.8776122449,0.1176737016,0.4532797503
400137271,1.9184081633,0.2367203928,0.5010145576
400137271,1.9592040816,0.1219119854,0.4820990109
400137271,2.0000000000,0.1130959974,0.4757356949

