Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,1.0000000000,1.0000000000
400137271,0.0417959184,1.3922080142,1.3697747734
400137271,0.0825918367,2.0207514115,3.6558820599
400137271,0.1233877551,2.5352505325,7.6894962642
400137271,0.1641836735,4.1080843480,16.0495816942
400137271,0.2049795918,36.3422206918,28.6742353042
400137271,0.2457755102,19.4851572864,48.0459699952
400137271,0.2865714286,48.2875756316,82.9665723600
400137271,0.3273673469,19.7961739150,77.0772319125
400137271,0.3681632653,44.6558048963,69.5310837106
400137271,0.4089591837,56.7815762732,69.9645810648
400137271,0.4497551020,74.3741901992,66.9285076926
400137271,0.4905510204,40.5976322379,85.2296320621
400137271,0.5313469388,76.9987066125,62.1514994055
400137271,0.5721428571,127.4576070400,93.4023718582
400137271,0.6129387755,84.4129821461,55.4465809576
400137271,0.6537346939,117.0119040463,115.7452094189
400137271,0.6945306122,76.9880444668,67.5236135469
400137271,0.7353265306,66.8916018704,84.0077443671
400137271,0.7761224490,33.5292641566,120.0801848920
400137271,0.8169183673,83.4225032622,149.2008969693
400137271,0.8577142857,57.2054885477,70.5700800331
400137271,0.8985102041,206.9292514575,64.5307973541
400137271,0.9393061224,57.9892087999,82.1049173615
400137271,0.9801020408,81.3192943295,136.1851917111
400137271,1.0208979592,108.2744579278,107.8287282538
400137271,1.0616938776,127.5724892086,128.9799592817
400137271,1.1024897959,64.9704143132,92.1260672902
400137271,1.1432857143,180.0143324738,182.7367211941
400137271,1.1840816327,109.6468694690,173.1059569300
400137271,1.2248775510,224.1516689446,119.9695025399
400137271,1.2656734694,245.4179364228,110.4598933545
400137271,1.3064693878,166.3038070957,148.2018306249
400137271,1.3472653061,287.1972073791,115.5302838943
400137271,1.3880612245,241.9922010588,85.3125597757
400137271,1.4288571429,283.6195519068,114.9228604420
400137271,1.4696530612,371.9304251971,108.2521785427
400137271,1.5104489796,358.0195655785,126.9332019469
400137271,1.5512448980,504.6865058327,105.9573383744
400137271,1.5920408163,447.8623962164,175.3033468849
400137271,1.6328367347,579.0442107108,169.3024915372
400137271,1.6736326531,324.3060239022,175.6388196882
400137271,1.7144285714,583.2143959127,231.4006650028
400137271,1.7552244898,628.4283656757,199.9656989320
400137271,1.7960204082,720.3743263623,146.6821732844
400137271,1.8368163265,1123.0779663976,253.1889907740
400137271,1.8776122449,1165.3077069127,237.6199870528
400137271,1.9184081633,597.2725591468,136.9225784487
400137271,1.9592040816,986.1861998776,126.7864139507
400137271,2.0000000000,1281.6523266425,265.2949007073

