Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,1.0097547037,1.0125652301,1.0157233529,1.0137927512,1.0224078935,1.0410278423
400137271,0.0622040816,1.9752570323,2.0528646190,2.2745563661,2.2264533057,2.8543430442,4.3719003658
400137271,0.1234081633,100000.4610611006,4.3097515097,4.6698080487,100003.3749130110,6.5429572055,10.4903407565
400137271,0.1846122449,100002.1925151393,13.5528311672,10.2787074208,100003.5613068158,22.0889905791,23.5457362842
400137271,0.2458163265,100001.8309369411,100000.1031672171,38.9457529551,100005.9385046297,100000.4717756063,61.6338447087
400137271,0.3070204082,100003.1281988882,100000.2727722865,100000.0604655717,100008.1734137891,100000.7194007690,1208.3145412932
400137271,0.3682244898,100000.5838320448,100000.2024248901,100000.2892666068,100004.1403695117,100000.5751552730,100000.0542914530
400137271,0.4294285714,100003.2388464497,100000.1320790324,100000.6872983963,100004.1003421551,100000.5453274537,100000.0396556761
400137271,0.4906326531,100003.2907923388,100000.6383031021,100000.0454659509,100003.6580667355,100000.0462358726,100000.1208083853
400137271,0.5518367347,100004.2750421393,100001.4146145223,100000.5900538065,100000.6190949349,100000.2307784362,100000.1290108456
400137271,0.6130408163,100000.5791999240,100001.0917278469,100000.2540270845,100002.3628852603,100001.0254631619,100000.5411648323
400137271,0.6742448980,100003.0318823730,100000.3847182731,100000.7615970786,100002.1553309681,100000.5038560636,100000.7199849835
400137271,0.7354489796,100000.4446636176,100001.1681055541,100000.0883971410,100006.6755597878,100001.1571898917,100000.0102272150
400137271,0.7966530612,100001.2371985227,100000.6745623126,100000.0110250458,100008.1979604293,100000.7826992753,100000.1117396470
400137271,0.8578571429,100004.6280286862,100000.0846257173,100000.3900134088,100002.8058315464,100001.7851000405,100000.8102826687
400137271,0.9190612245,100004.3822925169,100000.8865125339,100000.2265547673,100002.3054217328,100000.3815019978,100000.1420058985
400137271,0.9802653061,100000.3599293925,100000.3245390765,100000.3987152555,100007.0204815702,100000.3222767674,100000.8170485330
400137271,1.0414693878,100003.6589103871,100001.7165509134,100000.8768167410,100000.5234173190,100000.9287766299,100001.0148382227
400137271,1.1026734694,100004.4301568477,100001.0094156018,100000.1269481971,100005.0050432017,100000.8572118816,100000.6779345124
400137271,1.1638775510,100000.6516866596,100001.3259598639,100001.0736341320,100009.6017946208,100000.6128809726,100001.1591059223
400137271,1.2250816327,100003.7889086727,100000.2331280801,100001.2155718592,100003.3276491387,100001.0652026742,100000.2966739464
400137271,1.2862857143,100004.2995607006,100001.2734473032,100001.1755083156,100005.4114904578,100000.0710941426,100001.0608151653
400137271,1.3474897959,100002.9368706554,100000.8122826687,100000.8237522962,100003.0245166951,100000.4074902599,100000.6951353309
400137271,1.4086938776,100000.9454936793,100000.3322761451,100001.3515005212,100004.2755172854,100001.3672859029,100000.1396023365
400137271,1.4698979592,100002.4339609369,100001.0472138572,100001.1584056810,100000.7230551143,100001.2024618864,100000.3386846869
400137271,1.5311020408,100004.4128655330,100000.4185292908,100000.4617461617,100005.8111019243,100002.0220577114,100000.0957346262
400137271,1.5923061224,100000.0407976391,100000.9333604172,100000.4101489207,100005.9291113254,100000.8937161444,100000.2979903858
400137271,1.6535102041,100004.1299441818,100000.4149375421,100000.8704173163,100004.7166539373,100001.2201232632,100000.7905577428
400137271,1.7147142857,100002.8535018611,100000.9189383020,100001.5176532026,100000.9409185405,100002.1176931490,100000.5590318502
400137271,1.7759183673,100000.1336827736,100001.7852247800,100000.2692674031,100000.0814913017,100000.4779431092,100001.0183261396
400137271,1.8371224490,100001.5513768791,100000.1401990473,100000.0199509143,100001.5921288588,100000.7963815843,100000.2028227903
400137271,1.8983265306,100002.8431756232,100001.6991375784,100001.4649915889,100009.0743542982,100000.5804880224,100000.7055804451
400137271,1.9595306122,100004.5474882735,100001.8994494863,100000.5120990834,100007.5453866033,100002.5012013563,100000.3539887987
400137271,2.0207346939,100004.9945524716,100000.5291202727,100000.8426407619,100002.2164720932,100001.2085839272,100000.5201736053
400137271,2.0819387755,100004.0842315761,100000.2026360979,100001.1568226767,100008.6664234577,100002.2154873022,100000.6357143174
400137271,2.1431428571,100001.3426694577,100001.4633470190,100000.2930229763,100004.1154421130,100002.3921783307,100000.9754879427
400137271,2.2043469388,100004.8114786483,100001.5760765209,100000.3777365490,100008.9702142694,100000.7754166179,100000.0693118997
400137271,2.2655510204,100001.9316260255,100000.8940739193,100000.8262802052,100003.5763272567,100002.5749233649,100000.4006074611
400137271,2.3267551020,100003.5717677886,100001.6526474303,100000.6851920164,100006.3818593793,100001.0957044836,100001.2491953690
400137271,2.3879591837,100002.7380728127,100002.1912444197,100000.1844544054,100004.7894027259,100000.5920477850,100000.4370817244
400137271,2.4491632653,100003.1867574816,100000.2636075151,100000.6082077665,100000.4618562429,100001.8828005684,100000.5158249420
400137271,2.5103673469,100003.0379706646,100001.7982199635,100000.6870267054,100000.5050816923,100002.4737781895,100000.2992668669
400137271,2.5715714286,100003.2676930947,100001.6209932636,100000.9419501687,100005.2245946413,100002.2138965942,100000.2657514147
400137271,2.6327755102,100001.9122765503,100000.8700281834,100000.3551569444,100006.2186535828,100001.9388396747,100000.2440306855
400137271,2.6939795918,100001.0178806030,100000.0883299655,100001.3999143735,100007.4728583573,100000.3486932075,100000.0616814362
400137271,2.7551836735,100001.9444429915,100001.5732449428,100000.5360526913,100009.0623166429,100002.2544242008,100001.0967393563
400137271,2.8163877551,100001.4242707123,100000.8821366717,100000.5616536966,100001.8296826541,100001.9511200667,100001.1694140837
400137271,2.8775918367,100000.1924502133,100000.9785596843,100000.7706067320,100002.7201124519,100002.0784807037,100000.5215164136
400137271,2.9387959184,100004.9550795310,100001.3012840000,100001.4931728727,100004.7061274389,100001.1225643445,100001.1511043594
400137271,3.0000000000,100000.4079365892,100000.4402731275,100001.1889223666,100000.4445572330,100001.6489963319,100001.4059579370

