Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,0.0009985454,0.0009991027,0.0009996738,0.0009992249,0.0009999510,0.0009999102
400137271,0.0110909091,0.0111073246,0.0111067696,0.0110986824,0.0111082226,0.0111066935,0.0111006158
400137271,0.0211818182,0.0211969597,0.0211925839,0.0211998344,0.0211839084,0.0211930903,0.0211926193
400137271,0.0312727273,0.0312819048,0.0312556813,0.0312604152,0.0312477953,0.0312840295,0.0312589433
400137271,0.0413636364,0.0413724553,0.0413603705,0.0413766628,0.0413672213,0.0413800855,0.0413960943
400137271,0.0514545455,0.0514509495,0.0514602651,0.0514713496,0.0514640291,0.0514331267,0.0514768942
400137271,0.0615454545,0.0615630652,0.0615975089,0.0615471811,0.0616516117,0.0615895023,0.0616535740
400137271,0.0716363636,0.0717055454,0.0716996149,0.0716650361,0.0717273519,0.0715909407,0.0716286926
400137271,0.0817272727,0.0816350122,0.0817334824,0.0817426076,0.0628916794,0.0817004101,0.0817023681
400137271,0.0918181818,0.0918401918,0.0918543588,0.0918450638,0.0633217335,0.0918165946,0.0918125079
400137271,0.1019090909,0.1017865064,0.1018628303,0.1019108408,0.0529855551,0.1018394526,0.1019913122
400137271,0.1120000000,0.0950089081,0.1118822663,0.1119420441,0.0509217059,0.1119638833,0.1119292936
400137271,0.1220909091,0.0947418372,0.1221021056,0.1219800609,0.0497894204,0.1221852624,0.1220515337
400137271,0.1321818182,0.0947030517,0.1322235223,0.1322088593,0.0504772701,0.1321250611,0.1323519188
400137271,0.1422727273,0.0946986164,0.1422635382,0.1421444440,0.0495453534,0.1424210539,0.1424322635
400137271,0.1523636364,0.0947881953,0.1522740983,0.1521801603,0.0493072192,0.1521380909,0.1523476780
400137271,0.1624545455,0.0948007160,0.1623630140,0.1623047331,0.0492389673,0.1623523805,0.1624855156
400137271,0.1725454545,0.0946170130,0.1724611600,0.1724361431,0.0492898040,0.1722167699,0.1726097632
400137271,0.1826363636,0.0945071102,0.1827057191,0.1824651719,0.0494819367,0.1823578252,0.1824862038
400137271,0.1927272727,0.0944293986,0.1926497241,0.1927042996,0.0491187895,0.1782057463,0.1930164294
400137271,0.2028181818,0.0944701175,0.2025120988,0.2028123775,0.0492392869,0.1772012650,0.2029209077
400137271,0.2129090909,0.0944236208,0.2000603594,0.2130094616,0.0492710895,0.1771222929,0.2129231330
400137271,0.2230000000,0.0945517689,0.1998786657,0.2226462591,0.0495253091,0.1771283038,0.2228975297
400137271,0.2330909091,0.0945086559,0.1996011710,0.2331690074,0.0491658668,0.1772382705,0.2329121361
400137271,0.2431818182,0.0945129915,0.2000912385,0.2429330508,0.0492083415,0.1773796251,0.2430392088
400137271,0.2532727273,0.0944629206,0.2000854134,0.2532079254,0.0492651320,0.1772480794,0.2535146037
400137271,0.2633636364,0.0944030094,0.2000733079,0.2634815682,0.0493722083,0.1770333946,0.2630026693
400137271,0.2734545455,0.0946520810,0.1999322402,0.2686503782,0.0493058364,0.1770787455,0.2733914066
400137271,0.2835454545,0.0946047214,0.1998145537,0.2688659498,0.0491516598,0.1771692153,0.2839301604
400137271,0.2936363636,0.0948114346,0.1995881489,0.2689610350,0.0492806997,0.1772871676,0.2934567264
400137271,0.3037272727,0.0943048009,0.1998021481,0.2690363373,0.0494001169,0.1773145494,0.3037908437
400137271,0.3138181818,0.0946264919,0.1997046985,0.2694128458,0.0494327147,0.1774459305,0.3109778422
400137271,0.3239090909,0.0947415897,0.1999476020,0.2692141225,0.0495522455,0.1773838534,0.3105596572
400137271,0.3340000000,0.0945580416,0.2001759069,0.2686274801,0.0492891229,0.1772503186,0.3109779235
400137271,0.3440909091,0.0946346508,0.2001978950,0.2690194132,0.0492972159,0.1771046111,0.3106406650
400137271,0.3541818182,0.0946109824,0.1997900921,0.2689572575,0.0496651552,0.1771536544,0.3110485371
400137271,0.3642727273,0.0946563075,0.1996272023,0.2687026909,0.0490325113,0.1772735521,0.3112240711
400137271,0.3743636364,0.0944993402,0.1995594974,0.2686115785,0.0493700784,0.1769558666,0.3107860967
400137271,0.3844545455,0.0944926756,0.1999698624,0.2692430053,0.0490803563,0.1772419970,0.3110596311
400137271,0.3945454545,0.0945861615,0.1999400363,0.2687841970,0.0494301485,0.1769964331,0.3100678376
400137271,0.4046363636,0.0945294380,0.1994106504,0.2693958357,0.0492506092,0.1773514254,0.3108326221
400137271,0.4147272727,0.0947173298,0.1997384910,0.2692008007,0.0494924564,0.1775620760,0.3104170055
400137271,0.4248181818,0.0947320762,0.1997648540,0.2691051889,0.0495080350,0.1770392836,0.3106517048
400137271,0.4349090909,0.0944556474,0.2000237143,0.2686310061,0.0494559520,0.1776277752,0.3102073007
400137271,0.4450000000,0.0947753684,0.2005175867,0.2692313644,0.0496035570,0.1770924059,0.3107169480
400137271,0.4550909091,0.0947229631,0.2000122603,0.2689021705,0.0491095883,0.1770499570,0.3106642618
400137271,0.4651818182,0.0943793075,0.2001143651,0.2684721666,0.0494711518,0.1768977076,0.3103006621
400137271,0.4752727273,0.0943725019,0.1996942148,0.2691630324,0.0494313859,0.1768139971,0.3106953902
400137271,0.4853636364,0.0946335810,0.1997042309,0.2690366763,0.0494878283,0.1773755465,0.3116781759
400137271,0.4954545455,0.0945265341,0.1998747738,0.2689267932,0.0495432884,0.1773745336,0.3106783738
400137271,0.5055454545,0.0945269988,0.1995274648,0.2684452724,0.0493884037,0.1773974959,0.3107502815
400137271,0.5156363636,0.0947153263,0.1994569859,0.2686107388,0.0494157863,0.1772800614,0.3108901806
400137271,0.5257272727,0.0948453640,0.1999948178,0.2689891569,0.0493872029,0.1773353801,0.3108947246
400137271,0.5358181818,0.0946343652,0.1997963508,0.2688035367,0.0493138966,0.1767696359,0.3110213011
400137271,0.5459090909,0.0946819248,0.1991780851,0.2691856534,0.0495725076,0.1776694561,0.3104728641
400137271,0.5560000000,0.0944181831,0.2001821874,0.2693769222,0.0495204438,0.1768258457,0.3109135124
400137271,0.5660909091,0.0947048339,0.2005772814,0.2686661313,0.0492976805,0.1767948613,0.3109287646
400137271,0.5761818182,0.0944872432,0.1998800911,0.2688769382,0.0491676912,0.1770325414,0.3107206768
400137271,0.5862727273,0.0944344710,0.1997956257,0.2689019494,0.0492451966,0.1772476335,0.3115559037
400137271,0.5963636364,0.0945297561,0.2000448581,0.2686645906,0.0492638329,0.1770017737,0.3106178618
400137271,0.6064545455,0.0943759799,0.1998554897,0.2688374648,0.0496065782,0.1774489903,0.3108135700
400137271,0.6165454545,0.0943731591,0.2003925468,0.2690169990,0.0494557311,0.1773290237,0.3106071107
400137271,0.6266363636,0.0945174846,0.1999303717,0.2694323777,0.0494517935,0.1772723468,0.3109129193
400137271,0.6367272727,0.0947809945,0.1997727640,0.2687193114,0.0493570370,0.1774068668,0.3109591916
400137271,0.6468181818,0.0945510337,0.2000746555,0.2688939836,0.0492129197,0.1771288056,0.3110944598
400137271,0.6569090909,0.0945975111,0.1999155036,0.2686526829,0.0493928352,0.1770996061,0.3108574449
400137271,0.6670000000,0.0947031082,0.1995112976,0.2688379024,0.0495465028,0.1775198370,0.3104991157
400137271,0.6770909091,0.0945325927,0.2000182917,0.2686904002,0.0493509358,0.1771776355,0.3111607613
400137271,0.6871818182,0.0947270087,0.2001325551,0.2686447613,0.0492518841,0.1770033145,0.3107156729
400137271,0.6972727273,0.0947702481,0.2001255513,0.2690570658,0.0490006976,0.1773394927,0.3114642374
400137271,0.7073636364,0.0946831046,0.1999197289,0.2690618660,0.0493155539,0.1767424163,0.3108508707
400137271,0.7174545455,0.0947296526,0.2001325723,0.2685992355,0.0495743032,0.1773617356,0.3114540481
400137271,0.7275454545,0.0945159434,0.2001184874,0.2687510985,0.0493675937,0.1772809631,0.3111817431
400137271,0.7376363636,0.0946028104,0.2002446937,0.2694996234,0.0493210039,0.1775946922,0.3107029074
400137271,0.7477272727,0.0947094881,0.1998544455,0.2692410355,0.0492953598,0.1771132754,0.3106860538
400137271,0.7578181818,0.0947074948,0.1993105672,0.2681852007,0.0493694010,0.1768744746,0.3105123400
400137271,0.7679090909,0.0944243222,0.1997314482,0.2689974072,0.0493635158,0.1772242391,0.3106864433
400137271,0.7780000000,0.0947036024,0.1998191415,0.2690081370,0.0492236384,0.1773208715,0.3110290823
400137271,0.7880909091,0.0948383638,0.2001151532,0.2686145184,0.0494294323,0.1774996398,0.3112136852
400137271,0.7981818182,0.0943043460,0.2003658816,0.2690758668,0.0492962417,0.1771418334,0.3106090257
400137271,0.8082727273,0.0945648119,0.2000721410,0.2685372244,0.0491351231,0.1773307576,0.3108168269
400137271,0.8183636364,0.0945782466,0.1998970419,0.2685449821,0.0493330754,0.1771314420,0.3108399888
400137271,0.8284545455,0.0943926281,0.1999876755,0.2685766127,0.0495249158,0.1774814434,0.3104383873
400137271,0.8385454545,0.0943996590,0.2001745654,0.2687142995,0.0495512018,0.1772123252,0.3107348488
400137271,0.8486363636,0.0944866281,0.1996277932,0.2688408442,0.0493018957,0.1771323605,0.3109163719
400137271,0.8587272727,0.0945071649,0.2000003954,0.2690079238,0.0492121574,0.1773444838,0.3113048374
400137271,0.8688181818,0.0945177676,0.1999021557,0.2690413057,0.0492344309,0.1772496465,0.3101952327
400137271,0.8789090909,0.0946253367,0.1999322486,0.2695390671,0.0495628138,0.1771661540,0.3107500258
400137271,0.8890000000,0.0943038386,0.1996536100,0.2688653913,0.0493865202,0.1772327436,0.3103464319
400137271,0.8990909091,0.0945962657,0.1997933170,0.2691130692,0.0492513773,0.1773876446,0.3104066834
400137271,0.9091818182,0.0945930837,0.1997334236,0.2685253457,0.0493431349,0.1772588966,0.3110881795
400137271,0.9192727273,0.0944045605,0.1999132358,0.2692361801,0.0495015773,0.1768589784,0.3109524165
400137271,0.9293636364,0.0948133589,0.2001720566,0.2691184038,0.0494017825,0.1772190245,0.3109926793
400137271,0.9394545455,0.0944300236,0.1999570324,0.2688116367,0.0494922966,0.1773466088,0.3105205405
400137271,0.9495454545,0.0948010522,0.1996452244,0.2686987195,0.0493330905,0.1775464101,0.3102338221
400137271,0.9596363636,0.0947400083,0.1993560449,0.2688244131,0.0492403765,0.1771768896,0.3110363928
400137271,0.9697272727,0.0945902123,0.1996011647,0.2693811099,0.0492640831,0.1770914835,0.3107067355
