Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,0.0008684415,0.0009970513
400137271,0.0417959184,0.0384932339,0.0430461175
400137271,0.0825918367,0.0679973487,0.0718905235
400137271,0.1233877551,0.0954633597,0.1097304835
400137271,0.1641836735,0.1189428466,0.1443908714
400137271,0.2049795918,0.1499350315,0.1895911310
400137271,0.2457755102,0.1689229483,0.1713629096
400137271,0.2865714286,0.2076100777,0.1817165662
400137271,0.3273673469,0.1934255693,0.1845009009
400137271,0.3681632653,0.2644532270,0.2010246321
400137271,0.4089591837,0.2390107002,0.2243808788
400137271,0.4497551020,0.1685399724,0.2184338343
400137271,0.4905510204,0.2249545843,0.2416931676
400137271,0.5313469388,0.2052652595,0.2296450429
400137271,0.5721428571,0.2152207425,0.1672979451
400137271,0.6129387755,0.2259773940,0.2216279835
400137271,0.6537346939,0.2240978868,0.2171783353
400137271,0.6945306122,0.1932679418,0.2483920006
400137271,0.7353265306,0.2745192976,0.2359769356
400137271,0.7761224490,0.1830906717,0.1958591886
400137271,0.8169183673,0.1858505362,0.2286233597
400137271,0.8577142857,0.2217230988,0.2628012749
400137271,0.8985102041,0.1567167739,0.2461055884
400137271,0.9393061224,0.2753003346,0.2287864754
400137271,0.9801020408,0.2341105556,0.2319893983
400137271,1.0208979592,0.1963487113,0.2772799123
400137271,1.0616938776,0.2166089710,0.2262005723
400137271,1.1024897959,0.2143982924,0.2317885311
400137271,1.1432857143,0.1891302744,0.2081224688
400137271,1.1840816327,0.2332845838,0.1772641793
400137271,1.2248775510,0.1744860278,0.2554284128
400137271,1.2656734694,0.1674661703,0.2175552467
400137271,1.3064693878,0.1809730023,0.2388559599
400137271,1.3472653061,0.1237159940,0.2457132525
400137271,1.3880612245,0.1223938616,0.1938322625
400137271,1.4288571429,0.1403611956,0.2737572991
400137271,1.4696530612,0.0844533216,0.2133562690
400137271,1.5104489796,0.1264258451,0.2500072388
400137271,1.5512448980,0.0692731936,0.2420705456
400137271,1.5920408163,0.1123594245,0.2161696663
400137271,1.6328367347,0.0985408823,0.2266824573
400137271,1.6736326531,0.1209520681,0.1799064942
400137271,1.7144285714,0.0551270754,0.1813997573
400137271,1.7552244898,0.0593669249,0.2119468254
400137271,1.7960204082,0.0694575072,0.2254851244
400137271,1.8368163265,0.0348479418,0.1833741522
400137271,1.8776122449,0.0359858415,0.1515985787
400137271,1.9184081633,0.0816277216,0.1757945816
400137271,1.9592040816,0.0436960521,0.1875871638
400137271,2.0000000000,0.0344804870,0.1675125686

