Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,0.0009999769,0.0009991886
400137271,0.0417959184,0.0418281851,0.0418054059
400137271,0.0825918367,0.0824538322,0.0825245859
400137271,0.1233877551,0.1233082952,0.1233815337
400137271,0.1641836735,0.1641633769,0.1641302449
400137271,0.2049795918,0.2046990831,0.2047235355
400137271,0.2457755102,0.2405179605,0.2400896879
400137271,0.2865714286,0.2835838315,0.2642700932
400137271,0.3273673469,0.3254897486,0.3095533972
400137271,0.3681632653,0.3199423329,0.3527613698
400137271,0.4089591837,0.3804630995,0.3883476482
400137271,0.4497551020,0.4287551403,0.3649666935
400137271,0.4905510204,0.3970484629,0.4008517801
400137271,0.5313469388,0.4588854323,0.3970737083
400137271,0.5721428571,0.4608212264,0.4390410010
400137271,0.6129387755,0.5149915837,0.4571163860
400137271,0.6537346939,0.4941221053,0.5228862320
400137271,0.6945306122,0.4950080250,0.4738552314
400137271,0.7353265306,0.4100950046,0.5433440655
400137271,0.7761224490,0.5359991524,0.4814285788
400137271,0.8169183673,0.5123466124,0.4842910894
400137271,0.8577142857,0.5450249667,0.5664899408
400137271,0.8985102041,0.6467882765,0.6201369015
400137271,0.9393061224,0.5866057530,0.5367005521
400137271,0.9801020408,0.6072956094,0.5894080544
400137271,1.0208979592,0.4841701831,0.5459058805
400137271,1.0616938776,0.6621630025,0.6661051332
400137271,1.1024897959,0.5677674533,0.5394228559
400137271,1.1432857143,0.7758156549,0.4445151182
400137271,1.1840816327,0.5831507557,0.5845429898
400137271,1.2248775510,0.6035193793,0.5692383658
400137271,1.2656734694,0.5892994460,0.6906859157
400137271,1.3064693878,0.6897413069,0.6302718696
400137271,1.3472653061,0.7008406604,0.4592185121
400137271,1.3880612245,0.7338229221,0.4511306294
400137271,1.4288571429,0.5763218887,0.7185806198
400137271,1.4696530612,0.6550786277,0.6766192155
400137271,1.5104489796,0.7517248182,0.5720775084
400137271,1.5512448980,0.5927607706,0.5994195165
400137271,1.5920408163,0.7539634069,0.6665435972
400137271,1.6328367347,0.7078048914,0.7432225594
400137271,1.6736326531,0.5984491593,0.7005912019
400137271,1.7144285714,0.7122396176,0.7917444448
400137271,1.7552244898,0.5097602645,0.7709420918
400137271,1.7960204082,0.7923787184,0.7272676939
400137271,1.8368163265,0.7645378809,0.8531585333
400137271,1.8776122449,0.7216814125,0.7082568741
400137271,1.9184081633,0.7722974203,0.8106626232
400137271,1.9592040816,0.7245446421,0.7068356626
400137271,2.0000000000,0.9167909494,0.7099027065

