Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,1.0114519213,1.0128632011
400137271,0.0060404040,1.0707347291,1.0823532322
400137271,0.0110808081,1.1344611590,1.1547837445
400137271,0.0161212121,1.2039780200,1.2363027517
400137271,0.0211616162,1.2786798721,1.3247986020
400137271,0.0262020202,1.3606835380,1.4185559749
400137271,0.0312424242,1.4462770743,1.5294374790
400137271,0.0362828283,1.5389038854,1.6408111299
400137271,0.0413232323,1.6481705973,1.7681115409
400137271,0.0463636364,1.7580629775,1.9136541065
400137271,0.0514040404,1.8755227197,2.0682095274
400137271,0.0564444444,2.0215446615,2.2393924368
400137271,0.0614848485,2.1647333013,2.4398657450
400137271,0.0665252525,2.3390388376,2.7053209798
400137271,0.0715656566,2.5297428350,2.9443361437
400137271,0.0766060606,2.7121002909,3.2783229452
400137271,0.0816464646,2.9785264140,3.6315233726
400137271,0.0866868687,3.4046501860,4.0828554432
400137271,0.0917272727,3.5699017141,5.1197961789
400137271,0.0967676768,3.9859704435,5.3144368881
400137271,0.1018080808,4.4328895408,6.1700869288
400137271,0.1068484848,4.8972854082,12.3576804996
400137271,0.1118888889,5.3182520756,10.3056018050
400137271,0.1169292929,6.4088550626,13.3532535674
400137271,0.1219696970,7.3283080179,12.8916905393
400137271,0.1270101010,9.7905606407,19.6846791458
400137271,0.1320505051,9.0150089969,27.6522556318
400137271,0.1370909091,15.7980128777,36.1907907406
400137271,0.1421313131,14.2615441517,71.7489256045
400137271,0.1471717172,31.2339675400,95.9272582794
400137271,0.1522121212,25.4290461755,479.6531120906
400137271,0.1572525253,57.4754431189,438.2095979410
400137271,0.1622929293,143.2279024707,501.7391859856
400137271,0.1673333333,301.1745581483,1210.8078181924
400137271,0.1723737374,60.5869453207,1470.1621414509
400137271,0.1774141414,214.9056330382,26107.3527285078
400137271,0.1824545455,268.0116118955,8133.5795535268
400137271,0.1874949495,3347.3844938952,34892.8549495183
400137271,0.1925353535,682.8757765247,33659.8339705332
400137271,0.1975757576,7043.0038397619,24182.3857661431
400137271,0.2026161616,13902.3305378333,14894.9490768217
400137271,0.2076565657,19421.8860140476,19366.3794299296
400137271,0.2126969697,7106.4476851158,38005.2595218884
400137271,0.2177373737,1593.6719701618,78762.9749114334
400137271,0.2227777778,14386.0337804974,37703.0184184753
400137271,0.2278181818,11854.1299723706,50877.1903169573
400137271,0.2328585859,113952.5990485394,74574.1782953782
400137271,0.2378989899,9708.8071864087,64672.6748220941
400137271,0.2429393939,42281.8794771562,211948.7165676431
400137271,0.2479797980,8804.6743481520,70225.8343608191
400137271,0.2530202020,55365.4877323349,209384.5285499035
400137271,0.2580606061,30581.6879001922,307446.8822348030
400137271,0.2631010101,18087.8199730346,176249.4300838799
400137271,0.2681414141,58703.0699493414,206599.5518241572
400137271,0.2731818182,400001.1341607049,56007.6598278432
400137271,0.2782222222,34121.0001428058,118297.1113419188
400137271,0.2832626263,107515.5706090162,159608.4105419196
400137271,0.2883030303,134378.9190788421,71074.3117261919
400137271,0.2933434343,74302.0337134762,174514.1451002909
400137271,0.2983838384,133930.6498150861,60514.4138592843
400137271,0.3034242424,361106.6482063391,138066.0475490991
400137271,0.3084646465,112725.6798463663,61102.9203234942
400137271,0.3135050505,271633.3758962273,294133.7922270485
400137271,0.3185454545,29984.7727375536,201346.1107409146
400137271,0.3235858586,97145.0146907134,222865.0489722892
400137271,0.3286262626,43298.0481706959,264321.0004084567
400137271,0.3336666667,262311.2999341030,171312.3599570858
400137271,0.3387070707,400000.5528263103,400001.6209734594
400137271,0.3437474747,56548.7853435729,273483.2146344008
400137271,0.3487878788,400002.6396205161,80508.3149494219
400137271,0.3538282828,400001.6753473424,400001.2762335662
400137271,0.3588686869,231414.7623429718,300208.9760588163
400137271,0.3639090909,400000.3425802216,342156.1634123945
400137271,0.3689494949,124154.1352864173,239900.0110715212
400137271,0.3739898990,400001.6509209067,101963.4943798694
400137271,0.3790303030,273877.9036647103,128730.1680664110
400137271,0.3840707071,296199.3931182427,400000.7253472812
400137271,0.3891111111,400000.0062197152,400001.7734871086
400137271,0.3941515152,62042.4934885755,223442.0194725661
400137271,0.3991919192,259619.1020883942,250623.2057355547
400137271,0.4042323232,400000.5234188731,372015.2997301648
400137271,0.4092727273,119911.9575365100,238725.3016249055
400137271,0.4143131313,400001.2983255301,400000.0412559240
400137271,0.4193535354,400001.8777996708,400001.2293959545
400137271,0.4243939394,79313.6557991205,400000.1837049272
400137271,0.4294343434,400001.5993856527,400000.4657031719
400137271,0.4344747475,61105.2049471155,187708.9464811763
400137271,0.4395151515,400000.3615713594,205960.5203993713
400137271,0.4445555556,400000.3265472081,201485.3608542730
400137271,0.4495959596,400001.8720599004,141950.6727209376
400137271,0.4546363636,106050.3672273732,297778.6067825911
400137271,0.4596767677,400000.2938294410,227607.8356026104
400137271,0.4647171717,400002.4381242417,241079.1939725696
400137271,0.4697575758,156014.6129307518,188402.2121321300
400137271,0.4747979798,310458.6422274647,267932.0231140411
400137271,0.4798383838,312644.4307171174,284500.7645083867
400137271,0.4848787879,166378.6593975019,400000.7613537515
400137271,0.4899191919,282362.2601945451,309488.4336669622
400137271,0.4949595960,400000.5002085737,334438.9467656194
400137271,0.5000000000,400000.0586621616,400000.3537354255

