Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,1.0119637850,1.0123970106
400137271,0.0060404040,1.0729003610,1.0828003616
400137271,0.0110808081,1.1353486646,1.1567778299
400137271,0.0161212121,1.2046942842,1.2388603960
400137271,0.0211616162,1.2769578303,1.3289148134
400137271,0.0262020202,1.3614950450,1.4215402830
400137271,0.0312424242,1.4472480516,1.5403230761
400137271,0.0362828283,1.5444069354,1.6473910605
400137271,0.0413232323,1.6502799066,1.7813743549
400137271,0.0463636364,1.7667380020,1.9197669372
400137271,0.0514040404,1.8807378069,2.0730453250
400137271,0.0564444444,2.0115309207,2.2349797281
400137271,0.0614848485,2.1407364466,2.4264694425
400137271,0.0665252525,2.3431260323,2.6917083673
400137271,0.0715656566,2.5432764744,2.9590517746
400137271,0.0766060606,2.7190278861,3.3402263332
400137271,0.0816464646,3.0061332701,3.5316217957
400137271,0.0866868687,3.3075622981,3.9936592402
400137271,0.0917272727,3.5748911104,4.4538275558
400137271,0.0967676768,3.9366116434,5.4973079882
400137271,0.1018080808,4.3033588109,6.4774180034
400137271,0.1068484848,5.2130720599,27.9315153785
400137271,0.1118888889,5.3730950202,8.7740077258
400137271,0.1169292929,6.3723814202,12.0010923798
400137271,0.1219696970,6.9520715342,12.1124949676
400137271,0.1270101010,11.5839182353,14.3087688087
400137271,0.1320505051,8.8803622028,42.8940767424
400137271,0.1370909091,18.5676069467,22.0923885329
400137271,0.1421313131,12.7144040830,56.3540983776
400137271,0.1471717172,17.3294565709,94.9488812512
400137271,0.1522121212,15.2295817724,751.7772246416
400137271,0.1572525253,27.4321932189,158.6713125238
400137271,0.1622929293,61.2943555271,371.5928064894
400137271,0.1673333333,200.1192681126,610.8478927388
400137271,0.1723737374,63.5206427962,686.7995937963
400137271,0.1774141414,144.1549523283,166007.7950152245
400137271,0.1824545455,549.6293024540,22853.9211801656
400137271,0.1874949495,1766.4450646657,6053.3552356343
400137271,0.1925353535,1376.8729118758,2255.3424329007
400137271,0.1975757576,23408.4687263527,3111.1419599951
400137271,0.2026161616,1044.3321025560,4582.0907442864
400137271,0.2076565657,2204.0822194261,34833.2700350524
400137271,0.2126969697,20158.5243462783,24053.6468164006
400137271,0.2177373737,3316.5188447168,14181.8096970184
400137271,0.2227777778,25843.0501575893,14895.8529492653
400137271,0.2278181818,3068.8036489721,7339.3960892606
400137271,0.2328585859,2498.2573161941,14945.9378799256
400137271,0.2378989899,3000.8625136812,8939.3467378872
400137271,0.2429393939,118137.0604525881,22367.7878134302
400137271,0.2479797980,6535.4005103312,98370.1127654404
400137271,0.2530202020,25916.9051525867,1504886.9556483470
400137271,0.2580606061,58312.6076079848,16879.4319948810
400137271,0.2631010101,4639.9036621509,23745.7549276148
400137271,0.2681414141,92128.1830980261,115302.7278391970
400137271,0.2731818182,69851.8783489318,34681.7371677548
400137271,0.2782222222,28127.4719001842,14458.2304032956
400137271,0.2832626263,311147.5584535919,140668.6903841890
400137271,0.2883030303,51253.0339747682,11755.2527905324
400137271,0.2933434343,25805.5626092338,71666.8596261095
400137271,0.2983838384,36731.0479531908,37908.7157842400
400137271,0.3034242424,57370.1805325274,481312.7201050333
400137271,0.3084646465,169736.3111951753,43790.6094915328
400137271,0.3135050505,303096.1421186231,430267.8586653720
400137271,0.3185454545,15638.3553223817,194535.3709608927
400137271,0.3235858586,42332.6141444384,32858.6340306207
400137271,0.3286262626,156347.5040894548,502206.5848943692
400137271,0.3336666667,152101.2540430317,66921.0354742980
400137271,0.3387070707,322557.5905840792,4114668.5946557382
400137271,0.3437474747,137157.9317331022,584031.4566973432
400137271,0.3487878788,109436.0297858911,24636.0566839627
400137271,0.3538282828,213997.3545257949,77876.1094047217
400137271,0.3588686869,65534.3634607596,756274.9746481022
400137271,0.3639090909,1091616.7172305600,17993.9706404848
400137271,0.3689494949,113879.3961216394,128020.7716012971
400137271,0.3739898990,128460.7188496482,169950.3307619340
400137271,0.3790303030,1130793.6423041776,42798.8830425892
400137271,0.3840707071,967968.4414923625,16248.0491884017
400137271,0.3891111111,567868.6300778085,52459.3244221012
400137271,0.3941515152,84440.9337590892,385454.9813898224
400137271,0.3991919192,131254.0737877556,120492.0218301646
400137271,0.4042323232,880693.7858931763,143422.0912338280
400137271,0.4092727273,164162.1557067130,251756.7657500932
400137271,0.4143131313,478138.8548003973,29071.6717863774
400137271,0.4193535354,3631.7880363055,47684.0113092129
400137271,0.4243939394,69266.6985990024,296005.2358505134
400137271,0.4294343434,19359.5332192830,60907.3044566357
400137271,0.4344747475,104799.2692266498,134730.9273011445
400137271,0.4395151515,3473.8394425667,281722.8145930964
400137271,0.4445555556,44001.8453252670,305065.3868595783
400137271,0.4495959596,643103.2781916021,157410.4922175127
400137271,0.4546363636,95328.7470751186,102924.6680586178
400137271,0.4596767677,24148.4593110782,311956.5058029687
400137271,0.4647171717,3972475.8085633977,364754.9879203765
400137271,0.4697575758,276690.0354542043,164239.1953663644
400137271,0.4747979798,181970.5729972907,72646.5007546801
400137271,0.4798383838,368256.0143014067,185708.0652095917
400137271,0.4848787879,231759.3085918845,99717.1875280909
400137271,0.4899191919,407311.7371494666,284931.2672507134
400137271,0.4949595960,981472.7319825813,23191.4386533548
400137271,0.5000000000,180643.2328151535,129288.1383122735

