Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,0.0007997878,0.0008998849
400137271,0.0060404040,0.0048347499,0.0054381081
400137271,0.0110808081,0.0088603206,0.0099745431
400137271,0.0161212121,0.0128950228,0.0145149392
400137271,0.0211616162,0.0169316478,0.0190488638
400137271,0.0262020202,0.0209681564,0.0235876383
400137271,0.0312424242,0.0250074042,0.0281261818
400137271,0.0362828283,0.0290409849,0.0326589394
400137271,0.0413232323,0.0330702320,0.0372082747
400137271,0.0463636364,0.0370916006,0.0417676602
400137271,0.0514040404,0.0411263164,0.0463247948
400137271,0.0564444444,0.0451458010,0.0508455770
400137271,0.0614848485,0.0491771860,0.0553835195
400137271,0.0665252525,0.0532205798,0.0599175413
400137271,0.0715656566,0.0572370539,0.0643948985
400137271,0.0766060606,0.0612593994,0.0689524051
400137271,0.0816464646,0.0652901822,0.0734610559
400137271,0.0866868687,0.0693419299,0.0780331844
400137271,0.0917272727,0.0733372080,0.0825318737
400137271,0.0967676768,0.0773831568,0.0870607770
400137271,0.1018080808,0.0814276185,0.0916202603
400137271,0.1068484848,0.0854530611,0.0961810699
400137271,0.1118888889,0.0895185909,0.1006860855
400137271,0.1169292929,0.0935788123,0.1052551545
400137271,0.1219696970,0.0976071898,0.1098264405
400137271,0.1270101010,0.1016455814,0.1143799281
400137271,0.1320505051,0.1056489213,0.1188425189
400137271,0.1370909091,0.1097128267,0.1234612209
400137271,0.1421313131,0.1137501587,0.1280075639
400137271,0.1471717172,0.1178241249,0.1324889984
400137271,0.1522121212,0.1218393562,0.1370863468
400137271,0.1572525253,0.1257798938,0.1416861573
400137271,0.1622929293,0.1297707293,0.1460704332
400137271,0.1673333333,0.1338764289,0.1507157450
400137271,0.1723737374,0.1379449991,0.1549003698
400137271,0.1774141414,0.1420620303,0.1566806191
400137271,0.1824545455,0.1461496722,0.1643715931
400137271,0.1874949495,0.1501098140,0.1683086347
400137271,0.1925353535,0.1541432784,0.1708297236
400137271,0.1975757576,0.1581014456,0.1759870906
400137271,0.2026161616,0.1620842100,0.1807546617
400137271,0.2076565657,0.1661855033,0.1826758600
400137271,0.2126969697,0.1700916457,0.1915383366
400137271,0.2177373737,0.1740277541,0.1933197605
400137271,0.2227777778,0.1781489379,0.1876334963
400137271,0.2278181818,0.1823311425,0.2047155255
400137271,0.2328585859,0.1713295216,0.1839503784
400137271,0.2378989899,0.1902927316,0.2137009836
400137271,0.2429393939,0.1886630700,0.1943902316
400137271,0.2479797980,0.1983083049,0.2103231954
400137271,0.2530202020,0.1964455877,0.2108112416
400137271,0.2580606061,0.2063237649,0.2160732993
400137271,0.2631010101,0.1935333645,0.2332304312
400137271,0.2681414141,0.2143194847,0.2398777456
400137271,0.2731818182,0.1981084252,0.2330700827
400137271,0.2782222222,0.2196683842,0.2338773547
400137271,0.2832626263,0.2267527517,0.2357040418
400137271,0.2883030303,0.2173486408,0.2425622405
400137271,0.2933434343,0.2321932340,0.2424070255
400137271,0.2983838384,0.2027838381,0.2379368233
400137271,0.3034242424,0.2400303923,0.2354306549
400137271,0.3084646465,0.2446770252,0.2417384117
400137271,0.3135050505,0.2287799215,0.2657192593
400137271,0.3185454545,0.2187796504,0.2604558120
400137271,0.3235858586,0.2397326315,0.2625494549
400137271,0.3286262626,0.2231120863,0.2826348307
400137271,0.3336666667,0.2433733321,0.2817397337
400137271,0.3387070707,0.2472316119,0.2374413749
400137271,0.3437474747,0.2338337593,0.2877193192
400137271,0.3487878788,0.2183209052,0.2684207720
400137271,0.3538282828,0.2389103286,0.2635131147
400137271,0.3588686869,0.2615956978,0.2736652193
400137271,0.3639090909,0.2482110286,0.2757931996
400137271,0.3689494949,0.2642643233,0.2957755865
400137271,0.3739898990,0.2182881820,0.2658252015
400137271,0.3790303030,0.2113859595,0.2615014904
400137271,0.3840707071,0.2942247843,0.3018588130
400137271,0.3891111111,0.2315998416,0.2807077498
400137271,0.3941515152,0.2193411984,0.3258127290
400137271,0.3991919192,0.2848785365,0.2779013058
400137271,0.4042323232,0.2269706675,0.3262859900
400137271,0.4092727273,0.2641115665,0.2851382862
400137271,0.4143131313,0.2844039337,0.3079612884
400137271,0.4193535354,0.2086628926,0.3260361554
400137271,0.4243939394,0.2711434025,0.3146395739
400137271,0.4294343434,0.2589687195,0.2653725331
400137271,0.4344747475,0.2039544624,0.3550641954
400137271,0.4395151515,0.2278626132,0.3505875238
400137271,0.4445555556,0.2942353641,0.3311216745
400137271,0.4495959596,0.2370133673,0.3230030225
400137271,0.4546363636,0.2577963716,0.3262661073
400137271,0.4596767677,0.2539819451,0.3026957424
400137271,0.4647171717,0.2208482600,0.3299317024
400137271,0.4697575758,0.2897777488,0.3209776074
400137271,0.4747979798,0.3183322044,0.3445061805
400137271,0.4798383838,0.2729358749,0.3732946452
400137271,0.4848787879,0.2870920352,0.3203261203
400137271,0.4899191919,0.2998737702,0.3475311314
400137271,0.4949595960,0.2753522200,0.3404200566
400137271,0.5000000000,0.2896476093,0.3558501194

