Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,0.0010009190,0.0010011638,0.0010016061,0.0010014982,0.0010019759,0.0010018350
400137271,0.0110909091,0.0114216952,0.0113659017,0.0113381809,0.0114045789,0.0113638689,0.0113411107
400137271,0.0211818182,0.0224141951,0.0221708548,0.0221031382,0.0223059353,0.0221660650,0.0220977985
400137271,0.0312727273,0.0340677149,0.0334557687,0.0332941240,0.0337912096,0.0334634940,0.0332753014
400137271,0.0413636364,0.0464788506,0.0453397758,0.0450202917,0.0460485842,0.0453234007,0.0450578686
400137271,0.0514545455,0.0599799220,0.0579117356,0.0573209655,0.0591695838,0.0578038395,0.0573160212
400137271,0.0615454545,0.0747709283,0.0712699193,0.0701965296,0.0734370571,0.0711051420,0.0703569624
400137271,0.0716363636,0.0908964590,0.0851648743,0.0837762122,0.0887998962,0.0850161750,0.0837385975
400137271,0.0817272727,0.1085908932,0.1000682640,0.0979966346,1.0393174548,0.0999816121,0.0979245367
400137271,0.0918181818,0.1304358487,0.1163200428,0.1130367508,1.1836921766,0.1160277125,0.1130056809
400137271,0.1019090909,0.1554377667,0.1331922716,0.1289351499,1.6022878188,0.1328938660,0.1288932546
400137271,0.1120000000,1.2883127179,0.1516185957,0.1458324980,1.6648799533,0.1515288967,0.1454549153
400137271,0.1220909091,1.3190349678,0.1721842378,0.1637655506,1.7018461182,0.1718926708,0.1629883505
400137271,0.1321818182,1.3204045337,0.1943517854,0.1830440912,1.6908699459,0.1936856945,0.1822337688
400137271,0.1422727273,1.3203425816,0.2180460446,0.2031147447,1.7074875525,0.2190230723,0.2020304804
400137271,0.1523636364,1.3208901594,0.2459429212,0.2251417207,1.7077429791,0.2453257143,0.2225129246
400137271,0.1624545455,1.3209691311,0.2777333008,0.2484169699,1.7078805985,0.2789457425,0.2450106091
400137271,0.1725454545,1.3199660254,0.3129252561,0.2739020530,1.7076277280,0.3140377965,0.2689907397
400137271,0.1826363636,1.3208324075,0.3601003657,0.3010788465,1.7066314874,0.3666801912,0.2931005812
400137271,0.1927272727,1.3209343644,0.4148819692,0.3311043349,1.7073021043,1.0341593099,0.3207170642
400137271,0.2028181818,1.3206903450,0.5295207380,0.3649764898,1.7071502812,1.0660185335,0.3479639025
400137271,0.2129090909,1.3206182630,0.9998822706,0.4000513658,1.7075203974,1.0695212608,0.3780422546
400137271,0.2230000000,1.3207962703,0.9996717597,0.4391477040,1.7079275586,1.0700420022,0.4091014452
400137271,0.2330909091,1.3209685705,0.9993585523,0.4868741420,1.7072332801,1.0702706658,0.4423378783
400137271,0.2431818182,1.3208847173,0.9999805755,0.5385723703,1.7077690300,1.0705777428,0.4801276026
400137271,0.2532727273,1.3206760276,1.0000369006,0.6047681392,1.7074988845,1.0699723885,0.5170349217
400137271,0.2633636364,1.3205293481,0.9999671932,0.6976101358,1.7081476166,1.0699455788,0.5540558882
400137271,0.2734545455,1.3211227712,1.0001376393,0.8593596358,1.7080005378,1.0699253632,0.5985926720
400137271,0.2835454545,1.3209044323,0.9998748243,0.8601446544,1.7076352376,1.0699586350,0.6415455920
400137271,0.2936363636,1.3211511551,0.9996474228,0.8601252866,1.7077088545,1.0702442400,0.6864472249
400137271,0.3037272727,1.3206268697,0.9998537057,0.8605054609,1.7078736386,1.0700816125,0.7356544389
400137271,0.3138181818,1.3208141929,0.9998223721,0.8605013964,1.7076361869,1.0703478208,0.7715783195
400137271,0.3239090909,1.3211067973,0.9998085917,0.8606611277,1.7076069303,1.0703205481,0.7720957178
400137271,0.3340000000,1.3208532073,1.0001462903,0.8601416991,1.7077384033,1.0700449389,0.7722707579
400137271,0.3440909091,1.3207960892,1.0000592623,0.8605710432,1.7076152542,1.0701521125,0.7720495341
400137271,0.3541818182,1.3207718212,0.9997990193,0.8604601614,1.7078251691,1.0701416060,0.7724128349
400137271,0.3642727273,1.3211447950,0.9997576900,0.8599714080,1.7074979006,1.0703369802,0.7724497415
400137271,0.3743636364,1.3210451231,0.9997381349,0.8600529080,1.7076313399,1.0698138854,0.7724109822
400137271,0.3844545455,1.3208495750,1.0002324070,0.8607957352,1.7081450885,1.0703348157,0.7723268475
400137271,0.3945454545,1.3207462081,1.0000848003,0.8602354902,1.7078077837,1.0703411880,0.7712283216
400137271,0.4046363636,1.3208658999,0.9995524548,0.8607959340,1.7076337561,1.0703439573,0.7724821649
400137271,0.4147272727,1.3210645374,0.9998587623,0.8607491011,1.7078510319,1.0704327144,0.7718655424
400137271,0.4248181818,1.3212252963,0.9999717000,0.8604003326,1.7079448270,1.0701073553,0.7719943387
400137271,0.4349090909,1.3205910711,0.9999317307,0.8601919409,1.7082316825,1.0704866738,0.7717079754
400137271,0.4450000000,1.3212511410,1.0005043232,0.8608955569,1.7080650068,1.0701258570,0.7723096566
400137271,0.4550909091,1.3212347725,0.9998895618,0.8605415326,1.7081439621,1.0702410116,0.7721258883
400137271,0.4651818182,1.3209031376,1.0001139925,0.8601563637,1.7078090313,1.0696584418,0.7716997491
400137271,0.4752727273,1.3209637696,0.9998222085,0.8605734305,1.7082338149,1.0701194653,0.7720190125
400137271,0.4853636364,1.3209700379,0.9995281843,0.8607946833,1.7076158334,1.0702516434,0.7732102837
400137271,0.4954545455,1.3209452698,0.9999818472,0.8605348118,1.7077920788,1.0700381078,0.7722718746
400137271,0.5055454545,1.3207020424,0.9996248185,0.8599212104,1.7080283129,1.0703167520,0.7721724982
400137271,0.5156363636,1.3211646511,0.9996007439,0.8601767353,1.7082200243,1.0700834731,0.7725471760
400137271,0.5257272727,1.3210918905,0.9997230311,0.8602415802,1.7084279598,1.0704933767,0.7722827040
400137271,0.5358181818,1.3208631383,0.9998182622,0.8608333805,1.7081594916,1.0701087892,0.7722350996
400137271,0.5459090909,1.3210330768,0.9995124069,0.8607073984,1.7079451979,1.0705613658,0.7717405355
400137271,0.5560000000,1.3208891513,0.9997564597,0.8605862653,1.7082261726,1.0697994820,0.7720486193
400137271,0.5660909091,1.3211773397,1.0003840649,0.8600800802,1.7079734758,1.0700697708,0.7721452586
400137271,0.5761818182,1.3211125264,1.0002160832,0.8601548023,1.7070623298,1.0701711568,0.7723270036
400137271,0.5862727273,1.3208284471,0.9998533811,0.8604231013,1.7079985720,1.0704195778,0.7730596136
400137271,0.5963636364,1.3209389530,1.0000112727,0.8604485713,1.7075343616,1.0700905932,0.7719167589
400137271,0.6064545455,1.3205969978,0.9999760777,0.8604370909,1.7083003669,1.0702971221,0.7720562456
