Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,1.0095331603,1.0125965904,1.0154414735,1.0138121371,1.0220885966,1.0399328236
400137271,0.0077046980,1.0794434879,1.0981670784,1.1198492086,1.1094828835,1.1761894379,1.3206957701
400137271,0.0144093960,1.1555338752,1.1878309692,1.2345853348,1.2114621938,1.3416103798,1.6117683893
400137271,0.0211140940,1.2367994678,1.2870131286,1.3539541574,1.3232414266,1.5137236636,1.9286566041
400137271,0.0278187919,1.3260383688,1.3930865202,1.4826702226,1.4428223059,1.6993964443,2.2648615448
400137271,0.0345234899,1.4240151748,1.5006063715,1.6130859215,1.5668748174,1.8907458052,2.6160605003
400137271,0.0412281879,1.5309924231,1.6188337529,1.7555532719,1.7055493175,2.0969685182,2.9930247351
400137271,0.0479328859,1.6566901926,1.7483972634,1.9126720280,1.8617297443,2.3227146618,3.3993081747
400137271,0.0546375839,1.7988616550,1.8833319763,2.0784163815,2.0259178146,2.5657199988,3.8300851144
400137271,0.0613422819,1.9516738827,2.0409622312,2.2500101264,2.2098227302,2.8140915116,4.3026650822
400137271,0.0680469799,2.1237625149,2.1894820982,2.4435238973,2.3984857140,3.0864850049,4.7697179348
400137271,0.0747516779,2.3453844944,2.3630325906,2.6457146153,2.6457302609,3.3926954891,5.3254739733
400137271,0.0814563758,2.6656737846,2.5578068730,2.8523029910,2.9456270829,3.7044738671,5.8689191040
400137271,0.0881610738,2.8949542474,2.7683053377,3.0980330398,4000003.7948582638,4.0511184330,6.4776893168
400137271,0.0948657718,3.4659525872,3.0071337159,3.3386183434,4000003.9469282939,4.4341006093,7.1199446025
400137271,0.1015704698,5.0797553631,3.2586639605,3.6130193249,4000002.2281388794,4.8508175428,7.8118217750
400137271,0.1082751678,1280508.1574296907,3.5256914207,3.9094085009,4000004.9711159426,5.2986995983,8.5763869032
400137271,0.1149798658,1804508.3984502628,3.8435412360,4.2183141265,4000000.0599019127,5.7881780650,9.3775200387
400137271,0.1216845638,2344081.2498240797,4.2053105163,4.5699573631,4000001.4007449844,6.3422055406,10.2365726623
400137271,0.1283892617,2773328.4623383572,4.5842969323,4.9634790176,4000004.5352275996,6.9587456639,11.1962645299
400137271,0.1350939597,3156354.8774602222,5.0405981679,5.3963772000,4000006.1184037514,7.7289668285,12.2226644055
400137271,0.1417986577,3511241.5000389167,5.5434907062,5.8320475006,4000004.0880773086,8.5710638068,13.3091204603
400137271,0.1485033557,3798127.7658788082,6.1949512859,6.3505757291,4000002.5079768677,9.4362747937,14.5405454766
400137271,0.1552080537,4000001.6862548674,6.9904378821,6.8974404412,4000002.5412164433,10.6797997141,15.9018000198
400137271,0.1619127517,4000000.4544236008,7.8571322530,7.5837349327,4000004.1941915443,12.0895263923,17.3035243204
400137271,0.1686174497,4000000.3523542122,8.9200972008,8.2549349058,4000006.2625058671,13.8162329943,18.9078935317
400137271,0.1753221477,4000001.1209589234,10.4872629633,9.0262158334,4000001.0134244557,16.2930013439,20.7500734658
400137271,0.1820268456,4000001.7391292690,12.6827256949,9.9620270983,4000004.2973366370,20.2633546213,22.6263868866
400137271,0.1887315436,4000000.3136392059,16.5301086470,11.0323247642,4000006.4346432914,347641.9150616091,24.7351666400
400137271,0.1954362416,4000000.9545804630,22.0390724600,12.1658691150,4000003.9764312869,512940.1144945957,27.2641967770
400137271,0.2021409396,4000001.4997253227,5461.7300721631,13.6398122914,4000000.4508199575,681722.6228462483,29.8877324567
