Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,0.0009989193,0.0009995762,0.0009993690,0.0009995399,0.0009996086,0.0009996076
400137271,0.0077046980,0.0077061381,0.0077074555,0.0077069053,0.0077091434,0.0077159113,0.0077085645
400137271,0.0144093960,0.0144226689,0.0144279763,0.0144167248,0.0144283983,0.0144090061,0.0144155215
400137271,0.0211140940,0.0211348137,0.0211235808,0.0211235690,0.0211240620,0.0211222669,0.0211134633
400137271,0.0278187919,0.0278465919,0.0278408135,0.0278326299,0.0278268266,0.0278235456,0.0278130712
400137271,0.0345234899,0.0345136593,0.0345335451,0.0345532811,0.0345238915,0.0345320746,0.0345307458
400137271,0.0412281879,0.0411997540,0.0412495378,0.0412412359,0.0412539693,0.0412247174,0.0412374682
400137271,0.0479328859,0.0479352935,0.0479350511,0.0479541596,0.0479634167,0.0479173710,0.0479634745
400137271,0.0546375839,0.0546381865,0.0546307078,0.0546680759,0.0546597133,0.0546603716,0.0546572361
400137271,0.0613422819,0.0613695808,0.0614030188,0.0613272573,0.0614311305,0.0614290146,0.0613936131
400137271,0.0680469799,0.0680686120,0.0681156628,0.0680573928,0.0681253914,0.0680585327,0.0680554342
400137271,0.0747516779,0.0747510852,0.0747594216,0.0747734211,0.0748080671,0.0747585909,0.0747837375
400137271,0.0814563758,0.0814252398,0.0814521499,0.0814880492,0.0814959883,0.0814216486,0.0814244031
400137271,0.0881610738,0.0882115049,0.0881755174,0.0882244167,0.0549750137,0.0881735392,0.0881782277
400137271,0.0948657718,0.0949223811,0.0948388537,0.0948598384,0.0521203619,0.0948229252,0.0948660850
400137271,0.1015704698,0.1015097977,0.1015812504,0.1016030414,0.0498086014,0.1015645373,0.1016233418
400137271,0.1082751678,0.0947870154,0.1082689110,0.1083119398,0.0492968875,0.1083231906,0.1082672556
400137271,0.1149798658,0.0948983078,0.1149271092,0.1149489240,0.0493438159,0.1149804334,0.1150303335
400137271,0.1216845638,0.0946214349,0.1216772537,0.1215711235,0.0495766993,0.1217124776,0.1215952495
400137271,0.1283892617,0.0946641597,0.1283981522,0.1283419669,0.0494131177,0.1283483869,0.1284349111
400137271,0.1350939597,0.0945600271,0.1350966598,0.1350171015,0.0492408161,0.1351133341,0.1352015795
400137271,0.1417986577,0.0946019523,0.1417972992,0.1418544127,0.0493344934,0.1418984317,0.1419113389
400137271,0.1485033557,0.0947040004,0.1485289332,0.1485398980,0.0493329016,0.1484823883,0.1486078296
400137271,0.1552080537,0.0945640753,0.1552525906,0.1551215826,0.0493063084,0.1552333519,0.1553513425
400137271,0.1619127517,0.0944717325,0.1620107480,0.1620501618,0.0492090706,0.1618823153,0.1618992236
400137271,0.1686174497,0.0944815390,0.1686665339,0.1686115850,0.0493564054,0.1685698574,0.1686560520
