Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)"
400137271,0.0010000000,0.9957094878,0.9080425327,0.9993474261,0.9994742765,0.9997060864,0.9997740511,0.9998240310,0.9952060923,0.9118488373,0.9949545853,0.9971103741,0.9989560909,0.9991627017,0.9990818438
400137271,0.0724081633,0.7233304448,0.9306091302,0.9992725296,0.9995062439,0.9997780493,0.9997820475,0.9997940424,0.6930323909,0.9506679393,0.9915903225,0.9986717666,0.9988034335,0.9989970070,0.9992855109
400137271,0.1438163265,0.5143990584,0.9978207595,0.9992895052,0.9996061552,0.9996681102,0.9998020392,0.9998070372,0.5052217191,0.9647266978,0.9939508153,0.9987306134,0.9990289439,0.9990588865,0.9992485651
400137271,0.2152244898,0.6453107526,0.9861329978,0.9993254553,0.9996521211,0.9996441267,0.9998210320,0.9997820475,0.6753685655,0.9594562570,0.9925991805,0.9987585431,0.9990489054,0.9990409207,0.9992805180
400137271,0.2866326531,0.7419757181,0.9986747586,0.9993074799,0.9997120829,0.9997030882,0.9998230313,0.9998160338,0.7750586138,0.9754508290,0.9973211953,0.9988114144,0.9989181716,0.9991127878,0.9992974939
400137271,0.3580408163,0.9153041601,0.9987405881,0.9993793854,0.9995711840,0.9997950420,0.9998180331,0.9998210320,0.8411674058,0.9616734657,0.9953219867,0.9988802552,0.9990788493,0.9991607050,0.9991876604
400137271,0.4294489796,0.8942936020,0.9991866621,0.9994083503,0.9996930942,0.9998060376,0.9997340707,0.9997930428,0.9053477078,0.9781816581,0.9983487312,0.9989291480,0.9990798475,0.9992146173,0.9991147843
400137271,0.5008571429,0.9080425327,0.9993474261,0.9994742765,0.9997060864,0.9997740511,0.9998240310,0.9997400676,0.9118488373,0.9949545853,0.9971103741,0.9989560909,0.9991627017,0.9990818438,0.9992345863
400137271,0.5722653061,0.9306091302,0.9992725296,0.9995062439,0.9997780493,0.9997820475,0.9997940424,0.9981733428,0.9506679393,0.9915903225,0.9986717666,0.9988034335,0.9989970070,0.9992855109,0.9978635741
400137271,0.6436734694,0.9978207595,0.9992895052,0.9996061552,0.9996681102,0.9998020392,0.9998070372,0.8589722226,0.9647266978,0.9939508153,0.9987306134,0.9990289439,0.9990588865,0.9992485651,0.8422818764
400137271,0.7150816327,0.9861329978,0.9993254553,0.9996521211,0.9996441267,0.9998210320,0.9997820475,0.7169856775,0.9594562570,0.9925991805,0.9987585431,0.9990489054,0.9990409207,0.9992805180,0.6827979969
400137271,0.7864897959,0.9986747586,0.9993074799,0.9997120829,0.9997030882,0.9998230313,0.9998160338,0.5775632836,0.9754508290,0.9973211953,0.9988114144,0.9989181716,0.9991127878,0.9992974939,0.5248379563
400137271,0.8578979592,0.9987405881,0.9993793854,0.9995711840,0.9997950420,0.9998180331,0.9998210320,0.6545547849,0.9616734657,0.9953219867,0.9988802552,0.9990788493,0.9991607050,0.9991876604,0.6335019927
400137271,0.9293061224,0.9991866621,0.9994083503,0.9996930942,0.9998060376,0.9997340707,0.9997930428,0.8271319118,0.9781816581,0.9983487312,0.9989291480,0.9990798475,0.9992146173,0.9991147843,0.6536943208
400137271,1.0007142857,0.9993474261,0.9994742765,0.9997060864,0.9997740511,0.9998240310,0.9997400676,0.7731351015,0.9949545853,0.9971103741,0.9989560909,0.9991627017,0.9990818438,0.9992345863,0.8000531235
400137271,1.0721224490,0.9992725296,0.9995062439,0.9997780493,0.9997820475,0.9997940424,0.9981733428,0.9188989018,0.9915903225,0.9986717666,0.9988034335,0.9989970070,0.9992855109,0.9978635741,0.8081937919
400137271,1.1435306122,0.9992895052,0.9996061552,0.9996681102,0.9998020392,0.9998070372,0.8589722226,0.9032885122,0.9939508153,0.9987306134,0.9990289439,0.9990588865,0.9992485651,0.8422818764,0.9240239766
400137271,1.2149387755,0.9993254553,0.9996521211,0.9996441267,0.9998210320,0.9997820475,0.7169856775,0.9122556067,0.9925991805,0.9987585431,0.9990489054,0.9990409207,0.9992805180,0.6827979969,0.8118135102
400137271,1.2863469388,0.9993074799,0.9997120829,0.9997030882,0.9998230313,0.9998160338,0.5775632836,0.9229673030,0.9973211953,0.9988114144,0.9989181716,0.9991127878,0.9992974939,0.5248379563,0.9165297982
400137271,1.3577551020,0.9993793854,0.9995711840,0.9997950420,0.9998180331,0.9998210320,0.6545547849,0.9890003382,0.9953219867,0.9988802552,0.9990788493,0.9991607050,0.9991876604,0.6335019927,0.9686712349
400137271,1.4291632653,0.9994083503,0.9996930942,0.9998060376,0.9997340707,0.9997930428,0.8271319118,0.9369928526,0.9983487312,0.9989291480,0.9990798475,0.9992146173,0.9991147843,0.6536943208,0.9656396445
400137271,1.5005714286,0.9994742765,0.9997060864,0.9997740511,0.9998240310,0.9997400676,0.7731351015,0.9732549539,0.9971103741,0.9989560909,0.9991627017,0.9990818438,0.9992345863,0.8000531235,0.9272979835
400137271,1.5719795918,0.9995062439,0.9997780493,0.9997820475,0.9997940424,0.9981733428,0.9188989018,0.9975818616,0.9986717666,0.9988034335,0.9989970070,0.9992855109,0.9978635741,0.8081937919,0.9571942721
400137271,1.6433877551,0.9996061552,0.9996681102,0.9998020392,0.9998070372,0.8589722226,0.9032885122,0.9913416223,0.9987306134,0.9990289439,0.9990588865,0.9992485651,0.8422818764,0.9240239766,0.9826348765
400137271,1.7147959184,0.9996521211,0.9996441267,0.9998210320,0.9997820475,0.7169856775,0.9122556067,0.9982321309,0.9987585431,0.9990489054,0.9990409207,0.9992805180,0.6827979969,0.8118135102,0.9658112476
