Seed,arrival rate,"(3,5,1.00,0.50)","(3,5,1.00,0.75)","(3,5,1.00,1.00)","(3,5,1.00,1.25)","(3,5,1.00,1.50)","(3,5,1.00,2.00)","(3,5,1.00,3.00)","(5,5,1.00,0.50)","(5,5,1.00,0.75)","(5,5,1.00,1.00)","(5,5,1.00,1.25)","(5,5,1.00,1.50)","(5,5,1.00,2.00)","(5,5,1.00,3.00)","(7,5,1.00,0.50)","(7,5,1.00,0.75)","(7,5,1.00,1.00)","(7,5,1.00,1.25)","(7,5,1.00,1.50)","(7,5,1.00,2.00)","(7,5,1.00,3.00)","(5,10,1.00,0.50)","(5,10,1.00,0.75)","(5,10,1.00,1.00)","(5,10,1.00,1.25)","(5,10,1.00,1.50)","(5,10,1.00,2.00)","(5,10,1.00,3.00)","(10,10,1.00,0.50)","(10,10,1.00,0.75)","(10,10,1.00,1.00)","(10,10,1.00,1.25)","(10,10,1.00,1.50)","(10,10,1.00,2.00)","(10,10,1.00,3.00)","(20,10,1.00,0.50)","(20,10,1.00,0.75)","(20,10,1.00,1.00)","(20,10,1.00,1.25)","(20,10,1.00,1.50)","(20,10,1.00,2.00)","(20,10,1.00,3.00)"
400137271,0.0010000000,0.9977411141,0.1522470214,0.1524687279,0.1523108372,0.1523434382,0.1522138129,0.1522906339,0.9979561857,0.2229870679,0.2228255844,0.2231490843,0.2231902230,0.2230641655,0.2228549321,0.9982291415,0.2839588521,0.2842446596,0.2842051563,0.2839396628,0.2841852877,0.2839757860,0.9976853699,0.0652743645,0.0652941675,0.0652675523,0.0652113387,0.0653392651,0.0651976237,0.9979263091,0.1634984482,0.1636001723,0.1637501134,0.1636846060,0.1638472649,0.1637688586,0.9980239127,0.3127941242,0.3130029566,0.3131901929,0.3133209989,0.3132458187,0.3133773587
400137271,0.0724081633,0.7902970490,0.1521401479,0.1523247576,0.1522918631,0.1524551530,0.1522489685,0.1522890568,0.8302882512,0.2231039787,0.2230421748,0.2229627061,0.2229363617,0.2229750355,0.2226880857,0.8435465735,0.2838444805,0.2839062087,0.2840734773,0.2841223078,0.2837963092,0.2835376080,0.8055006025,0.0652134161,0.0652508639,0.0652891580,0.0653239281,0.0652616096,0.0652139134,0.8325479631,0.1637555837,0.1636334748,0.1638299242,0.1639175777,0.1638384599,0.1635910727,0.8453607027,0.3132800674,0.3128900370,0.3130052100,0.3134587921,0.3131107617,0.3130461677
400137271,0.1438163265,0.1541394694,0.1523712238,0.1524449270,0.1521581349,0.1523550201,0.1522562704,0.1523878490,0.5720532536,0.2226832756,0.2227443846,0.2227297987,0.2229545039,0.2229555478,0.2230917844,0.6245023497,0.2840322467,0.2839584489,0.2839362767,0.2839648997,0.2841370814,0.2839725603,0.0654800374,0.0652398349,0.0652332001,0.0652699114,0.0653044895,0.0652319703,0.0652778559,0.5862929401,0.1638058789,0.1635223499,0.1636559428,0.1636795423,0.1636391247,0.1637450993,0.6440767482,0.3133497654,0.3134268620,0.3131807767,0.3130485197,0.3131487071,0.3128879811
400137271,0.2152244898,0.1520994901,0.1523268691,0.1522243324,0.1523367080,0.1523694826,0.1523919827,0.1522458625,0.2230950693,0.2229986540,0.2228273222,0.2231422128,0.2228654118,0.2227503881,0.2231053227,0.2836988083,0.2841179487,0.2840316014,0.2839558687,0.2839580458,0.2841102802,0.2839202343,0.0654172495,0.0652193011,0.0652348232,0.0652439883,0.0652764454,0.0652605347,0.0653496774,0.1637448312,0.1638039738,0.1636558893,0.1636652907,0.1637755103,0.1635914474,0.1637412116,0.3130431298,0.3131185069,0.3130557718,0.3131875445,0.3131973535,0.3132537669,0.3132582808
400137271,0.2866326531,0.1523580609,0.1522794791,0.1522645469,0.1524103313,0.1523385413,0.1521813600,0.1523907751,0.2230633196,0.2228366572,0.2229084831,0.2228774820,0.2231332007,0.2229832392,0.2228928821,0.2838724402,0.2839492571,0.2838963756,0.2840669409,0.2837899466,0.2838710703,0.2839714313,0.0652978283,0.0652572242,0.0652386424,0.0652985878,0.0652059391,0.0652330484,0.0653030509,0.1636345726,0.1638367419,0.1635591518,0.1635903501,0.1636582998,0.1637473248,0.1637635752,0.3129308667,0.3131368421,0.3133023477,0.3131253701,0.3130419539,0.3132314934,0.3131890158
400137271,0.3580408163,0.1523001434,0.1524178346,0.1521991947,0.1521620477,0.1522837692,0.1522105230,0.1523424402,0.2228319896,0.2230731223,0.2229069428,0.2228617364,0.2228772833,0.2230612796,0.2229772728,0.2837565278,0.2841137512,0.2838245816,0.2842041871,0.2839032265,0.2839343419,0.2842200193,0.0652804366,0.0651788714,0.0652796604,0.0652906139,0.0652191253,0.0652870376,0.0652620604,0.1638918144,0.1636555143,0.1637683490,0.1635672044,0.1638349703,0.1636467299,0.1637729622,0.3133767694,0.3127854167,0.3132054954,0.3132270784,0.3128997294,0.3132259010,0.3131857790
400137271,0.4294489796,0.1522744009,0.1522820068,0.1522911441,0.1521976426,0.1523313939,0.1523450860,0.1522279473,0.2228356144,0.2230346134,0.2230246650,0.2228732598,0.2229536589,0.2229409343,0.2228333303,0.2839113674,0.2842301980,0.2839577232,0.2840905863,0.2840525781,0.2839657867,0.2842557290,0.0652519521,0.0652812239,0.0652316077,0.0652949919,0.0651904757,0.0652296133,0.0652385230,0.1636748272,0.1638086158,0.1635924911,0.1638269719,0.1637618052,0.1637335976,0.1636004400,0.3127377784,0.3131467459,0.3132474868,0.3133574243,0.3128831841,0.3134745139,0.3134632137
400137271,0.5008571429,0.1522470214,0.1524687279,0.1523108372,0.1523434382,0.1522138129,0.1522906339,0.1522690912,0.2229870679,0.2228255844,0.2231490843,0.2231902230,0.2230641655,0.2228549321,0.2228216620,0.2839588521,0.2842446596,0.2842051563,0.2839396628,0.2841852877,0.2839757860,0.2837558837,0.0652743645,0.0652941675,0.0652675523,0.0652113387,0.0653392651,0.0651976237,0.0653149618,0.1634984482,0.1636001723,0.1637501134,0.1636846060,0.1638472649,0.1637688586,0.1637360908,0.3127941242,0.3130029566,0.3131901929,0.3133209989,0.3132458187,0.3133773587,0.3133801084
400137271,0.5722653061,0.1521401479,0.1523247576,0.1522918631,0.1524551530,0.1522489685,0.1522890568,0.9986318743,0.2231039787,0.2230421748,0.2229627061,0.2229363617,0.2229750355,0.2226880857,0.9988213908,0.2838444805,0.2839062087,0.2840734773,0.2841223078,0.2837963092,0.2835376080,0.9988652890,0.0652134161,0.0652508639,0.0652891580,0.0653239281,0.0652616096,0.0652139134,0.9986338689,0.1637555837,0.1636334748,0.1638299242,0.1639175777,0.1638384599,0.1635910727,0.9987455756,0.3132800674,0.3128900370,0.3130052100,0.3134587921,0.3131107617,0.3130461677,0.9987755012
400137271,0.6436734694,0.1523712238,0.1524449270,0.1521581349,0.1523550201,0.1522562704,0.1523878490,0.8892849171,0.2226832756,0.2227443846,0.2227297987,0.2229545039,0.2229555478,0.2230917844,0.9022990580,0.2840322467,0.2839584489,0.2839362767,0.2839648997,0.2841370814,0.2839725603,0.9070031527,0.0652398349,0.0652332001,0.0652699114,0.0653044895,0.0652319703,0.0652778559,0.8899441649,0.1638058789,0.1635223499,0.1636559428,0.1636795423,0.1636391247,0.1637450993,0.8984015639,0.3133497654,0.3134268620,0.3131807767,0.3130485197,0.3131487071,0.3128879811,0.9034264254
400137271,0.7150816327,0.1523268691,0.1522243324,0.1523367080,0.1523694826,0.1523919827,0.1522458625,0.7550224091,0.2229986540,0.2228273222,0.2231422128,0.2228654118,0.2227503881,0.2231053227,0.7856626003,0.2841179487,0.2840316014,0.2839558687,0.2839580458,0.2841102802,0.2839202343,0.7976905264,0.0652193011,0.0652348232,0.0652439883,0.0652764454,0.0652605347,0.0653496774,0.7521896240,0.1638039738,0.1636558893,0.1636652907,0.1637755103,0.1635914474,0.1637412116,0.7799934793,0.3131185069,0.3130557718,0.3131875445,0.3131973535,0.3132537669,0.3132582808,0.7928943976
400137271,0.7864897959,0.1522794791,0.1522645469,0.1524103313,0.1523385413,0.1521813600,0.1523907751,0.5595876958,0.2228366572,0.2229084831,0.2228774820,0.2231332007,0.2229832392,0.2228928821,0.6375066859,0.2839492571,0.2838963756,0.2840669409,0.2837899466,0.2838710703,0.2839714313,0.6659372434,0.0652572242,0.0652386424,0.0652985878,0.0652059391,0.0652330484,0.0653030509,0.1199957570,0.1638367419,0.1635591518,0.1635903501,0.1636582998,0.1637473248,0.1637635752,0.6289260710,0.3131368421,0.3133023477,0.3131253701,0.3130419539,0.3132314934,0.3131890158,0.6630037917
400137271,0.8578979592,0.1524178346,0.1521991947,0.1521620477,0.1522837692,0.1522105230,0.1523424402,0.2079396343,0.2230731223,0.2229069428,0.2228617364,0.2228772833,0.2230612796,0.2229772728,0.2988277882,0.2841137512,0.2838245816,0.2842041871,0.2839032265,0.2839343419,0.2842200193,0.4754413165,0.0651788714,0.0652796604,0.0652906139,0.0652191253,0.0652870376,0.0652620604,0.1167557318,0.1636555143,0.1637683490,0.1635672044,0.1638349703,0.1636467299,0.1637729622,0.2455724515,0.3127854167,0.3132054954,0.3132270784,0.3128997294,0.3132259010,0.3131857790,0.5004351283
400137271,0.9293061224,0.1522820068,0.1522911441,0.1521976426,0.1523313939,0.1523450860,0.1522279473,0.2078616174,0.2230346134,0.2230246650,0.2228732598,0.2229536589,0.2229409343,0.2228333303,0.2986025698,0.2842301980,0.2839577232,0.2840905863,0.2840525781,0.2839657867,0.2842557290,0.3721340099,0.0652812239,0.0652316077,0.0652949919,0.0651904757,0.0652296133,0.0652385230,0.1167187602,0.1638086158,0.1635924911,0.1638269719,0.1637618052,0.1637335976,0.1636004400,0.2454173826,0.3131467459,0.3132474868,0.3133574243,0.3128831841,0.3134745139,0.3134632137,0.4182128344
400137271,1.0007142857,0.1524687279,0.1523108372,0.1523434382,0.1522138129,0.1522906339,0.1522690912,0.2077867244,0.2228255844,0.2231490843,0.2231902230,0.2230641655,0.2228549321,0.2228216620,0.2984452792,0.2842446596,0.2842051563,0.2839396628,0.2841852877,0.2839757860,0.2837558837,0.3722652002,0.0652941675,0.0652675523,0.0652113387,0.0653392651,0.0651976237,0.0653149618,0.1167140059,0.1636001723,0.1637501134,0.1636846060,0.1638472649,0.1637688586,0.1637360908,0.2453122064,0.3130029566,0.3131901929,0.3133209989,0.3132458187,0.3133773587,0.3133801084,0.4179125685
