Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)"
400137271,0.0010000000,0.0010001581,0.2929162951,0.6313853550,0.0938006795,0.4000358415,0.7594370869,0.1910476380,0.5128307428,0.8918044496,0.0010001132,0.2953283979,0.6450092394,0.0941115509,0.4048736336,0.7780546948,0.1921260482,0.5213231886,0.9216401012
400137271,0.0312929293,0.0314928960,0.3281791230,0.6736551233,0.1256967571,0.4369290610,0.8033622696,0.2242603028,0.5510814534,0.9410945498,0.0315294131,0.3310902852,0.6887494399,0.1263273123,0.4431665719,0.8268923157,0.2257072782,0.5619381899,0.9710906273
400137271,0.0615858586,0.0623701670,0.3637925984,0.7156977151,0.1580952032,0.4745247580,0.8477184293,0.2581726916,0.5904417326,0.9871559272,0.0625035753,0.3676572987,0.7328836033,0.1588349232,0.4807310829,0.8726928803,0.2603129033,0.6032557738,1.0230344504
400137271,0.0918787879,0.0938006795,0.4000358415,0.7594370869,0.1910476380,0.5128307428,0.8918044496,0.2929162951,0.6313853550,1.0369108326,0.0941115509,0.4048736336,0.7780546948,0.1921260482,0.5213231886,0.9216401012,0.2953283979,0.6450092394,1.0769176567
400137271,0.1221717172,0.1256967571,0.4369290610,0.8033622696,0.2242603028,0.5510814534,0.9410945498,0.3281791230,0.6736551233,1.0890194004,0.1263273123,0.4431665719,0.8268923157,0.2257072782,0.5619381899,0.9710906273,0.3310902852,0.6887494399,1.1369350417
400137271,0.1524646465,0.1580952032,0.4745247580,0.8477184293,0.2581726916,0.5904417326,0.9871559272,0.3637925984,0.7156977151,1.1385061242,0.1588349232,0.4807310829,0.8726928803,0.2603129033,0.6032557738,1.0230344504,0.3676572987,0.7328836033,1.1876508338
400137271,0.1827575758,0.1910476380,0.5128307428,0.8918044496,0.2929162951,0.6313853550,1.0369108326,0.4000358415,0.7594370869,1.1929568992,0.1921260482,0.5213231886,0.9216401012,0.2953283979,0.6450092394,1.0769176567,0.4048736336,0.7780546948,1.2490493638
400137271,0.2130505051,0.2242603028,0.5510814534,0.9410945498,0.3281791230,0.6736551233,1.0890194004,0.4369290610,0.8033622696,1.2440422340,0.2257072782,0.5619381899,0.9710906273,0.3310902852,0.6887494399,1.1369350417,0.4431665719,0.8268923157,1.3102469170
400137271,0.2433434343,0.2581726916,0.5904417326,0.9871559272,0.3637925984,0.7156977151,1.1385061242,0.4745247580,0.8477184293,1.3006819083,0.2603129033,0.6032557738,1.0230344504,0.3676572987,0.7328836033,1.1876508338,0.4807310829,0.8726928803,1.3689812552
400137271,0.2736363636,0.2929162951,0.6313853550,1.0369108326,0.4000358415,0.7594370869,1.1929568992,0.5128307428,0.8918044496,1.3644326581,0.2953283979,0.6450092394,1.0769176567,0.4048736336,0.7780546948,1.2490493638,0.5213231886,0.9216401012,1.4408740800
