Seed,arrival rate,"(3,5,1.00,0.50)","(3,5,1.00,0.75)","(3,5,1.00,1.00)","(3,5,1.00,1.25)","(3,5,1.00,1.50)","(3,5,1.00,2.00)","(3,5,1.00,3.00)","(5,5,1.00,0.50)","(5,5,1.00,0.75)","(5,5,1.00,1.00)","(5,5,1.00,1.25)","(5,5,1.00,1.50)","(5,5,1.00,2.00)","(5,5,1.00,3.00)","(7,5,1.00,0.50)","(7,5,1.00,0.75)","(7,5,1.00,1.00)","(7,5,1.00,1.25)","(7,5,1.00,1.50)","(7,5,1.00,2.00)","(7,5,1.00,3.00)","(5,10,1.00,0.50)","(5,10,1.00,0.75)","(5,10,1.00,1.00)","(5,10,1.00,1.25)","(5,10,1.00,1.50)","(5,10,1.00,2.00)","(5,10,1.00,3.00)","(10,10,1.00,0.50)","(10,10,1.00,0.75)","(10,10,1.00,1.00)","(10,10,1.00,1.25)","(10,10,1.00,1.50)","(10,10,1.00,2.00)","(10,10,1.00,3.00)","(20,10,1.00,0.50)","(20,10,1.00,0.75)","(20,10,1.00,1.00)","(20,10,1.00,1.25)","(20,10,1.00,1.50)","(20,10,1.00,2.00)","(20,10,1.00,3.00)"
400137271,0.0010000000,0.0010036231,0.0010028964,0.0010010486,0.0010013413,0.0010008123,0.0010005640,0.0010010640,0.0010020766,0.0010012009,0.0010011853,0.0009997547,0.0010000411,0.0010000623,0.0010009290,0.0010014927,0.0010021886,0.0010004222,0.0010004807,0.0009998446,0.0010000037,0.0010017160,0.0010024828,0.0010014799,0.0010013089,0.0010005561,0.0010008634,0.0010001847,0.0010008569,0.0010023818,0.0010015154,0.0010015195,0.0010006878,0.0010011090,0.0010006855,0.0010014047,0.0010018754,0.0010013173,0.0010014173,0.0010007465,0.0010003641,0.0010011080,0.0010009572
400137271,0.0724081633,0.0915346304,0.0814559499,0.0782297739,0.0766568838,0.0759334543,0.0748698629,0.0740050216,0.0870860464,0.0801935607,0.0777915948,0.0765933942,0.0756951278,0.0749307192,0.0739690059,0.0858021712,0.0798097204,0.0775629503,0.0764433692,0.0756213601,0.0747970065,0.0739385932,0.0898781390,0.0813484665,0.0785758214,0.0771644004,0.0761529350,0.0752089897,0.0741612484,0.0869961699,0.0805970356,0.0781566568,0.0769036807,0.0759701902,0.0750113776,0.0740427811,0.0855900743,0.0800411457,0.0780285211,0.0766872801,0.0759893456,0.0750140229,0.0740744260
400137271,0.1438163265,0.9076932376,0.1902975547,0.1716652794,0.1632284441,0.1588190237,0.1540360302,0.1503552314,0.2515055365,0.1831049870,0.1683740841,0.1618808045,0.1579076691,0.1536597811,0.1500481196,0.2302767845,0.1804903173,0.1674761743,0.1609734103,0.1574742392,0.1534967033,0.1501880095,1.3026851996,0.1913589974,0.1721916772,0.1644180724,0.1598163352,0.1552316703,0.1510373752,0.2452119661,0.1842843800,0.1704247271,0.1630306585,0.1593087325,0.1548486773,0.1509709660,0.2230067141,0.1813235019,0.1690940225,0.1625849069,0.1588547978,0.1544259802,0.1507973235
400137271,0.2152244898,0.9178544334,0.3848461263,0.2918889825,0.2652181965,0.2525999928,0.2394887208,0.2303315301,0.7443811546,0.3377664760,0.2812924631,0.2601870364,0.2502249780,0.2388793175,0.2298185429,0.6423323643,0.3235141440,0.2767001288,0.2589423347,0.2488448651,0.2381022254,0.2297719085,1.3047008470,1.5330803932,0.2942361996,0.2684727195,0.2553506650,0.2425231964,0.2318853500,0.8884277005,0.3420257583,0.2855857757,0.2650155444,0.2530936142,0.2411902566,0.2315379021,0.6067997380,0.3244507212,0.2808550467,0.2620779512,0.2520028726,0.2409845982,0.2312307083
400137271,0.2866326531,0.9180310277,1.1647045440,0.4708553197,0.3909958363,0.3609547371,0.3339703533,0.3136389133,0.7443938350,0.9336090675,0.4324434703,0.3789073840,0.3551269065,0.3312869677,0.3131324219,0.6424998458,0.6034255047,0.4188198674,0.3732962701,0.3517421153,0.3304000470,0.3128020952,1.3045314244,1.5663125513,0.4848740565,0.3993376536,0.3669297654,0.3387834239,0.3171068608,0.8887544678,1.0619331586,0.4450106286,0.3874174972,0.3610500824,0.3363174431,0.3165877307,0.6067636733,0.5729884899,0.4249322639,0.3808351315,0.3579220721,0.3348871654,0.3163107097
400137271,0.3580408163,0.9179953596,1.1648368716,1.3510186682,0.5604529431,0.4899708385,0.4381862381,0.4022353540,0.7443464132,0.9345327663,0.6790263090,0.5294751471,0.4761332365,0.4331483459,0.4015853540,0.6426081605,0.8089175301,0.6187346962,0.5143087035,0.4688598554,0.4303425557,0.4005581328,1.3045186253,1.5666866001,1.7771977250,0.5827302780,0.5039310517,0.4457776961,0.4079940594,0.8888077510,1.0617803732,0.7237625513,0.5467456786,0.4899691285,0.4421548898,0.4066316229,0.6069522889,0.7468288345,0.6160708509,0.5219889119,0.4784734608,0.4375654893,0.4056325265
400137271,0.4294489796,0.9179319153,1.1645578125,1.3752150570,0.8471365380,0.6575522294,0.5541822110,0.4967863970,0.7444095081,0.9347578866,1.1002439090,0.7257285914,0.6213104832,0.5451261445,0.4944725337,0.6425708221,0.8087670887,0.9581774593,0.6852186960,0.6068087034,0.5403470083,0.4933725333,1.3045747094,1.5667033698,1.7775104524,1.9080552587,0.6849381807,0.5697885215,0.5051214969,0.8885779491,1.0620833307,1.2137352368,0.7746556821,0.6460004208,0.5594830668,0.5019836619,0.6067645160,0.7470510483,0.8575670129,0.6882637611,0.6169546469,0.5516653674,0.5005265376
400137271,0.5008571429,0.9179306466,1.1645577049,1.3753482277,1.5574281177,0.8881357632,0.6886596693,0.5971088538,0.7444880844,0.9347856178,1.1015428373,1.0685347024,0.8062726648,0.6718283241,0.5938282912,0.6424970080,0.8089531918,0.9592199698,0.9174911435,0.7686508668,0.6610349108,0.5909725152,1.3045906027,1.5669911702,1.7772592240,1.9583015624,0.9787531132,0.7125987976,0.6083828319,0.8886192848,1.0619506327,1.2138331628,1.3037206950,0.8507001238,0.6928454388,0.6040480437,0.6069636645,0.7471046053,0.8803370047,0.8684211525,0.7673517279,0.6724210767,0.6012732629
400137271,0.5722653061,0.9180404514,1.1646185565,1.3752238799,1.5575321601,1.3394465553,0.8447542764,0.7036313521,0.7445454928,0.9345912393,1.1006114397,1.2549825673,1.0400428685,0.8140260187,0.6974829960,0.6425488057,0.8085855036,0.9597185985,1.1019442587,0.9535811377,0.7951836876,0.6935502561,1.3046387876,1.5669880540,1.7771592096,1.9588346722,2.1218443405,0.8861934653,0.7218793330,0.8885005817,1.0619760210,1.2140617264,1.3561278874,1.1318326354,0.8471110550,0.7148273311,0.6071480782,0.7469144995,0.8799182538,1.0092101421,0.9227615149,0.8032416140,0.7055310736
400137271,0.6436734694,0.9181151696,1.1648993792,1.3750944164,1.5576727546,1.7277579907,1.0405768653,0.8200424722,0.7444374556,0.9347755899,1.1010816841,1.2549430937,1.3966696001,0.9740210100,0.8090523798,0.6426296869,0.8092529470,0.9595521972,1.1012674818,1.1516461491,0.9355963721,0.8011305836,1.3045496102,1.5666209803,1.7771985927,1.9583930213,2.1238852082,1.1134689079,0.8445517888,0.8887559122,1.0621979000,1.2140150786,1.3566711222,1.4936010912,1.0253470746,0.8330242432,0.6069852977,0.7469092306,0.8801664229,1.0098782969,1.0633203946,0.9321819957,0.8141943577
