Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)"
400137271,0.0010000000,4.0647770543,3.0355057839,2.5255351996,2.2202683121,2.0170202021,1.7621107605,1.5102428301,4.0661046728,3.0369025630,2.5262528310,2.2203964137,2.0184437030,1.7626606659,1.5102367158
400137271,0.0724081633,7.1855435599,3.8622041918,2.9741180502,2.5106139903,2.2377791944,1.9169015701,1.6211321626,7.4403215350,3.9294620063,3.0050956971,2.5300522603,2.2534454350,1.9252507539,1.6268929937
400137271,0.1438163265,372.1143533090,6.0769410955,3.7643566552,2.9241200076,2.5378003901,2.1148589145,1.7572065542,59791.1069921305,6.6011980213,3.8446431530,2.9752155895,2.5633617950,2.1281145288,1.7645604169
400137271,0.2152244898,129209.0172258343,40.6442219318,6.1129914352,3.6655563266,2.9858634275,2.3625190903,1.9214189454,123187.5831166990,320.8031530017,6.5184435447,3.8119166886,3.0338583225,2.3828091395,1.9328847964
400137271,0.2866326531,47314.7558964685,6272.7236102235,101.3876540943,5.9608973997,3.8023834685,2.7076179066,2.1114772465,294122.2623648600,48672.4809130869,1049.3950292242,11.6158043919,3.9831846912,3.0900283843,2.1264459054
400137271,0.3580408163,131632.4241959782,68074.1846081257,7020.5592833412,21.5876555309,6.9027129426,3.2055099084,2.3536069962,200874.6044206797,24573.0601669023,34041.3961093661,196.5099741020,10.2619250589,3.2832067951,2.3681771771
400137271,0.4294489796,167109.4253869121,64861.5625849489,22324.3459362756,434.3699307101,22.8578215495,4.1184902051,2.7060759123,265458.6543494677,122579.5456837128,22714.8036546264,7805.0933187716,87.5174036786,4.2921179859,2.6845780872
400137271,0.5008571429,203034.0171446796,113115.0718694145,37807.2378314957,10206.0717292144,290.7725535885,6.1439246873,3.0809432907,335865.3272935291,120182.1113761192,30056.7552633403,25659.3552291126,3544.2457296327,7.6250758986,3.0961261186
400137271,0.5722653061,459817.5761327497,233111.4890808194,148027.1588458445,37382.4318545559,10941.3685168142,13.5572551440,4.2255985273,339920.6343047596,246484.7722829925,80705.5211542319,24754.3472886267,76583.7745274592,417.4506217302,3.6913020953
400137271,0.6436734694,345123.5908819623,245277.7542869709,76039.0661752404,22142.7540296011,73410.6984807861,91.9402942468,4.5443768905,301016.8674175798,184351.0354177623,85994.0674157482,62985.7890301079,38062.9726797370,848.6738141987,4.8583417274
400137271,0.7150816327,76341.1701674282,226598.6103111970,119006.6429587166,75217.8342744993,4162.3471268276,2371.9293384712,6.1821574943,320616.4634374958,196573.3332764015,148318.2865734177,36288.3482883808,16954.7142430467,15633.6249038357,7.1192018093
400137271,0.7864897959,462668.8476042252,246319.0899743830,19038.4497242359,78610.9435706804,25102.3326363783,4468.3224309206,10.3561334006,439375.1627221061,247731.1692704467,173361.1856606066,72600.1027631160,58036.3086530708,11097.8116067726,11.5342240244
400137271,0.8578979592,187451.2987710275,134970.7151440709,117529.9707388943,49473.4958243835,159223.1271053698,41585.6993055323,18.0444522052,414934.9451883750,266204.2831576845,184572.1021039268,114824.9661533168,37619.6554638030,29239.2002111187,34.9756041698
