Seed,arrival rate,"(3,5,1.00,0.50)","(3,5,1.00,0.75)","(3,5,1.00,1.00)","(3,5,1.00,1.25)","(3,5,1.00,1.50)","(3,5,1.00,2.00)","(3,5,1.00,3.00)","(5,5,1.00,0.50)","(5,5,1.00,0.75)","(5,5,1.00,1.00)","(5,5,1.00,1.25)","(5,5,1.00,1.50)","(5,5,1.00,2.00)","(5,5,1.00,3.00)","(7,5,1.00,0.50)","(7,5,1.00,0.75)","(7,5,1.00,1.00)","(7,5,1.00,1.25)","(7,5,1.00,1.50)","(7,5,1.00,2.00)","(7,5,1.00,3.00)","(5,10,1.00,0.50)","(5,10,1.00,0.75)","(5,10,1.00,1.00)","(5,10,1.00,1.25)","(5,10,1.00,1.50)","(5,10,1.00,2.00)","(5,10,1.00,3.00)","(10,10,1.00,0.50)","(10,10,1.00,0.75)","(10,10,1.00,1.00)","(10,10,1.00,1.25)","(10,10,1.00,1.50)","(10,10,1.00,2.00)","(10,10,1.00,3.00)","(20,10,1.00,0.50)","(20,10,1.00,0.75)","(20,10,1.00,1.00)","(20,10,1.00,1.25)","(20,10,1.00,1.50)","(20,10,1.00,2.00)","(20,10,1.00,3.00)"
400137271,0.0010000000,4.0551736253,3.0367550110,2.5269893828,2.2208959772,2.0187488764,1.7631382566,1.5098046202,4.0590412948,3.0371273260,2.5268117733,2.2216670232,2.0196536243,1.7640633491,1.5106481467,4.0593666010,3.0383173489,2.5282771341,2.2226918912,2.0203458222,1.7649267296,1.5111947565,4.0593804273,3.0386729565,2.5280348231,2.2216816041,2.0201080730,1.7634148181,1.5112741570,4.0697086923,3.0444862649,2.5329941038,2.2267457054,2.0229391964,1.7673955229,1.5120080510,4.0879446173,3.0556984802,2.5412179882,2.2338146069,2.0291125461,1.7720949294,1.5149496603
400137271,0.0724081633,6.0093987839,3.7783825262,2.9807640423,2.5466760507,2.2840093953,1.9623863897,1.6579277000,6.0434985939,3.9344726139,3.1133331366,2.6597191697,2.3722566488,2.0309858443,1.7002633276,6.3299269546,4.1334990486,3.2599940912,2.7770334293,2.4636635449,2.1017301211,1.7469158618,6.2068247679,3.9950596118,3.1533772697,2.6915277357,2.3943956869,2.0497883540,1.7095640830,7.0088304503,4.5517710105,3.5553291682,3.0077216054,2.6563104466,2.2360429014,1.8293159074,9.0344863433,5.7628615434,4.4166052579,3.6813562829,3.2193969317,2.6438166690,2.0948125184
400137271,0.1438163265,97003.1216757267,5.2497130908,3.6840748512,3.0060052658,2.6222339849,2.2055530156,1.8292446642,15.4427114318,5.6619448091,4.0083962238,3.2734862124,2.8395182843,2.3639874509,1.9284356971,14.9234669643,6.2734590870,4.4308698713,3.5645157447,3.0849291407,2.5348386447,2.0399499462,2369417.0657541100,5.8228482612,4.0801817116,3.3159841500,2.8736474639,2.3866202289,1.9466650372,18.0857687632,7.2586893389,5.1168231334,4.0749478525,3.4970617030,2.8271910073,2.2278780773,24.7903960323,11.0073066357,7.5617831424,5.8727699572,4.9226498600,3.8357224582,2.8669097228
400137271,0.2152244898,1262709.0980688652,10.7318890603,4.9332884262,3.6742766611,3.0912033136,2.5067927084,2.0363369296,683541.0050045443,10.2609981090,5.5850148513,4.1743607221,3.4989435579,2.7919246713,2.2077773047,417840.8146868815,11.6276945349,6.4320973966,4.7944240718,3.9608581124,3.0978299379,2.3998176819,3535834.1446200479,378171.9462334725,5.6405075023,4.2229532597,3.5119492018,2.8050279626,2.2227731657,1115834.7229018372,13.9763432763,7.6967430536,5.6987206192,4.6437943986,3.5604407228,2.6861060825,306237.2643648807,23.9649890645,13.0715200733,9.3355002470,7.3917289949,5.4595437552,3.8211445052
400137271,0.2866326531,1836155.0624245978,320012.0002891576,7.9606449387,4.7540147596,3.7431351126,2.8910159492,2.2727892341,1269043.4094806090,47226.9278149033,8.8731518227,5.6390540240,4.4243180733,3.3366266088,2.5474168390,999343.0044817142,56.3930532285,10.6352235517,6.7697933017,5.2320407241,3.8668714750,2.8437508426,4121591.0729906969,989588.7132000095,9.4595665376,5.6210872082,4.3814032949,3.3269516553,2.5409589201,1693810.5769225054,169311.0623853303,13.1072317626,8.1808977762,6.2407238975,4.5401526257,3.2533599862,891364.2176646256,104.5633968277,24.7977299970,15.3189526854,11.2339659839,7.6855206963,5.0975790100
400137271,0.3580408163,2181168.6163189164,668355.9507782561,26117.2162215403,6.8785973568,4.7161650401,3.4009803474,2.5855540570,1616864.5149959703,393224.5679387504,22.0374744369,8.3833048248,5.8163426995,4.0769914525,2.9753725646,1346123.4933747295,264439.8940409413,23.2510596581,10.3402079851,7.1245752724,4.8840525248,3.4140353404,4477949.7160337549,1334930.3624184704,321268.5436705141,8.3821328913,5.7302713924,3.9976110018,2.9322097554,2032932.3598312668,518866.7228179008,35.2885544414,12.8404452116,8.7529250096,5.8436347865,3.9611896653,1228227.9425284460,204587.1865583642,59.1739464067,26.2194126106,17.4278565617,10.8124612905,6.6689382949
400137271,0.4294489796,2412164.0225016838,902212.3138430479,264840.1437289494,14.8592004614,6.4823806303,4.0618682007,2.9561452571,1851978.0961096501,624517.1426141964,96520.8741998848,14.7148960383,8.1249461683,5.0542286626,3.4873384009,1576152.6991874776,498241.8739157752,14541.2267688997,18.0074498597,10.4115478766,6.2828472121,4.1239049492,4709313.1757218605,1570444.1879642946,554651.0821861440,64333.0624468652,8.0627896184,4.9048661478,3.3972517905,2269999.1965663666,756834.8531072767,151615.0221986157,24.9349316957,12.8962323476,7.5961210006,4.7960529755,1471574.3520194490,436440.0413545787,848.4778952431,50.9255038478,27.8242375427,15.4361100032,8.7776037991
400137271,0.5008571429,2581721.4829169987,1067702.0434031007,429527.4179987247,78134.4253419943,10.4735109185,4.9970341262,3.4223842936,2013179.6600920220,795271.7935143544,257347.4750191857,66.3358038163,12.7979496814,6.4912544557,4.1602710599,1740582.5733343847,662054.8964862442,182312.5004362809,50.9901471267,16.4446849554,8.2837325852,5.0687587985,4874423.6915221717,1733903.0190501865,722345.4389472160,238698.9695590663,14.8920422787,6.1509890613,3.9796029668,2441386.9232928720,920454.8332692883,314921.2898080047,637.5530271593,21.6842330432,10.1104167191,5.8934844945,1635219.6879191012,603940.9900223311,147385.7258461526,136.8907886607,47.8334492505,22.0141451051,11.5418737155
400137271,0.5722653061,2704888.9009191194,1193873.8241853814,555272.9120964601,201667.0441868832,43.0246852657,6.3697904501,4.0168479591,2137233.1368591925,922139.8020627564,384983.4269450639,88314.0759223597,25.9453085411,8.5794956932,4.9991265748,1866938.9848942978,789015.9086032129,303550.8060719411,39152.5373020837,31.2305920401,11.3116924011,6.2392513321,4998983.1246478893,1859860.3637162279,844968.2391105440,362706.4969357692,85421.4245373053,8.0261439161,4.7307354085,2564408.2211239277,1042864.0128273275,441366.5810680939,123741.7776577919,51.1133789662,13.9813917396,7.2886326155,1755756.8349105162,728176.0335828679,270290.5720068979,18966.3995957835,93.6462354544,31.7220215385,14.9485089594
400137271,0.6436734694,2796533.3672777177,1288655.0015151941,651330.6850102210,299307.4730773655,81725.7462045646,8.7908772785,4.8059964083,2239169.5984370476,1017220.0426239693,480647.5561908481,186131.2103372092,2194.6194930080,11.8476224470,6.1250373626,1960195.8033848861,880993.0661720486,400692.0340889736,137144.9794533546,104.2569213478,15.9254633442,7.7763871364,5000000.7827742156,1954282.0937254948,940852.9097691616,459783.4402254657,183542.7905914228,11.3575723595,5.7137230112,2656347.5596996336,1140481.1210967845,538486.8633203516,217716.7445524118,24085.2034963029,20.2589600978,9.1210687331,1849977.4135605905,823685.2131756212,370127.9652142293,115324.9186159136,282.0248931973,46.6648777296,19.5138489128
