Seed,arrival rate,"(3,5,1.00,0.50)","(3,5,1.00,0.75)","(3,5,1.00,1.00)","(3,5,1.00,1.25)","(3,5,1.00,1.50)","(3,5,1.00,2.00)","(3,5,1.00,3.00)","(5,5,1.00,0.50)","(5,5,1.00,0.75)","(5,5,1.00,1.00)","(5,5,1.00,1.25)","(5,5,1.00,1.50)","(5,5,1.00,2.00)","(5,5,1.00,3.00)","(7,5,1.00,0.50)","(7,5,1.00,0.75)","(7,5,1.00,1.00)","(7,5,1.00,1.25)","(7,5,1.00,1.50)","(7,5,1.00,2.00)","(7,5,1.00,3.00)","(5,10,1.00,0.50)","(5,10,1.00,0.75)","(5,10,1.00,1.00)","(5,10,1.00,1.25)","(5,10,1.00,1.50)","(5,10,1.00,2.00)","(5,10,1.00,3.00)","(10,10,1.00,0.50)","(10,10,1.00,0.75)","(10,10,1.00,1.00)","(10,10,1.00,1.25)","(10,10,1.00,1.50)","(10,10,1.00,2.00)","(10,10,1.00,3.00)","(20,10,1.00,0.50)","(20,10,1.00,0.75)","(20,10,1.00,1.00)","(20,10,1.00,1.25)","(20,10,1.00,1.50)","(20,10,1.00,2.00)","(20,10,1.00,3.00)"
400137271,0.0010000000,0.0010024222,0.0010041222,0.0010018019,0.0010014996,0.0010022734,0.0010007235,0.0010021981,0.0010004635,0.0010014493,0.0010020312,0.0009999107,0.0010012158,0.0010005897,0.0010026079,0.0009999132,0.0010025495,0.0010005571,0.0010006648,0.0010005605,0.0010005024,0.0010035151,0.0010004017,0.0010016840,0.0010022055,0.0010001504,0.0010020724,0.0010000407,0.0010029334,0.0010011513,0.0010023503,0.0010021972,0.0010010981,0.0010024642,0.0010020333,0.0010034564,0.0010002096,0.0010020160,0.0010023760,0.0010015662,0.0010022637,0.0010030086,0.0010026937
400137271,0.0724081633,0.0723390842,0.0725142620,0.0724367765,0.0723126273,0.0725168413,0.0723809120,0.0724890830,0.0723961331,0.0723388455,0.0723241292,0.0725799792,0.0723485352,0.0726080995,0.0725082839,0.0724228618,0.0723993616,0.0723234116,0.0725778454,0.0724581437,0.0724751326,0.0724240583,0.0723592027,0.0723805068,0.0724683386,0.0725559234,0.0724737163,0.0725467127,0.0724684519,0.0724769339,0.0724317013,0.0724535113,0.0725374446,0.0724114409,0.0724192539,0.0723473793,0.0723548245,0.0723338535,0.0725883864,0.0724552659,0.0724487849,0.0724214295,0.0724744766
400137271,0.1438163265,0.1397100911,0.1436483837,0.1442598441,0.1437528234,0.1438479543,0.1438987487,0.1440101716,0.1439784048,0.1437860234,0.1439170622,0.1440369518,0.1438136406,0.1439615272,0.1437845239,0.1439044656,0.1442504819,0.1439323643,0.1438459891,0.1437109940,0.1438473229,0.1438490506,0.0851845985,0.1440427268,0.1435767489,0.1437461774,0.1437409899,0.1441203853,0.1442472440,0.1437781716,0.1438675221,0.1443501765,0.1436687693,0.1439396090,0.1440471018,0.1440919033,0.1435987865,0.1438598197,0.1440056528,0.1436760315,0.1439853250,0.1438650117,0.1438520771
400137271,0.2152244898,0.1396549915,0.2153703402,0.2150155838,0.2157916657,0.2155671487,0.2147438264,0.2153144837,0.1659362696,0.2154430777,0.2154728472,0.2150083982,0.2156205707,0.2155221145,0.2155547677,0.1823586385,0.2157060985,0.2156820806,0.2156672352,0.2154892535,0.2148674217,0.2157213326,0.0854545989,0.1839205159,0.2149061199,0.2151426521,0.2154863863,0.2154066060,0.2156848044,0.1454611116,0.2147260693,0.2151423150,0.2157381958,0.2154215054,0.2151030125,0.2156895478,0.1901618768,0.2148630572,0.2154830012,0.2152327141,0.2153457210,0.2152786628,0.2152794639
400137271,0.2866326531,0.1397620625,0.2424535735,0.2868851574,0.2858727647,0.2865693802,0.2866910624,0.2860116896,0.1663048007,0.2788233319,0.2869746520,0.2870193913,0.2865579089,0.2866315066,0.2863254639,0.1823260285,0.2872247236,0.2864845048,0.2867376289,0.2865687153,0.2864539302,0.2867170999,0.0852027057,0.1831160921,0.2861476908,0.2874567920,0.2862496852,0.2868047410,0.2867638308,0.1453677308,0.2610274731,0.2869771092,0.2867429248,0.2870373521,0.2867376071,0.2869869869,0.1898618496,0.2869414392,0.2868152135,0.2869677150,0.2869116450,0.2866175415,0.2866513149
400137271,0.3580408163,0.1398872011,0.2420214683,0.3502473892,0.3578286915,0.3577810577,0.3577867528,0.3571393335,0.1661631440,0.2796256537,0.3580903316,0.3589072209,0.3573398883,0.3583681644,0.3587083075,0.1824792616,0.3003872478,0.3578416135,0.3586490429,0.3581021967,0.3577302345,0.3572460723,0.0851290541,0.1827529913,0.2902256447,0.3579484392,0.3581934410,0.3579769600,0.3583078655,0.1457442528,0.2604471999,0.3572091879,0.3584181799,0.3581580829,0.3583669329,0.3577124584,0.1901648874,0.3125595901,0.3591031864,0.3579020540,0.3576122241,0.3576390310,0.3582101720
400137271,0.4294489796,0.1399326345,0.2418426973,0.3496513135,0.4297667071,0.4298848496,0.4289326642,0.4289247741,0.1658027943,0.2786496896,0.3975872553,0.4283820998,0.4295376644,0.4289170859,0.4298794659,0.1823705298,0.3017565730,0.4231885527,0.4290937552,0.4287937341,0.4291550471,0.4295503209,0.0850401138,0.1826622328,0.2907346963,0.4051717864,0.4306392212,0.4298067921,0.4298012275,0.1455720413,0.2603659408,0.3801493285,0.4306144466,0.4296726471,0.4292146783,0.4288905109,0.1898794397,0.3122677792,0.4288504492,0.4291206111,0.4296019758,0.4301474642,0.4293364516
400137271,0.5008571429,0.1396869432,0.2419557511,0.3500560924,0.4648206905,0.4995903186,0.5017482678,0.5010464538,0.1662941377,0.2790179481,0.3977750904,0.5006013590,0.5016891836,0.5014278619,0.5019795818,0.1824741988,0.3016475840,0.4237986360,0.5018295711,0.5020113261,0.5008085221,0.5003555342,0.0851880930,0.1828253729,0.2903153529,0.4042744825,0.5020932909,0.5012739389,0.5009792798,0.1453404328,0.2608239339,0.3797995128,0.5006942071,0.5007812329,0.5007824739,0.5009164191,0.1896924134,0.3126079546,0.4366797065,0.5005537040,0.5000201763,0.5008205872,0.5014951055
400137271,0.5722653061,0.1397398679,0.2417453607,0.3504053296,0.4646401395,0.5721939835,0.5711751564,0.5718857722,0.1662365950,0.2786825157,0.3966683673,0.5186352359,0.5723131637,0.5727726884,0.5723533605,0.1821273487,0.3012591616,0.4232762402,0.5490971003,0.5719515346,0.5734196960,0.5721311510,0.0850062897,0.1829130063,0.2912502457,0.4045474862,0.5214776599,0.5726894903,0.5725484963,0.1456280795,0.2607505982,0.3808971016,0.5006376573,0.5718809580,0.5736856798,0.5728309878,0.1899857282,0.3126112377,0.4366664159,0.5596968653,0.5723449874,0.5736188255,0.5717669173
400137271,0.6436734694,0.1399806981,0.2420297350,0.3502230168,0.4651408789,0.5831585850,0.6442224307,0.6431082102,0.1660782209,0.2787182085,0.3972125979,0.5187896633,0.6427581101,0.6437195643,0.6432114625,0.1826357246,0.3023030803,0.4242702833,0.5469003818,0.6433682269,0.6432486179,0.6426973443,0.0851377426,0.1829096142,0.2911548054,0.4036894532,0.5214155811,0.6448699251,0.6443129408,0.1456001603,0.2605393164,0.3806828942,0.5024012486,0.6249700077,0.6433161956,0.6451177209,0.1902170570,0.3124369843,0.4353094149,0.5605630645,0.6422250530,0.6441549163,0.6432856831
400137271,0.7150816327,0.1400799728,0.2421118571,0.3494500774,0.4647662203,0.5832832544,0.7140477687,0.7136657937,0.1659879692,0.2785736463,0.3969848613,0.5185415971,0.6433713758,0.7133870608,0.7141774202,0.1825791406,0.3010763726,0.4234971986,0.5479013778,0.6744563345,0.7147263255,0.7147101740,0.0851326745,0.1827060394,0.2918148011,0.4043091704,0.5214469331,0.7149328138,0.7142213988,0.1458549794,0.2603850279,0.3811128997,0.5014640203,0.6246047157,0.7156342007,0.7161332302,0.1901677193,0.3123570889,0.4366031599,0.5593801525,0.6841507958,0.7143822930,0.7155324705
400137271,0.7864897959,0.1397351536,0.2427106626,0.3504670960,0.4650055727,0.5817423678,0.7860731157,0.7846037341,0.1659635058,0.2788730970,0.3975916497,0.5197976785,0.6431679748,0.7859451973,0.7868521072,0.1824649820,0.3013524984,0.4239388964,0.5479866764,0.6744450863,0.7853187348,0.7847678225,0.0852586285,0.1831383620,0.2911959882,0.4045746920,0.5214903191,0.7611722071,0.7853821328,0.1458189570,0.2610746440,0.3793648908,0.5010740512,0.6257910842,0.7872406575,0.7870277038,0.1902577622,0.3117921477,0.4358825648,0.5620453994,0.6862879713,0.7882748321,0.7858034630
400137271,0.8578979592,0.1402055349,0.2426342493,0.3500980085,0.4641817732,0.5815900393,0.8234377119,0.8553669434,0.1660530841,0.2792987113,0.3976968631,0.5188222571,0.6438709533,0.8594689719,0.8590746639,0.1826854949,0.3012402697,0.4241628608,0.5482169051,0.6745460820,0.8581279037,0.8577407586,0.0849510604,0.1828953196,0.2913339432,0.4037797270,0.5218987104,0.7600219428,0.8598048066,0.1454288416,0.2612411316,0.3810984557,0.5022833797,0.6239689881,0.8565891473,0.8565646799,0.1897532732,0.3128757521,0.4362029741,0.5603169262,0.6856343882,0.8574902689,0.8589934222
