Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,0.0010000000,0.9997800484,0.9341542681,0.8647070675,0.9788806500,0.9114499072,0.8396065939,0.9570138107,0.8886684991,0.8161020193,0.9997520615,0.9264912572,0.8468217931,0.9758477677,0.9007637576,0.8188794290,0.9518778170,0.8731969574,0.7898532295
400137271,0.0312929293,0.9927469905,0.9269979819,0.8563234779,0.9716378900,0.9039817685,0.8305351221,0.9497027905,0.8812971990,0.8060953708,0.9917575034,0.9180519305,0.8375475936,0.9680082939,0.8916589761,0.8077975078,0.9433383802,0.8652292901,0.7805700503
400137271,0.0615858586,0.9856800404,0.9195190915,0.8480268112,0.9643443326,0.8962123378,0.8233461446,0.9423587428,0.8725394388,0.7981438367,0.9840456676,0.9093446989,0.8287778179,0.9594562570,0.8831722133,0.7999046514,0.9343829569,0.8555659269,0.7696866606
400137271,0.0918787879,0.9788806500,0.9114499072,0.8396065939,0.9570138107,0.8886684991,0.8161020193,0.9341542681,0.8647070675,0.7889384518,0.9758477677,0.9007637576,0.8188794290,0.9518778170,0.8731969574,0.7898532295,0.9264912572,0.8468217931,0.7598622522
400137271,0.1221717172,0.9716378900,0.9039817685,0.8305351221,0.9497027905,0.8812971990,0.8060953708,0.9269979819,0.8563234779,0.7802600451,0.9680082939,0.8916589761,0.8077975078,0.9433383802,0.8652292901,0.7805700503,0.9180519305,0.8375475936,0.7476406331
400137271,0.1524646465,0.9643443326,0.8962123378,0.8233461446,0.9423587428,0.8725394388,0.7981438367,0.9195190915,0.8480268112,0.7722323771,0.9594562570,0.8831722133,0.7999046514,0.9343829569,0.8555659269,0.7696866606,0.9093446989,0.8287778179,0.7393972286
400137271,0.1827575758,0.9570138107,0.8886684991,0.8161020193,0.9341542681,0.8647070675,0.7889384518,0.9114499072,0.8396065939,0.7628405129,0.9518778170,0.8731969574,0.7898532295,0.9264912572,0.8468217931,0.7598622522,0.9007637576,0.8188794290,0.7281825583
400137271,0.2130505051,0.9497027905,0.8812971990,0.8060953708,0.9269979819,0.8563234779,0.7802600451,0.9039817685,0.8305351221,0.7555369526,0.9433383802,0.8652292901,0.7805700503,0.9180519305,0.8375475936,0.7476406331,0.8916589761,0.8077975078,0.7176293545
400137271,0.2433434343,0.9423587428,0.8725394388,0.7981438367,0.9195190915,0.8480268112,0.7722323771,0.8962123378,0.8233461446,0.7457800038,0.9343829569,0.8555659269,0.7696866606,0.9093446989,0.8287778179,0.7393972286,0.8831722133,0.7999046514,0.7083758359
400137271,0.2736363636,0.9341542681,0.8647070675,0.7889384518,0.9114499072,0.8396065939,0.7628405129,0.8886684991,0.8161020193,0.7358265098,0.9264912572,0.8468217931,0.7598622522,0.9007637576,0.8188794290,0.7281825583,0.8731969574,0.7898532295,0.6954320545
