Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,0.0010000000,0.0004996730,0.1369342429,0.2728244323,0.0458388804,0.1822869390,0.3189296763,0.0914810581,0.2279023867,0.3638669845,0.0004997934,0.1369123183,0.2728618503,0.0458464226,0.1825120042,0.3182035192,0.0914121198,0.2274640040,0.3635885173
400137271,0.0312929293,0.0156150792,0.1524910624,0.2880197182,0.0609937059,0.1973947724,0.3338611801,0.1065947653,0.2426192704,0.3790282655,0.0156243646,0.1520964398,0.2884658196,0.0611313548,0.1975706080,0.3336434487,0.1064352861,0.2433156384,0.3786428141
400137271,0.0615858586,0.0306923570,0.1674297527,0.3037260504,0.0761951132,0.2124603934,0.3489130062,0.1217253984,0.2573137819,0.3935708741,0.0307176374,0.1671767967,0.3040489087,0.0761442750,0.2122018202,0.3491231228,0.1216655179,0.2580384323,0.3932909986
400137271,0.0918787879,0.0458388804,0.1822869390,0.3189296763,0.0914810581,0.2279023867,0.3638669845,0.1369342429,0.2728244323,0.4087487603,0.0458464226,0.1825120042,0.3182035192,0.0914121198,0.2274640040,0.3635885173,0.1369123183,0.2728618503,0.4091705371
400137271,0.1221717172,0.0609937059,0.1973947724,0.3338611801,0.1065947653,0.2426192704,0.3790282655,0.1524910624,0.2880197182,0.4254035039,0.0611313548,0.1975706080,0.3336434487,0.1064352861,0.2433156384,0.3786428141,0.1520964398,0.2884658196,0.4250548804
400137271,0.1524646465,0.0761951132,0.2124603934,0.3489130062,0.1217253984,0.2573137819,0.3935708741,0.1674297527,0.3037260504,0.4393014331,0.0761442750,0.2122018202,0.3491231228,0.1216655179,0.2580384323,0.3932909986,0.1671767967,0.3040489087,0.4383956472
400137271,0.1827575758,0.0914810581,0.2279023867,0.3638669845,0.1369342429,0.2728244323,0.4087487603,0.1822869390,0.3189296763,0.4546196520,0.0914121198,0.2274640040,0.3635885173,0.1369123183,0.2728618503,0.4091705371,0.1825120042,0.3182035192,0.4544441798
400137271,0.2130505051,0.1065947653,0.2426192704,0.3790282655,0.1524910624,0.2880197182,0.4254035039,0.1973947724,0.3338611801,0.4693924668,0.1064352861,0.2433156384,0.3786428141,0.1520964398,0.2884658196,0.4250548804,0.1975706080,0.3336434487,0.4698732879
400137271,0.2433434343,0.1217253984,0.2573137819,0.3935708741,0.1674297527,0.3037260504,0.4393014331,0.2124603934,0.3489130062,0.4849888683,0.1216655179,0.2580384323,0.3932909986,0.1671767967,0.3040489087,0.4383956472,0.2122018202,0.3491231228,0.4845368196
400137271,0.2736363636,0.1369342429,0.2728244323,0.4087487603,0.1822869390,0.3189296763,0.4546196520,0.2279023867,0.3638669845,0.5029197914,0.1369123183,0.2728618503,0.4091705371,0.1825120042,0.3182035192,0.4544441798,0.2274640040,0.3635885173,0.5010414433
400137271,0.3039292929,0.1524910624,0.2880197182,0.4254035039,0.1973947724,0.3338611801,0.4693924668,0.2426192704,0.3790282655,0.5152331254,0.1520964398,0.2884658196,0.4250548804,0.1975706080,0.3336434487,0.4698732879,0.2433156384,0.3786428141,0.5159871710
400137271,0.3342222222,0.1674297527,0.3037260504,0.4393014331,0.2124603934,0.3489130062,0.4849888683,0.2573137819,0.3935708741,0.5307041935,0.1671767967,0.3040489087,0.4383956472,0.2122018202,0.3491231228,0.4845368196,0.2580384323,0.3932909986,0.5313349143
400137271,0.3645151515,0.1822869390,0.3189296763,0.4546196520,0.2279023867,0.3638669845,0.5029197914,0.2728244323,0.4087487603,0.5452717050,0.1825120042,0.3182035192,0.4544441798,0.2274640040,0.3635885173,0.5010414433,0.2728618503,0.4091705371,0.5463017158
400137271,0.3948080808,0.1973947724,0.3338611801,0.4693924668,0.2426192704,0.3790282655,0.5152331254,0.2880197182,0.4254035039,0.5609524625,0.1975706080,0.3336434487,0.4698732879,0.2433156384,0.3786428141,0.5159871710,0.2884658196,0.4250548804,0.5595608138
400137271,0.4251010101,0.2124603934,0.3489130062,0.4849888683,0.2573137819,0.3935708741,0.5307041935,0.3037260504,0.4393014331,0.5754670642,0.2122018202,0.3491231228,0.4845368196,0.2580384323,0.3932909986,0.5313349143,0.3040489087,0.4383956472,0.5770743090
400137271,0.4553939394,0.2279023867,0.3638669845,0.5029197914,0.2728244323,0.4087487603,0.5452717050,0.3189296763,0.4546196520,0.5916392046,0.2274640040,0.3635885173,0.5010414433,0.2728618503,0.4091705371,0.5463017158,0.3182035192,0.4544441798,0.5907844033
