Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,0.9990469092,0.9991147843,0.9991207737,0.9989710598,0.9990509016,0.9990748567
400137271,0.0161414141,0.9842209694,0.9853867150,0.9857121031,0.9834640357,0.9841812547,0.9847996179
400137271,0.0312828283,0.9684648476,0.9708907534,0.9719807120,0.9674211262,0.9692195263,0.9703085581
400137271,0.0464242424,0.9529563565,0.9566540069,0.9583895988,0.9512403699,0.9543915372,0.9554438323
400137271,0.0615656566,0.9363085474,0.9422894808,0.9437372183,0.9338297572,0.9379587204,0.9403498478
400137271,0.0767070707,0.9195495311,0.9261283021,0.9289596674,0.9171207178,0.9224334902,0.9246664959
400137271,0.0918484848,0.9027405397,0.9105768049,0.9137518743,0.8982466226,0.9052518184,0.9083188381
400137271,0.1069898990,0.8851359126,0.8960364723,0.8985315299,0.8801437803,0.8880489919,0.8920160991
400137271,0.1221313131,0.8661533265,0.8781658978,0.8827543348,0.8628097919,0.8722152348,0.8767968856
400137271,0.1372727273,0.8474339277,0.8617198204,0.8666419963,0.8433288890,0.8538652345,0.8587553543
400137271,0.1524141414,0.8280503720,0.8433715634,0.8506149946,0.8226390260,0.8354686520,0.8417784759
400137271,0.1675555556,0.8074981044,0.8263704735,0.8333159726,0.8030386984,0.8174970529,0.8244682386
400137271,0.1826969697,0.7858509115,0.8082656478,0.8171323231,0.7806456095,0.7991586458,0.8076389725
400137271,0.1978383838,0.7651484082,0.7888793259,0.7984344298,0.7586090751,0.7793029603,0.7882966329
400137271,0.2129797980,0.7413354565,0.7695060156,0.7804402932,0.7341303052,0.7579915044,0.7704207730
400137271,0.2281212121,0.7172767584,0.7492808777,0.7623310865,0.7086142694,0.7365267168,0.7512160310
400137271,0.2432626263,0.6911318113,0.7281846793,0.7436497885,0.6813154020,0.7128041000,0.7316396850
400137271,0.2584040404,0.6641804180,0.7046029598,0.7237963990,0.6524804370,0.6899816051,0.7127553268
400137271,0.2735454545,0.6333655716,0.6830050583,0.7042322952,0.6213974483,0.6666724445,0.6933418383
400137271,0.2886868687,0.6032185328,0.6611224934,0.6827392591,0.5872142322,0.6427131751,0.6735598785
400137271,0.3038282828,0.5655926251,0.6356907288,0.6620810930,0.5321410536,0.6140303478,0.6523446572
