Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,2.50)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,2.50)","(BEB,10,1.00,3.00)"
400137271,0.0010000000,0.0010041334,0.3150873921,0.3981840854,0.4417811034,0.4721352448,0.4900262919,0.0010051123,0.3091581180,0.3899734304,0.3890492014,0.4571504923,0.4611928892
400137271,0.0826122449,0.1200691396,0.3638818260,0.4318572513,0.4289684364,0.4761676577,0.4902004584,0.1261504436,0.3622191372,0.3981247327,0.3997809609,0.4633888385,0.4693319856
400137271,0.1642244898,0.2611806761,0.2883122534,0.3308980084,0.4734862147,0.4290874883,0.4902016255,0.3149155140,0.3544695548,0.3915788670,0.4039206961,0.4422757406,0.4512090633
400137271,0.2458367347,0.3087255873,0.4304651451,0.4589289520,0.4648701796,0.4448879532,0.4902021550,0.2904559071,0.3754908256,0.3943361451,0.3868322859,0.4637227757,0.4685554832
400137271,0.3274489796,0.3245845276,0.4129347736,0.4320345441,0.4720742880,0.4730051897,0.4902014597,0.3220907833,0.3843765162,0.4226421454,0.4322532980,0.4350410163,0.4680525094
400137271,0.4090612245,0.3346334731,0.4087916049,0.4155587352,0.4632515024,0.4739435856,0.4902013749,0.3023778479,0.3914965239,0.4260851538,0.4294822563,0.4588083411,0.4711465193
400137271,0.4906734694,0.3150873921,0.3981840854,0.4417811034,0.4721352448,0.4900262919,0.4901998998,0.3091581180,0.3899734304,0.3890492014,0.4571504923,0.4611928892,0.4662406146
400137271,0.5722857143,0.3638818260,0.4318572513,0.4289684364,0.4761676577,0.4902004584,0.4901998381,0.3622191372,0.3981247327,0.3997809609,0.4633888385,0.4693319856,0.4687880579
400137271,0.6538979592,0.2883122534,0.3308980084,0.4734862147,0.4290874883,0.4902016255,0.4902023526,0.3544695548,0.3915788670,0.4039206961,0.4422757406,0.4512090633,0.4764616556
400137271,0.7355102041,0.4304651451,0.4589289520,0.4648701796,0.4448879532,0.4902021550,0.4902000010,0.3754908256,0.3943361451,0.3868322859,0.4637227757,0.4685554832,0.4723323513
400137271,0.8171224490,0.4129347736,0.4320345441,0.4720742880,0.4730051897,0.4902014597,0.4901988514,0.3843765162,0.4226421454,0.4322532980,0.4350410163,0.4680525094,0.4443673496
400137271,0.8987346939,0.4087916049,0.4155587352,0.4632515024,0.4739435856,0.4902013749,0.4902010654,0.3914965239,0.4260851538,0.4294822563,0.4588083411,0.4711465193,0.4402304820
400137271,0.9803469388,0.3981840854,0.4417811034,0.4721352448,0.4900262919,0.4901998998,0.4902021498,0.3899734304,0.3890492014,0.4571504923,0.4611928892,0.4662406146,0.4737032119
400137271,1.0619591837,0.4318572513,0.4289684364,0.4761676577,0.4902004584,0.4901998381,0.4902002425,0.3981247327,0.3997809609,0.4633888385,0.4693319856,0.4687880579,0.4868088256
400137271,1.1435714286,0.3308980084,0.4734862147,0.4290874883,0.4902016255,0.4902023526,0.4902053947,0.3915788670,0.4039206961,0.4422757406,0.4512090633,0.4764616556,0.4416054741
400137271,1.2251836735,0.4589289520,0.4648701796,0.4448879532,0.4902021550,0.4902000010,0.4901992323,0.3943361451,0.3868322859,0.4637227757,0.4685554832,0.4723323513,0.4859840856
