Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,2.50)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,2.50)","(BEB,10,1.00,3.00)"
400137271,0.0010000000,4.0644550549,235243.2010411273,741842.5545788852,707344.9824132673,507812.3845194046,1337.1543227661,4.0659775826,640538.1253287771,731623.9243440288,428257.1731791396,820036.3335425557,744650.5432358651
400137271,0.0826122449,8.2536930509,778286.3187806393,641265.0146185135,686689.5072928511,907262.0149863499,65568.5695498288,8.6342475269,420581.9435977439,1064838.6455130533,859499.9101843296,837473.7777198290,1021438.5584394205
400137271,0.1642244898,46118.9118813950,955042.4312060496,1059468.5914800263,644522.4804082479,1727.7078316550,124876.5191872981,46223.3258997790,594497.1242881762,793401.5794397492,984354.9257158223,1110629.2542569095,905014.2803626719
400137271,0.2458367347,88110.0434329121,877796.7112690138,1032331.3691201604,492788.6489689400,1455.4395169676,185948.1664572639,261993.8211599733,829125.6143539598,554875.8769269324,633194.3680712404,732115.3148176802,971946.4433296316
400137271,0.3274489796,526998.6121026174,470468.4229779317,1067392.3393607934,663723.5798354991,31692.7239093205,240849.0791603076,571512.6416865576,565517.3861395495,824774.6058000999,551850.5179854345,737299.2299386081,1023027.2935512448
400137271,0.4090612245,624576.4924139762,986586.8908694863,329028.9452753564,619673.8320369521,34.5078525163,293894.9519937315,838741.3435874551,594235.6714793899,777226.4429270423,856539.2154859921,979991.7321437310,762540.8070122128
400137271,0.4906734694,235243.2010411273,741842.5545788852,707344.9824132673,507812.3845194046,1337.1543227661,338035.6221852863,640538.1253287771,731623.9243440288,428257.1731791396,820036.3335425557,744650.5432358651,456869.9657720609
400137271,0.5722857143,778286.3187806393,641265.0146185135,686689.5072928511,907262.0149863499,65568.5695498288,383435.4622877191,420581.9435977439,1064838.6455130533,859499.9101843296,837473.7777198290,1021438.5584394205,909707.3934002606
400137271,0.6538979592,955042.4312060496,1059468.5914800263,644522.4804082479,1727.7078316550,124876.5191872981,427238.6356882966,594497.1242881762,793401.5794397492,984354.9257158223,1110629.2542569095,905014.2803626719,985803.0023548136
400137271,0.7355102041,877796.7112690138,1032331.3691201604,492788.6489689400,1455.4395169676,185948.1664572639,468996.1533143301,829125.6143539598,554875.8769269324,633194.3680712404,732115.3148176802,971946.4433296316,1009259.5326248673
400137271,0.8171224490,470468.4229779317,1067392.3393607934,663723.5798354991,31692.7239093205,240849.0791603076,508629.6971289640,565517.3861395495,824774.6058000999,551850.5179854345,737299.2299386081,1023027.2935512448,592791.3839743335
400137271,0.8987346939,986586.8908694863,329028.9452753564,619673.8320369521,34.5078525163,293894.9519937315,548729.8483795485,594235.6714793899,777226.4429270423,856539.2154859921,979991.7321437310,762540.8070122128,720557.5578929395
400137271,0.9803469388,741842.5545788852,707344.9824132673,507812.3845194046,1337.1543227661,338035.6221852863,582555.0294873753,731623.9243440288,428257.1731791396,820036.3335425557,744650.5432358651,456869.9657720609,466922.6520456028
400137271,1.0619591837,641265.0146185135,686689.5072928511,907262.0149863499,65568.5695498288,383435.4622877191,616908.3553158065,1064838.6455130533,859499.9101843296,837473.7777198290,1021438.5584394205,909707.3934002606,707310.6246628873
400137271,1.1435714286,1059468.5914800263,644522.4804082479,1727.7078316550,124876.5191872981,427238.6356882966,653827.3079241097,793401.5794397492,984354.9257158223,1110629.2542569095,905014.2803626719,985803.0023548136,884014.7017114221
400137271,1.2251836735,1032331.3691201604,492788.6489689400,1455.4395169676,185948.1664572639,468996.1533143301,679366.6751487711,554875.8769269324,633194.3680712404,732115.3148176802,971946.4433296316,1009259.5326248673,686920.1337618990
400137271,1.3067959184,1067392.3393607934,663723.5798354991,31692.7239093205,240849.0791603076,508629.6971289640,710265.7199974114,824774.6058000999,551850.5179854345,737299.2299386081,1023027.2935512448,592791.3839743335,196959.1395072599
400137271,1.3884081633,329028.9452753564,619673.8320369521,34.5078525163,293894.9519937315,548729.8483795485,737943.5726948201,777226.4429270423,856539.2154859921,979991.7321437310,762540.8070122128,720557.5578929395,1023830.1249023980
400137271,1.4700204082,707344.9824132673,507812.3845194046,1337.1543227661,338035.6221852863,582555.0294873753,764525.3512793801,428257.1731791396,820036.3335425557,744650.5432358651,456869.9657720609,466922.6520456028,941019.2210234097
400137271,1.5516326531,686689.5072928511,907262.0149863499,65568.5695498288,383435.4622877191,616908.3553158065,790468.9725006243,859499.9101843296,837473.7777198290,1021438.5584394205,909707.3934002606,707310.6246628873,132497.7927371563
400137271,1.6332448980,644522.4804082479,1727.7078316550,124876.5191872981,427238.6356882966,653827.3079241097,444967.7524250987,984354.9257158223,1110629.2542569095,905014.2803626719,985803.0023548136,884014.7017114221,532050.2557084017
400137271,1.7148571429,492788.6489689400,1455.4395169676,185948.1664572639,468996.1533143301,679366.6751487711,195033.2612265947,633194.3680712404,732115.3148176802,971946.4433296316,1009259.5326248673,686920.1337618990,549519.3097143953
400137271,1.7964693878,663723.5798354991,31692.7239093205,240849.0791603076,508629.6971289640,710265.7199974114,20218.6397069900,551850.5179854345,737299.2299386081,1023027.2935512448,592791.3839743335,196959.1395072599,351664.8746040422
400137271,1.8780816327,619673.8320369521,34.5078525163,293894.9519937315,548729.8483795485,737943.5726948201,527508.6583515689,856539.2154859921,979991.7321437310,762540.8070122128,720557.5578929395,1023830.1249023980,423344.9555115302
400137271,1.9596938776,507812.3845194046,1337.1543227661,338035.6221852863,582555.0294873753,764525.3512793801,230615.5696639382,820036.3335425557,744650.5432358651,456869.9657720609,466922.6520456028,941019.2210234097,502675.3829003730
400137271,2.0413061224,907262.0149863499,65568.5695498288,383435.4622877191,616908.3553158065,790468.9725006243,156606.7275553979,837473.7777198290,1021438.5584394205,909707.3934002606,707310.6246628873,132497.7927371563,502600.8645677326
400137271,2.1229183673,1727.7078316550,124876.5191872981,427238.6356882966,653827.3079241097,444967.7524250987,479130.2968822162,1110629.2542569095,905014.2803626719,985803.0023548136,884014.7017114221,532050.2557084017,436475.4986001782
400137271,2.2045306122,1455.4395169676,185948.1664572639,468996.1533143301,679366.6751487711,195033.2612265947,528961.3077966921,732115.3148176802,971946.4433296316,1009259.5326248673,686920.1337618990,549519.3097143953,412807.4534179826
400137271,2.2861428571,31692.7239093205,240849.0791603076,508629.6971289640,710265.7199974114,20218.6397069900,538878.7096157129,737299.2299386081,1023027.2935512448,592791.3839743335,196959.1395072599,351664.8746040422,440829.3730706535
400137271,2.3677551020,34.5078525163,293894.9519937315,548729.8483795485,737943.5726948201,527508.6583515689,409297.5203023205,979991.7321437310,762540.8070122128,720557.5578929395,1023830.1249023980,423344.9555115302,514290.8680836371
400137271,2.4493673469,1337.1543227661,338035.6221852863,582555.0294873753,764525.3512793801,230615.5696639382,478923.2845100216,744650.5432358651,456869.9657720609,466922.6520456028,941019.2210234097,502675.3829003730,465720.2152540330
400137271,2.5309795918,65568.5695498288,383435.4622877191,616908.3553158065,790468.9725006243,156606.7275553979,558804.2007442068,1021438.5584394205,909707.3934002606,707310.6246628873,132497.7927371563,502600.8645677326,426481.6813290044
400137271,2.6125918367,124876.5191872981,427238.6356882966,653827.3079241097,444967.7524250987,479130.2968822162,543491.2049266810,905014.2803626719,985803.0023548136,884014.7017114221,532050.2557084017,436475.4986001782,493446.6499860043
400137271,2.6942040816,185948.1664572639,468996.1533143301,679366.6751487711,195033.2612265947,528961.3077966921,573156.7526298356,971946.4433296316,1009259.5326248673,686920.1337618990,549519.3097143953,412807.4534179826,513434.0280102253
400137271,2.7758163265,240849.0791603076,508629.6971289640,710265.7199974114,20218.6397069900,538878.7096157129,571845.9519308704,1023027.2935512448,592791.3839743335,196959.1395072599,351664.8746040422,440829.3730706535,525627.8452361792
400137271,2.8574285714,293894.9519937315,548729.8483795485,737943.5726948201,527508.6583515689,409297.5203023205,443198.0780723677,762540.8070122128,720557.5578929395,1023830.1249023980,423344.9555115302,514290.8680836371,572228.7551907850
400137271,2.9390408163,338035.6221852863,582555.0294873753,764525.3512793801,230615.5696639382,478923.2845100216,521124.8110852122,456869.9657720609,466922.6520456028,941019.2210234097,502675.3829003730,465720.2152540330,594889.0516578291
400137271,3.0206530612,383435.4622877191,616908.3553158065,790468.9725006243,156606.7275553979,558804.2007442068,486026.4279205993,909707.3934002606,707310.6246628873,132497.7927371563,502600.8645677326,426481.6813290044,587609.8491491613
400137271,3.1022653061,427238.6356882966,653827.3079241097,444967.7524250987,479130.2968822162,543491.2049266810,644239.9127277237,985803.0023548136,884014.7017114221,532050.2557084017,436475.4986001782,493446.6499860043,611783.4631975295
