Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,2.50)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,2.50)","(BEB,10,1.00,3.00)"
400137271,0.0010000000,0.9957620368,0.8256598570,0.9995242265,0.9996606152,0.9998165337,0.9998880125,0.9952422445,0.9412942985,0.9695230431,0.9989690639,0.9994837666,0.9995571962
400137271,0.0826122449,0.6884044128,0.9819362998,0.9995192312,0.9997395678,0.9997945422,0.9999085084,0.6546917008,0.9632602893,0.9944331632,0.9992251009,0.9992201087,0.9994657855
400137271,0.1642244898,0.5857180845,0.9990808456,0.9996601156,0.9997735513,0.9998390259,0.9999075086,0.5210116170,0.9215230934,0.9981768300,0.9993743916,0.9994752755,0.9995202303
400137271,0.2458367347,0.7716549529,0.9975520074,0.9995831738,0.9997665545,0.9998525218,0.9998950110,0.6684690821,0.9789204172,0.9972824054,0.9992031355,0.9995032469,0.9995407110
400137271,0.3274489796,0.8309395350,0.9992116220,0.9996386306,0.9997860458,0.9998705168,0.9999040092,0.9108824493,0.9740963430,0.9989690639,0.9992820159,0.9994952549,0.9995586948
400137271,0.4090612245,0.9202612069,0.9993888737,0.9997200784,0.9998095363,0.9999085084,0.9999000100,0.8841510183,0.9732061742,0.9979268071,0.9993379386,0.9994867635,0.9995836734
400137271,0.4906734694,0.8256598570,0.9995242265,0.9996606152,0.9998165337,0.9998880125,0.9999155071,0.9412942985,0.9695230431,0.9989690639,0.9994837666,0.9995571962,0.9995906676
400137271,0.5722857143,0.9819362998,0.9995192312,0.9997395678,0.9997945422,0.9999085084,0.9999095082,0.9632602893,0.9944331632,0.9992251009,0.9992201087,0.9994657855,0.9995846726
400137271,0.6538979592,0.9990808456,0.9996601156,0.9997735513,0.9998390259,0.9999075086,0.9998985103,0.9215230934,0.9981768300,0.9993743916,0.9994752755,0.9995202303,0.9995926660
400137271,0.7355102041,0.9975520074,0.9995831738,0.9997665545,0.9998525218,0.9998950110,0.9999065087,0.9789204172,0.9972824054,0.9992031355,0.9995032469,0.9995407110,0.9996301368
400137271,0.8171224490,0.9992116220,0.9996386306,0.9997860458,0.9998705168,0.9999040092,0.9999140074,0.9740963430,0.9989690639,0.9992820159,0.9994952549,0.9995586948,0.9995671874
400137271,0.8987346939,0.9993888737,0.9997200784,0.9998095363,0.9999085084,0.9999000100,0.9998985103,0.9732061742,0.9979268071,0.9993379386,0.9994867635,0.9995836734,0.9996106517
400137271,0.9803469388,0.9995242265,0.9996606152,0.9998165337,0.9998880125,0.9999155071,0.9998910119,0.9695230431,0.9989690639,0.9994837666,0.9995571962,0.9995906676,0.9996086532
400137271,1.0619591837,0.9995192312,0.9997395678,0.9997945422,0.9999085084,0.9999095082,0.9999195065,0.9944331632,0.9992251009,0.9992201087,0.9994657855,0.9995846726,0.9996421281
400137271,1.1435714286,0.9996601156,0.9997735513,0.9998390259,0.9999075086,0.9998985103,0.9998840135,0.9981768300,0.9993743916,0.9994752755,0.9995202303,0.9995926660,0.9996081536
400137271,1.2251836735,0.9995831738,0.9997665545,0.9998525218,0.9998950110,0.9999065087,0.9999175068,0.9972824054,0.9992031355,0.9995032469,0.9995407110,0.9996301368,0.9996890967
400137271,1.3067959184,0.9996386306,0.9997860458,0.9998705168,0.9999040092,0.9999140074,0.9998965107,0.9989690639,0.9992820159,0.9994952549,0.9995586948,0.9995671874,0.9996436270
400137271,1.3884081633,0.9997200784,0.9998095363,0.9999085084,0.9999000100,0.9998985103,0.9999080085,0.9979268071,0.9993379386,0.9994867635,0.9995836734,0.9996106517,0.9996681102
400137271,1.4700204082,0.9996606152,0.9998165337,0.9998880125,0.9999155071,0.9998910119,0.9998945111,0.9989690639,0.9994837666,0.9995571962,0.9995906676,0.9996086532,0.9996621142
400137271,1.5516326531,0.9997395678,0.9997945422,0.9999085084,0.9999095082,0.9999195065,0.9999125077,0.9992251009,0.9992201087,0.9994657855,0.9995846726,0.9996421281,0.9996626139
400137271,1.6332448980,0.9997735513,0.9998390259,0.9999075086,0.9998985103,0.9998840135,0.9997965414,0.9993743916,0.9994752755,0.9995202303,0.9995926660,0.9996081536,0.9993199628
400137271,1.7148571429,0.9997665545,0.9998525218,0.9998950110,0.9999065087,0.9999175068,0.9998245308,0.9992031355,0.9995032469,0.9995407110,0.9996301368,0.9996890967,0.9991921531
400137271,1.7964693878,0.9997860458,0.9998705168,0.9999040092,0.9999140074,0.9998965107,0.9997970412,0.9992820159,0.9994952549,0.9995586948,0.9995671874,0.9996436270,0.9993654030
400137271,1.8780816327,0.9998095363,0.9999085084,0.9999000100,0.9998985103,0.9999080085,0.9997860458,0.9993379386,0.9994867635,0.9995836734,0.9996106517,0.9996681102,0.9994233327
400137271,1.9596938776,0.9998165337,0.9998880125,0.9999155071,0.9998910119,0.9998945111,0.9998465236,0.9994837666,0.9995571962,0.9995906676,0.9996086532,0.9996621142,0.9993129723
400137271,2.0413061224,0.9997945422,0.9999085084,0.9999095082,0.9999195065,0.9999125077,0.9997500625,0.9992201087,0.9994657855,0.9995846726,0.9996421281,0.9996626139,0.9994298253
400137271,2.1229183673,0.9998390259,0.9999075086,0.9998985103,0.9998840135,0.9997965414,0.8166261824,0.9994752755,0.9995202303,0.9995926660,0.9996081536,0.9993199628,0.9190597835
400137271,2.2045306122,0.9998525218,0.9998950110,0.9999065087,0.9999175068,0.9998245308,0.7562437374,0.9995032469,0.9995407110,0.9996301368,0.9996890967,0.9991921531,0.8779677505
400137271,2.2861428571,0.9998705168,0.9999040092,0.9999140074,0.9998965107,0.9997970412,0.7687313895,0.9994952549,0.9995586948,0.9995671874,0.9996436270,0.9993654030,0.7669617424
400137271,2.3677551020,0.9999085084,0.9999000100,0.9998985103,0.9999080085,0.9997860458,0.7908892719,0.9994867635,0.9995836734,0.9996106517,0.9996681102,0.9994233327,0.8284849702
400137271,2.4493673469,0.9998880125,0.9999155071,0.9998910119,0.9998945111,0.9998465236,0.8196892640,0.9995571962,0.9995906676,0.9996086532,0.9996621142,0.9993129723,0.8267393977
400137271,2.5309795918,0.9999085084,0.9999095082,0.9999195065,0.9999125077,0.9997500625,0.7458453616,0.9994657855,0.9995846726,0.9996421281,0.9996626139,0.9994298253,0.7861805188
400137271,2.6125918367,0.9999075086,0.9998985103,0.9998840135,0.9997965414,0.8166261824,0.6806988190,0.9995202303,0.9995926660,0.9996081536,0.9993199628,0.9190597835,0.6525566517
400137271,2.6942040816,0.9998950110,0.9999065087,0.9999175068,0.9998245308,0.7562437374,0.7351270924,0.9995407110,0.9996301368,0.9996890967,0.9991921531,0.8779677505,0.6346071591
400137271,2.7758163265,0.9999040092,0.9999140074,0.9998965107,0.9997970412,0.7687313895,0.6006808718,0.9995586948,0.9995671874,0.9996436270,0.9993654030,0.7669617424,0.6731105786
400137271,2.8574285714,0.9999000100,0.9998985103,0.9999080085,0.9997860458,0.7908892719,0.7146139263,0.9995836734,0.9996106517,0.9996681102,0.9994233327,0.8284849702,0.6202508170
400137271,2.9390408163,0.9999155071,0.9998910119,0.9998945111,0.9998465236,0.8196892640,0.6650430748,0.9995906676,0.9996086532,0.9996621142,0.9993129723,0.8267393977,0.6222237156
400137271,3.0206530612,0.9999095082,0.9999195065,0.9999125077,0.9997500625,0.7458453616,0.6095722966,0.9995846726,0.9996421281,0.9996626139,0.9994298253,0.7861805188,0.6217026446
400137271,3.1022653061,0.9998985103,0.9998840135,0.9997965414,0.8166261824,0.6806988190,0.4977962560,0.9995926660,0.9996081536,0.9993199628,0.9190597835,0.6525566517,0.5432432491
400137271,3.1838775510,0.9999065087,0.9999175068,0.9998245308,0.7562437374,0.7351270924,0.5829223002,0.9996301368,0.9996890967,0.9991921531,0.8779677505,0.6346071591,0.5712142845
400137271,3.2654897959,0.9999140074,0.9998965107,0.9997970412,0.7687313895,0.6006808718,0.4790049726,0.9995671874,0.9996436270,0.9993654030,0.7669617424,0.6731105786,0.5856052377
400137271,3.3471020408,0.9998985103,0.9999080085,0.9997860458,0.7908892719,0.7146139263,0.6917516570,0.9996106517,0.9996681102,0.9994233327,0.8284849702,0.6202508170,0.5563180203
400137271,3.4287142857,0.9998910119,0.9998945111,0.9998465236,0.8196892640,0.6650430748,0.4955741511,0.9996086532,0.9996621142,0.9993129723,0.8267393977,0.6222237156,0.5518282622
400137271,3.5103265306,0.9999195065,0.9999125077,0.9997500625,0.7458453616,0.6095722966,0.5033311715,0.9996421281,0.9996626139,0.9994298253,0.7861805188,0.6217026446,0.5832117823
400137271,3.5919387755,0.9998840135,0.9997965414,0.8166261824,0.6806988190,0.4977962560,0.4776566547,0.9996081536,0.9993199628,0.9190597835,0.6525566517,0.5432432491,0.5247432169
400137271,3.6735510204,0.9999175068,0.9998245308,0.7562437374,0.7351270924,0.5829223002,0.4578730469,0.9996890967,0.9991921531,0.8779677505,0.6346071591,0.5712142845,0.4632998205
