Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,2.50)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,2.50)","(BEB,10,1.00,3.00)"
400137271,0.0010000000,0.0010004479,0.2603451905,0.3980958867,0.4420426527,0.4722370350,0.4899967725,0.0010004970,0.2911661578,0.3779352040,0.3886542167,0.4575466744,0.4605996185
400137271,0.0826122449,0.0826200452,0.3573361103,0.4318926918,0.4290320781,0.4761575129,0.4895856122,0.0826029284,0.3489084012,0.3962996597,0.3995742281,0.4637536152,0.4687000995
400137271,0.1642244898,0.1529243960,0.2880397419,0.3308034294,0.4731068529,0.4294731172,0.4899699415,0.1641404430,0.3270554699,0.3914465848,0.4041557347,0.4425375391,0.4509007158
400137271,0.2458367347,0.2384615252,0.4293583672,0.4586894060,0.4651218121,0.4452681650,0.4896244569,0.1941432962,0.3676569058,0.3931942293,0.3866715483,0.4642787317,0.4683334196
400137271,0.3274489796,0.2699656951,0.4129153553,0.4320152714,0.4721603284,0.4728971036,0.4902186548,0.2932401859,0.3745170730,0.4220131389,0.4321541521,0.4346988210,0.4677412261
400137271,0.4090612245,0.3082615963,0.4085425460,0.4156573346,0.4636553563,0.4741795031,0.4898338335,0.2673301532,0.3810735096,0.4252052168,0.4294188940,0.4587551481,0.4712438556
400137271,0.4906734694,0.2603451905,0.3980958867,0.4420426527,0.4722370350,0.4899967725,0.4901921477,0.2911661578,0.3779352040,0.3886542167,0.4575466744,0.4605996185,0.4663085917
400137271,0.5722857143,0.3573361103,0.4318926918,0.4290320781,0.4761575129,0.4895856122,0.4904657284,0.3489084012,0.3962996597,0.3995742281,0.4637536152,0.4687000995,0.4686585609
400137271,0.6538979592,0.2880397419,0.3308034294,0.4731068529,0.4294731172,0.4899699415,0.4899194200,0.3270554699,0.3914465848,0.4041557347,0.4425375391,0.4509007158,0.4761745243
400137271,0.7355102041,0.4293583672,0.4586894060,0.4651218121,0.4452681650,0.4896244569,0.4899774806,0.3676569058,0.3931942293,0.3866715483,0.4642787317,0.4683334196,0.4720176261
400137271,0.8171224490,0.4129153553,0.4320152714,0.4721603284,0.4728971036,0.4902186548,0.4900444225,0.3745170730,0.4220131389,0.4321541521,0.4346988210,0.4677412261,0.4444729116
400137271,0.8987346939,0.4085425460,0.4156573346,0.4636553563,0.4741795031,0.4898338335,0.4896613338,0.3810735096,0.4252052168,0.4294188940,0.4587551481,0.4712438556,0.4397851870
