Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,1.0104896006,1.1004692858
400137271,0.0121010101,1.0161312568,1.1061062916
400137271,0.0232020202,1.0218904010,1.1119014976
400137271,0.0343030303,1.0277649136,1.1178138860
400137271,0.0454040404,1.0337833378,1.1238454114
400137271,0.0565050505,1.0399389638,1.1300264591
400137271,0.0676060606,1.0462687032,1.1363300448
400137271,0.0787070707,1.0527411288,1.1428043191
400137271,0.0898080808,1.0593877226,1.1494334230
400137271,0.1009090909,1.0661577100,1.1562600463
400137271,0.1120101010,1.0731183908,1.1632257779
400137271,0.1231111111,1.0802403513,1.1703761004
400137271,0.1342121212,1.0875483162,1.1777036039
400137271,0.1453131313,1.0950333787,1.1852324808
400137271,0.1564141414,1.1027156848,1.1929623271
400137271,0.1675151515,1.1106045035,1.2008926642
400137271,0.1786161616,1.1187067630,1.2090399799
400137271,0.1897171717,1.1270333015,1.2174081322
400137271,0.2008181818,1.1355933377,1.2259957651
400137271,0.2119191919,1.1444026026,1.2348251371
400137271,0.2230202020,1.1534534936,1.2439137286
400137271,0.2341212121,1.1627744208,1.2532461088
400137271,0.2452222222,1.1723652694,1.2628540616
400137271,0.2563232323,1.1822335008,1.2727533862
400137271,0.2674242424,1.1924113438,1.2829418661
400137271,0.2785252525,1.2028963032,1.2934498018
400137271,0.2896262626,1.2137280335,1.3042813527
400137271,0.3007272727,1.2248984799,1.3154652556
400137271,0.3118282828,1.2364436179,1.3270030918
400137271,0.3229292929,1.2483360026,1.3389399106
400137271,0.3340303030,1.2606476906,1.3512536687
400137271,0.3451313131,1.2733684046,1.3639942922
400137271,0.3562323232,1.2865464957,1.3771534413
400137271,0.3673333333,1.3001777529,1.3907915668
400137271,0.3784343434,1.3142729349,1.4049369908
400137271,0.3895353535,1.3289240472,1.4195665053
400137271,0.4006363636,1.3440755181,1.4347738261
400137271,0.4117373737,1.3597802055,1.4505583515
400137271,0.4228383838,1.3761239884,1.4669127895
400137271,0.4339393939,1.3930701930,1.4839443539
400137271,0.4450404040,1.4107109518,1.5016386653
400137271,0.4561414141,1.4291002620,1.5200410346
400137271,0.4672424242,1.4482278651,1.5392468269
400137271,0.4783434343,1.4682126295,1.5592265094
400137271,0.4894444444,1.4890567965,1.5800956530
400137271,0.5005454545,1.5108435411,1.6018802340
400137271,0.5116464646,1.5336000920,1.6246886778
400137271,0.5227474747,1.5574434958,1.6485435065
400137271,0.5338484848,1.5823826289,1.6735432570
400137271,0.5449494949,1.6085347675,1.6997402238
400137271,0.5560505051,1.6359772604,1.7272903064
400137271,0.5671515152,1.6648395935,1.7562834038
400137271,0.5782525253,1.6952576240,1.7868046941
400137271,0.5893535354,1.7273302647,1.8190195680
400137271,0.6004545455,1.7612093937,1.8529626959
400137271,0.6115555556,1.7970164296,1.8888497060
400137271,0.6226565657,1.8349147195,1.9268364476
400137271,0.6337575758,1.8750824574,1.9671209680
400137271,0.6448585859,1.9177808584,2.0098914342
400137271,0.6559595960,1.9632560499,2.0554295639
400137271,0.6670606061,2.0117584831,2.1039920349
400137271,0.6781616162,2.0636685540,2.1559158045
400137271,0.6892626263,2.1193020432,2.2115044848
400137271,0.7003636364,2.1790056258,2.2712152735
400137271,0.7114646465,2.2432480860,2.3354728632
400137271,0.7225656566,2.3126331398,2.4049372277
400137271,0.7336666667,2.3878085335,2.4801729131
400137271,0.7447676768,2.4696241267,2.5620952391
400137271,0.7558686869,2.5590116893,2.6515297712
400137271,0.7669696970,2.6569842594,2.7495364421
400137271,0.7780707071,2.7648155387,2.8573898561
400137271,0.7891717172,2.8840613918,2.9765947004
400137271,0.8002727273,3.0164029171,3.1088805460
400137271,0.8113737374,3.1641626980,3.2564672201
400137271,0.8224747475,3.3304659324,3.4225958003
400137271,0.8335757576,3.5192298564,3.6111995390
400137271,0.8446767677,3.7350957696,3.8267928079
400137271,0.8557777778,3.9840474999,4.0754286723
400137271,0.8668787879,4.2750292940,4.3662698088
400137271,0.8779797980,4.6200391485,4.7111552618
400137271,0.8890808081,5.0343172963,5.1252642945
400137271,0.9001818182,5.5399192324,5.6309794880
400137271,0.9112828283,6.1734956045,6.2638959733
400137271,0.9223838384,6.9908862629,7.0803844080
400137271,0.9334848485,8.0946856694,8.1822014948
400137271,0.9445858586,9.6418456672,9.7264061966
400137271,0.9556868687,11.9369295547,12.0204110118
400137271,0.9667878788,15.8346337850,15.9146172090
400137271,0.9778888889,23.8475457528,23.9126753724
400137271,0.9889898990,47.7793695863,47.8267230201
400137271,1.0000909091,2404.2165025886,2404.6697128323
400137271,1.0111919192,56080.6611326520,56085.7855840375
400137271,1.0222929293,109763.4575563099,109773.2124378050
400137271,1.0333939394,162292.9023941522,162307.1882519452
400137271,1.0444949495,213705.7695043250,213724.4900210185
400137271,1.0555959596,264037.2857999377,264060.3477780175
400137271,1.0666969697,313321.2118486276,313348.5249186083
400137271,1.0777979798,361589.9172714147,361621.3939005384
400137271,1.0888989899,408874.4517272598,408910.0070259433
400137271,1.1000000000,455204.6114314426,455244.1631368322

