Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,4.0043695985,13.0275331049
400137271,0.0467916667,4.2361652693,14.6480853572
400137271,0.0925833333,4.5273145706,17.5834678529
400137271,0.1383750000,4.9078417138,24.7187210533
400137271,0.1841666667,5.4272947526,71.7543967350
400137271,0.2299583333,6.0037235874,908722.5384974011
400137271,0.2757500000,6.7332737857,1731060.7240153796
400137271,0.3215416667,7.9051502132,2173049.8628105242
400137271,0.3673333333,10.1300439191,2407731.4211999597
400137271,0.4131250000,16.1771900369,2522462.7165471269
400137271,0.4589166667,101.4226130391,2566458.1333810729
400137271,0.5047083333,243297.7428359225,2810901.6914022705
400137271,0.5505000000,503139.6969009452,3045051.0603080750
400137271,0.5962916667,733100.2185841867,3233443.4815880158
400137271,0.6420833333,938041.2489555418,3387236.1120245717
400137271,0.6878750000,1121792.4436643168,3514812.5492939041
400137271,0.7336666667,1287527.4078051662,3621343.3501433162
400137271,0.7794583333,1437733.5321417430,3711689.4278139938
400137271,0.8252500000,1574483.8950010915,3789042.4223645041
400137271,0.8710416667,1699604.4723572328,3854887.2045431016
400137271,0.9168333333,1814453.4820282869,3912030.5789262024
400137271,0.9626250000,1920225.7895037655,3962114.1183567094
400137271,1.0084166667,2017994.6659175120,4005915.4848631383
400137271,1.0542083333,2108610.9622766385,4044674.5693079378
400137271,1.1000000000,2192852.4465336571,4078951.7234393549

