Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,5000944,4999056
400137271,0.0121010101,5000944,4999056
400137271,0.0232020202,5000944,4999056
400137271,0.0343030303,5000944,4999056
400137271,0.0454040404,5000944,4999056
400137271,0.0565050505,5000944,4999056
400137271,0.0676060606,5000944,4999056
400137271,0.0787070707,5000944,4999056
400137271,0.0898080808,5000944,4999056
400137271,0.1009090909,5000944,4999056
400137271,0.1120101010,5000944,4999056
400137271,0.1231111111,5000944,4999056
400137271,0.1342121212,5000944,4999056
400137271,0.1453131313,5000944,4999056
400137271,0.1564141414,5000944,4999056
400137271,0.1675151515,5000944,4999056
400137271,0.1786161616,5000944,4999056
400137271,0.1897171717,5000944,4999056
400137271,0.2008181818,5000944,4999056
400137271,0.2119191919,5000944,4999056
400137271,0.2230202020,5000944,4999056
400137271,0.2341212121,5000944,4999056
400137271,0.2452222222,5000944,4999056
400137271,0.2563232323,5000944,4999056
400137271,0.2674242424,5000944,4999056
400137271,0.2785252525,5000944,4999056
400137271,0.2896262626,5000944,4999056
400137271,0.3007272727,5000944,4999056
400137271,0.3118282828,5000944,4999056
400137271,0.3229292929,5000944,4999056
400137271,0.3340303030,5000944,4999056
400137271,0.3451313131,5000944,4999056
400137271,0.3562323232,5000944,4999056
400137271,0.3673333333,5000944,4999056
400137271,0.3784343434,5000944,4999056
400137271,0.3895353535,5000944,4999056
400137271,0.4006363636,5000944,4999056
400137271,0.4117373737,5000944,4999056
400137271,0.4228383838,5000944,4999056
400137271,0.4339393939,5000944,4999056
400137271,0.4450404040,5000944,4999056
400137271,0.4561414141,5000944,4999056
400137271,0.4672424242,5000944,4999056
400137271,0.4783434343,5000944,4999056
400137271,0.4894444444,5000944,4999056
400137271,0.5005454545,5000944,4999056
400137271,0.5116464646,5000944,4999056
400137271,0.5227474747,5000944,4999056
400137271,0.5338484848,5000944,4999056
400137271,0.5449494949,5000944,4999056
400137271,0.5560505051,5000944,4999056
400137271,0.5671515152,5000944,4999056
400137271,0.5782525253,5000944,4999056
400137271,0.5893535354,5000944,4999056
400137271,0.6004545455,5000944,4999056
400137271,0.6115555556,5000944,4999056
400137271,0.6226565657,5000944,4999056
400137271,0.6337575758,5000944,4999056
400137271,0.6448585859,5000944,4999056
400137271,0.6559595960,5000944,4999056
400137271,0.6670606061,5000944,4999056
400137271,0.6781616162,5000944,4999056
400137271,0.6892626263,5000944,4999056
400137271,0.7003636364,5000944,4999056
400137271,0.7114646465,5000944,4999056
400137271,0.7225656566,5000944,4999056
400137271,0.7336666667,5000944,4999056
400137271,0.7447676768,5000944,4999056
400137271,0.7558686869,5000944,4999056
400137271,0.7669696970,5000944,4999056
400137271,0.7780707071,5000944,4999056
400137271,0.7891717172,5000944,4999056
400137271,0.8002727273,5000944,4999056
400137271,0.8113737374,5000944,4999056
400137271,0.8224747475,5000944,4999056
400137271,0.8335757576,5000944,4999056
400137271,0.8446767677,5000944,4999056
400137271,0.8557777778,5000944,4999056
400137271,0.8668787879,5000944,4999056
400137271,0.8779797980,5000944,4999056
400137271,0.8890808081,5000944,4999056
400137271,0.9001818182,5000944,4999056
400137271,0.9112828283,5000944,4999056
400137271,0.9223838384,5000944,4999056
400137271,0.9334848485,5000944,4999056
400137271,0.9445858586,5000944,4999056
400137271,0.9556868687,5000944,4999056
400137271,0.9667878788,5000944,4999056
400137271,0.9778888889,5000944,4999056
400137271,0.9889898990,5000944,4999056
400137271,1.0000909091,5000944,4999056
400137271,1.0111919192,5000944,4999056
400137271,1.0222929293,5000944,4999056
400137271,1.0333939394,5000944,4999056
400137271,1.0444949495,5000944,4999056
400137271,1.0555959596,5000944,4999056
400137271,1.0666969697,5000944,4999056
400137271,1.0777979798,5000944,4999056
400137271,1.0888989899,5000944,4999056
400137271,1.1000000000,5000944,4999056

