Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,2.0004757413,11.0251480356
400137271,0.0234285714,2.0120760389,11.6727198262
400137271,0.0458571429,2.0239465736,12.5038949310
400137271,0.0682857143,2.0365224549,13.6147127645
400137271,0.0907142857,2.0495796175,15.1820010392
400137271,0.1131428571,2.0633542787,17.5536083295
400137271,0.1355714286,2.0778416849,21.5715565229
400137271,0.1580000000,2.0927709004,29.8785990058
400137271,0.1804285714,2.1081976696,57.2046105998
400137271,0.2028571429,2.1240756256,177386.9174946148
400137271,0.2252857143,2.1332156279,1321479.4026012272
400137271,0.2477142857,2.1427219480,2152504.3648984595
400137271,0.2701428571,2.1523315791,2762593.5004618908
400137271,0.2925714286,2.1625716259,3212656.0099731060
400137271,0.3150000000,2.1728529565,3544996.8702507387
400137271,0.3374285714,2.1836607245,3789642.4073019689
400137271,0.3598571429,2.1949156075,3967412.0404782388
400137271,0.3822857143,2.2062548687,4094419.0701035312
400137271,0.4047142857,2.2182612956,4181789.7231534221
400137271,0.4271428571,2.2302871585,4239127.1758654518
400137271,0.4495714286,2.2424982041,4272602.5436152788
400137271,0.4720000000,2.2554742441,4287054.0770119326
400137271,0.4944285714,2.2688557157,4286618.9401724134
400137271,0.5168571429,2.2824586336,4274709.4671701435
400137271,0.5392857143,2.2970064224,4253457.1915655946
400137271,0.5617142857,2.3115743534,4225140.6652246695
400137271,0.5841428571,2.3269343627,4191363.5625826195
400137271,0.6065714286,2.3426358493,4153247.6379943546
400137271,0.6290000000,2.3591925942,4111757.9399084402
400137271,0.6514285714,2.3759364969,4067546.8794399477
400137271,0.6738571429,2.3934494945,4021517.2405811041
400137271,0.6962857143,2.4116129355,3974340.5422552805
400137271,0.7187142857,2.4305676555,3926102.9319819352
400137271,0.7411428571,2.4506096881,3877332.8812355222
400137271,0.7635714286,2.4709784231,3828080.8240564838
400137271,0.7860000000,2.4924162597,3778814.6638216972
400137271,0.8084285714,2.5148508082,3729699.2824661531
400137271,0.8308571429,2.5385811051,3680765.8078490552
400137271,0.8532857143,2.5625361875,3632198.0970646297
400137271,0.8757142857,2.5883365286,3584379.0473593976
400137271,0.8981428571,2.6155732816,3537152.1131158033
400137271,0.9205714286,2.6435536901,3490461.2991439775
400137271,0.9430000000,2.6726675463,3444624.0836874796
400137271,0.9654285714,2.7039119783,3399210.4504678166
400137271,0.9878571429,2.7361868277,3354784.4178710417
400137271,1.0102857143,2.7711569437,3311142.6299565793
400137271,1.0327142857,2.8076833564,3268209.5979849529
400137271,1.0551428571,2.8464548734,3226170.2345936387
400137271,1.0775714286,2.8874115349,3184894.2892361153
400137271,1.1000000000,2.9309686155,3144473.3563213339

