Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,0.5101236733,0.6001113845
400137271,0.0234285714,0.5129645325,0.6029564247
400137271,0.0458571429,0.5158878920,0.6058646107
400137271,0.0682857143,0.5189013400,0.6088036971
400137271,0.0907142857,0.5219863977,0.6118028469
400137271,0.1131428571,0.5251359540,0.6148854301
400137271,0.1355714286,0.5283865574,0.6180191594
400137271,0.1580000000,0.5317235188,0.6212234822
400137271,0.1804285714,0.5351530330,0.6245012381
400137271,0.2028571429,0.5386743334,0.6278532288
400137271,0.2252857143,0.5422861532,0.6312817233
400137271,0.2477142857,0.5459877137,0.6347991120
400137271,0.2701428571,0.5498005182,0.6383925944
400137271,0.2925714286,0.5537202199,0.6420696676
400137271,0.3150000000,0.5577653576,0.6458270529
400137271,0.3374285714,0.5619067307,0.6496986634
400137271,0.3598571429,0.5661803138,0.6536582091
400137271,0.3822857143,0.5705894291,0.6577101270
400137271,0.4047142857,0.5751118586,0.6618833749
400137271,0.4271428571,0.5797748551,0.6661654608
400137271,0.4495714286,0.5845714597,0.6705711288
400137271,0.4720000000,0.5895299951,0.6750784438
400137271,0.4944285714,0.5946329854,0.6797235520
400137271,0.5168571429,0.5999009860,0.6844951828
400137271,0.5392857143,0.6053273951,0.6894169774
400137271,0.5617142857,0.6109165284,0.6944996770
400137271,0.5841428571,0.6166820228,0.6997470251
400137271,0.6065714286,0.6226552392,0.7051459502
400137271,0.6290000000,0.6288150076,0.7107321159
400137271,0.6514285714,0.6351918062,0.7164862638
400137271,0.6738571429,0.6417811870,0.7224398649
400137271,0.6962857143,0.6485924740,0.7286019418
400137271,0.7187142857,0.6556497152,0.7349719038
400137271,0.7411428571,0.6629574275,0.7415730948
400137271,0.7635714286,0.6705282585,0.7484184996
400137271,0.7860000000,0.6783654063,0.7555333332
400137271,0.8084285714,0.6865156528,0.7628964968
400137271,0.8308571429,0.6949637114,0.7705479490
400137271,0.8532857143,0.7037364011,0.7785020771
400137271,0.8757142857,0.7128610018,0.7867776057
400137271,0.8981428571,0.7223545101,0.7953991229
400137271,0.9205714286,0.7322253550,0.8043967597
400137271,0.9430000000,0.7425172130,0.8137769993
400137271,0.9654285714,0.7532435000,0.8235705437
400137271,0.9878571429,0.7644430985,0.8338128301
400137271,1.0102857143,0.7761509525,0.8445210389
400137271,1.0327142857,0.7883812290,0.8557497628
400137271,1.0551428571,0.8012008663,0.8675060302
400137271,1.0775714286,0.8145903279,0.8798595857
400137271,1.1000000000,0.8286228399,0.8928462646

