Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,1.1004666837,2.0004910090
400137271,0.0234285714,1.1119425512,2.0119686713
400137271,0.0458571429,1.1240630398,2.0240527376
400137271,0.0682857143,1.1366473854,2.0368432444
400137271,0.0907142857,1.1498668603,2.0501715650
400137271,0.1131428571,1.1637009553,2.0641669230
400137271,0.1355714286,1.1783975565,2.0787668566
400137271,0.1580000000,1.1938334518,2.0941968976
400137271,0.1804285714,1.2102011156,2.1104653889
400137271,0.2028571429,1.2274923573,2.1276806218
400137271,0.2252857143,1.2457410372,2.1458861136
400137271,0.2477142857,1.2649053120,2.1652634607
400137271,0.2701428571,1.2853049814,2.1857041256
400137271,0.2925714286,1.3072170915,2.2073419896
400137271,0.3150000000,1.3304656301,2.2305022551
400137271,0.3374285714,1.3552211233,2.2552857522
400137271,0.3598571429,1.3815815675,2.2819133175
400137271,0.3822857143,1.4098838167,2.3104326629
400137271,0.4047142857,1.4405371851,2.3408967350
400137271,0.4271428571,1.4733654296,2.3739550730
400137271,0.4495714286,1.5091052755,2.4094929984
400137271,0.4720000000,1.5475816281,2.4483595427
400137271,0.4944285714,1.5896389072,2.4906020793
400137271,0.5168571429,1.6360152737,2.5366568803
400137271,0.5392857143,1.6866695404,2.5874649667
400137271,0.5617142857,1.7421816458,2.6436309639
400137271,0.5841428571,1.8038661290,2.7056551424
400137271,0.6065714286,1.8732146252,2.7744888429
400137271,0.6290000000,1.9508131117,2.8516348754
400137271,0.6514285714,2.0383758285,2.9385926411
400137271,0.6738571429,2.1380487075,3.0371560024
400137271,0.6962857143,2.2527135479,3.1500394561
400137271,0.7187142857,2.3851493339,3.2814550901
400137271,0.7411428571,2.5415883676,3.4357600160
400137271,0.7635714286,2.7283461723,3.6199497531
400137271,0.7860000000,2.9548070192,3.8429777544
400137271,0.8084285714,3.2339395802,4.1186025270
400137271,0.8308571429,3.5848714380,4.4669300786
400137271,0.8532857143,4.0403089655,4.9213152970
400137271,0.8757142857,4.6553350116,5.5394956673
400137271,0.8981428571,5.5560994912,6.4253093733
400137271,0.9205714286,6.9907574966,7.8138709990
400137271,0.9430000000,9.5546551198,10.2689075456
400137271,0.9654285714,15.6951193068,15.9237645723
400137271,0.9878571429,45.8540898946,41.0128988598
400137271,1.0102857143,15165.5553515574,15274.8948070105
400137271,1.0327142857,47341.1634150644,47589.7952767932
400137271,1.0551428571,78218.3651251017,78461.7757245027
400137271,1.0775714286,107811.1744200932,108047.7270290031
400137271,1.1000000000,136196.3039507932,136428.0945150440

