Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,2500422,2499578
400137271,0.0234285714,2500422,2499578
400137271,0.0458571429,2500423,2499577
400137271,0.0682857143,2500423,2499577
400137271,0.0907142857,2500423,2499577
400137271,0.1131428571,2500423,2499577
400137271,0.1355714286,2500423,2499577
400137271,0.1580000000,2500428,2499572
400137271,0.1804285714,2500433,2499567
400137271,0.2028571429,2518270,2481730
400137271,0.2252857143,2649135,2350865
400137271,0.2477142857,2767023,2232977
400137271,0.2701428571,2873383,2126617
400137271,0.2925714286,2970183,2029817
400137271,0.3150000000,3058642,1941358
400137271,0.3374285714,3139603,1860397
400137271,0.3598571429,3214190,1785810
400137271,0.3822857143,3282931,1717069
400137271,0.4047142857,3346726,1653274
400137271,0.4271428571,3405779,1594221
400137271,0.4495714286,3460766,1539234
400137271,0.4720000000,3512178,1487822
400137271,0.4944285714,3560323,1439677
400137271,0.5168571429,3605402,1394598
400137271,0.5392857143,3647804,1352196
400137271,0.5617142857,3687670,1312330
400137271,0.5841428571,3725198,1274802
400137271,0.6065714286,3760629,1239371
400137271,0.6290000000,3794146,1205854
400137271,0.6514285714,3825948,1174052
400137271,0.6738571429,3856098,1143902
400137271,0.6962857143,3884678,1115322
400137271,0.7187142857,3911895,1088105
400137271,0.7411428571,3937797,1062203
400137271,0.7635714286,3962540,1037460
400137271,0.7860000000,3986147,1013853
400137271,0.8084285714,4008701,991299
400137271,0.8308571429,4030304,969696
400137271,0.8532857143,4051001,948999
400137271,0.8757142857,4070773,929227
400137271,0.8981428571,4089735,910265
400137271,0.9205714286,4107967,892033
400137271,0.9430000000,4125445,874555
400137271,0.9654285714,4142329,857671
400137271,0.9878571429,4158522,841478
400137271,1.0102857143,4174116,825884
400137271,1.0327142857,4189164,810836
400137271,1.0551428571,4203653,796347
400137271,1.0775714286,4217645,782355
400137271,1.1000000000,4231143,768857

