Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,1.0104896006,1.1004692858
400137271,0.0121010101,1.0161300570,1.1061074918
400137271,0.0232020202,1.0219081976,1.1118836942
400137271,0.0343030303,1.0277731120,1.1178056844
400137271,0.0454040404,1.0337947356,1.1238340093
400137271,0.0565050505,1.0399615595,1.1300038549
400137271,0.0676060606,1.0462954982,1.1363032397
400137271,0.0787070707,1.0527575257,1.1427879160
400137271,0.0898080808,1.0594147175,1.1494064179
400137271,0.1009090909,1.0661705076,1.1562472439
400137271,0.1120101010,1.0731117921,1.1632323791
400137271,0.1231111111,1.0802397514,1.1703767006
400137271,0.1342121212,1.0875537152,1.1776982029
400137271,0.1453131313,1.0950957669,1.1851700690
400137271,0.1564141414,1.1027976693,1.1928803116
400137271,0.1675151515,1.1107240809,1.2007730416
400137271,0.1786161616,1.1188757311,1.2088709480
400137271,0.1897171717,1.1272184666,1.2172228972
400137271,0.2008181818,1.1358182953,1.2257707226
400137271,0.2119191919,1.1446339589,1.2345936934
400137271,0.2230202020,1.1537102451,1.2436568801
400137271,0.2341212121,1.1630633662,1.2529570542
400137271,0.2452222222,1.1726406174,1.2625786096
400137271,0.2563232323,1.1825382433,1.2724485286
400137271,0.2674242424,1.1927584783,1.2825946005
400137271,0.2785252525,1.2032750317,1.2930709302
400137271,0.2896262626,1.2141517535,1.3038574727
400137271,0.3007272727,1.2253513944,1.3150121700
400137271,0.3118282828,1.2370071115,1.3264393854
400137271,0.3229292929,1.2489982776,1.3382773855
400137271,0.3340303030,1.2612587752,1.3506423532
400137271,0.3451313131,1.2740372783,1.3633251658
400137271,0.3562323232,1.2872047714,1.3764949169
400137271,0.3673333333,1.3007416465,1.3902274602
400137271,0.3784343434,1.3148614238,1.4043482796
400137271,0.3895353535,1.3295521286,1.4189381866
400137271,0.4006363636,1.3447565895,1.4340924975
400137271,0.4117373737,1.3605040688,1.4498342148
400137271,0.4228383838,1.3768192571,1.4662172582
400137271,0.4339393939,1.3937578631,1.4832564240
400137271,0.4450404040,1.4114486125,1.5009007260
400137271,0.4561414141,1.4299734971,1.5191674697
400137271,0.4672424242,1.4492400740,1.5382342357
400137271,0.4783434343,1.4693048233,1.5581339031
400137271,0.4894444444,1.4900480094,1.5791040658
400137271,0.5005454545,1.5119585306,1.6007648234
400137271,0.5116464646,1.5349210426,1.6233672283
400137271,0.5227474747,1.5587442503,1.6472422608
400137271,0.5338484848,1.5835952000,1.6723302280
400137271,0.5449494949,1.6098891118,1.6983853680
400137271,0.5560505051,1.6372800145,1.7259870604
400137271,0.5671515152,1.6662105346,1.7549119448
400137271,0.5782525253,1.6969031133,1.7851585833
400137271,0.5893535354,1.7292433035,1.8171058067
400137271,0.6004545455,1.7632118157,1.8509595177
400137271,0.6115555556,1.7991810210,1.8866842971
400137271,0.6226565657,1.8366427932,1.9251077212
400137271,0.6337575758,1.8767011517,1.9655016623
400137271,0.6448585859,1.9199712449,2.0077002205
400137271,0.6559595960,1.9653804488,2.0533043626
400137271,0.6670606061,2.0139290733,2.1018206249
400137271,0.6781616162,2.0662124738,2.1533709240
400137271,0.6892626263,2.1226042197,2.2082010612
400137271,0.7003636364,2.1826109451,2.2676085926
400137271,0.7114646465,2.2469573856,2.3317621626
400137271,0.7225656566,2.3159653107,2.4016037983
400137271,0.7336666667,2.3903914458,2.4775890253
400137271,0.7447676768,2.4722874239,2.5594309361
400137271,0.7558686869,2.5614482293,2.6490923110
400137271,0.7669696970,2.6598017275,2.7467179099
400137271,0.7780707071,2.7680417296,2.8541624467
400137271,0.7891717172,2.8866840966,2.9739710051
400137271,0.8002727273,3.0209282627,3.1043534913
400137271,0.8113737374,3.1699180114,3.2507097331
400137271,0.8224747475,3.3352986199,3.4177612876
400137271,0.8335757576,3.5268384199,3.6035881020
400137271,0.8446767677,3.7421246425,3.8197612803
400137271,0.8557777778,3.9934015338,4.0660711056
400137271,0.8668787879,4.2849496211,4.3563457351
400137271,0.8779797980,4.6295711488,4.7016196615
400137271,0.8890808081,5.0424949523,5.1170835500
400137271,0.9001818182,5.5507259921,5.6201686469
400137271,0.9112828283,6.1841068011,6.2532796952
400137271,0.9223838384,7.0010131509,7.0702526344
400137271,0.9334848485,8.1220423942,8.1548115284
400137271,0.9445858586,9.6704246498,9.6977746270
400137271,0.9556868687,11.9958873190,11.9612719698
400137271,0.9667878788,15.8729825209,15.8759196220
400137271,0.9778888889,23.8689793126,23.8907804806
400137271,0.9889898990,47.7412263862,47.7567020632
400137271,1.0000909091,955.3288806298,935.4839377972
400137271,1.0111919192,46.6847791323,46.4481928962
400137271,1.0222929293,23.8359158686,23.6823199600
400137271,1.0333939394,16.2164488645,16.2203260552
400137271,1.0444949495,12.4459379532,12.4689743021
400137271,1.0555959596,10.1836392227,10.2191319352
400137271,1.0666969697,8.6963116486,8.6978117454
400137271,1.0777979798,7.5919123823,7.6492413609
400137271,1.0888989899,6.7791869215,6.8602625764
400137271,1.1000000000,6.1665292408,6.2386525425

