Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,11.0494433155,20.0506482388
400137271,0.0015979899,11.0801835929,20.0813631222
400137271,0.0021959799,11.1111862779,20.1124899226
400137271,0.0027939698,11.1422661727,20.1445050701
400137271,0.0033919598,11.1733574256,20.1774162594
400137271,0.0039899497,11.2058242312,20.2098151264
400137271,0.0045879397,11.2380210021,20.2433836968
400137271,0.0051859296,11.2706168836,20.2775096786
400137271,0.0057839196,11.3031752183,20.3123452230
400137271,0.0063819095,11.3356750785,20.3478972147
400137271,0.0069798995,11.3692241073,20.3831870839
400137271,0.0075778894,11.4028464039,20.4193403734
400137271,0.0081758794,11.4362335336,20.4566440696
400137271,0.0087738693,11.4708428873,20.4936119671
400137271,0.0093718593,11.5057389386,20.5311244314
400137271,0.0099698492,11.5397603838,20.5704464275
400137271,0.0105678392,11.5758134156,20.6087105701
400137271,0.0111658291,11.6113835585,20.6484334744
400137271,0.0117638191,11.6475897327,20.6886049034
400137271,0.0123618090,11.6841159646,20.7294658688
400137271,0.0129597990,11.7214529187,20.7706699747
400137271,0.0135577889,11.7594079889,20.8123228454
400137271,0.0141557789,11.7974648533,20.8549366773
400137271,0.0147537688,11.8362770537,20.8980020445
400137271,0.0153517588,11.8750967018,20.9422051277
400137271,0.0159497487,11.9148502354,20.9866517492
400137271,0.0165477387,11.9549150565,21.0321388162
400137271,0.0171457286,11.9953750160,21.0785511685
400137271,0.0177437186,12.0370127163,21.1250508200
400137271,0.0183417085,12.0782644624,21.1732637381
400137271,0.0189396985,12.1209395756,21.2214435828
400137271,0.0195376884,12.1637235427,21.2708132696
400137271,0.0201356784,12.2067188749,21.3213294024
400137271,0.0207336683,12.2503146788,21.3726228027
400137271,0.0213316583,12.2952459930,21.4240316264
400137271,0.0219296482,12.3409911940,21.4760186005
400137271,0.0225276382,12.3859771876,21.5301388725
400137271,0.0231256281,12.4331257456,21.5835564899
400137271,0.0237236181,12.4798290267,21.6390373579
400137271,0.0243216080,12.5267106229,21.6959195917
400137271,0.0249195980,12.5743452202,21.7535797210
400137271,0.0255175879,12.6231533939,21.8116497403
400137271,0.0261155779,12.6727426748,21.8706887034
400137271,0.0267135678,12.7231974768,21.9306813649
400137271,0.0273115578,12.7740108834,21.9921451686
400137271,0.0279095477,12.8263583224,22.0540743263
400137271,0.0285075377,12.8797666142,22.1170420970
400137271,0.0291055276,12.9335699853,22.1816759841
400137271,0.0297035176,12.9882150807,22.2474449790
400137271,0.0303015075,13.0435913292,22.3145103449
400137271,0.0308994975,13.1000752417,22.3824815553
400137271,0.0314974874,13.1573156843,22.4518271623
400137271,0.0320954774,13.2155680532,22.5224719241
400137271,0.0326934673,13.2741228933,22.5951018483
400137271,0.0332914573,13.3344208096,22.6683061046
400137271,0.0338894472,13.3954986005,22.7430955722
400137271,0.0344874372,13.4575416039,22.8193579361
400137271,0.0350854271,13.5217770129,22.8960909638
400137271,0.0356834171,13.5857871328,22.9755747284
400137271,0.0362814070,13.6514164422,23.0562062449
400137271,0.0368793970,13.7186381084,23.1379560242
400137271,0.0374773869,13.7859769064,23.2224167008
400137271,0.0380753769,13.8553173488,23.3077518078
400137271,0.0386733668,13.9258132766,23.3949558047
400137271,0.0392713568,13.9981256624,23.4835542200
400137271,0.0398693467,14.0722326353,23.5736188705
400137271,0.0404673367,14.1471776339,23.6660066651
400137271,0.0410653266,14.2237504298,23.7601288785
400137271,0.0416633166,14.3023163727,23.8557710120
400137271,0.0422613065,14.3824206607,23.9535671397
400137271,0.0428592965,14.4638237239,24.0537530281
400137271,0.0434572864,14.5482204570,24.1547648467
400137271,0.0440552764,14.6329775375,24.2594915794
400137271,0.0446532663,14.7208767406,24.3651532611
400137271,0.0452512563,14.8100272904,24.4737597942
400137271,0.0458492462,14.9013211972,24.5845617455
400137271,0.0464472362,14.9939950620,24.6985248558
400137271,0.0470452261,15.0883607143,24.8155592914
400137271,0.0476432161,15.1857246214,24.9344046388
400137271,0.0482412060,15.2852755207,25.0560387690
400137271,0.0488391960,15.3873572594,25.1805613088
400137271,0.0494371859,15.4918409670,25.3083411966
400137271,0.0500351759,15.5989823466,25.4391802308
400137271,0.0506331658,15.7090917063,25.5730867709
400137271,0.0512311558,15.8222886987,25.7100717254
400137271,0.0518291457,15.9385255147,25.8502996657
400137271,0.0524271357,16.0575260891,25.9940721666
400137271,0.0530251256,16.1799790926,26.1409724129
400137271,0.0536231156,16.3050852851,26.2922341414
400137271,0.0542211055,16.4345020386,26.4465574678
400137271,0.0548190955,16.5671882309,26.6046287594
400137271,0.0554170854,16.7016970071,26.7685093223
400137271,0.0560150754,16.8403583772,26.9362531310
400137271,0.0566130653,16.9838546522,27.1076698681
400137271,0.0572110553,17.1314354484,27.2837257377
400137271,0.0578090452,17.2839145563,27.4641852947
400137271,0.0584070352,17.4408535103,27.6501402493
400137271,0.0590050251,17.6031041099,27.8415219808
400137271,0.0596030151,17.7695161579,28.0391969445
400137271,0.0602010050,17.9423813570,28.2412270958
400137271,0.0607989950,18.1191908045,28.4504897071
400137271,0.0613969849,18.3017244935,28.6660748547
400137271,0.0619949749,18.4921094816,28.8864558748
400137271,0.0625929648,18.6863042893,29.1155845369
400137271,0.0631909548,18.8882529167,29.3506393460
